SYMBOL,DELIV_PER
20MICRONS,62.58
21STCENMGM,100.0
360ONE,65.87
3IINFOLTD,75.96
3MINDIA,44.63
3PLAND,95.84
5PAISA,49.27
63MOONS,60.58
A2ZINFRA,65.47
AADHARHFC,73.87
AAKASH,74.64
AAREYDRUGS,48.73
AARON,34.91
AARTECH,54.92
AARTIDRUGS,46.55
AARTIIND,37.72
AARTIPHARM,48.36
AARTISURF,50.22
AARVI,37.44
AAVAS,57.08
ABB,32.4
ABBOTINDIA,45.0
ABCAPITAL,48.4
ABCOTS,47.44
ABDL,42.18
ABFRL,34.59
ABGSEC,75.0
ABINFRA,82.28
ABLBL,50.13
ABMINTLLTD,35.86
ABREL,23.83
ABSLAMC,54.32
ABSLBANETF,57.76
ABSLLIQUID,72.41
ABSLNN50ET,74.11
ABSLPSE,49.23
ACC,44.6
ACCELYA,67.41
ACCURACY,65.36
ACE,37.18
ACEINTEG,88.64
ACI,25.12
ACL,76.61
ACMESOLAR,60.0
ACUTAAS,53.42
ADANIENSOL,25.26
ADANIENT,23.19
ADANIGREEN,20.85
ADANIPORTS,46.92
ADANIPOWER,25.26
ADFFOODS,21.48
ADL,92.51
ADOR,41.84
ADROITINFO,96.44
ADSL,35.49
ADVAIT,55.63
ADVANCE,61.4
ADVANIHOTR,71.81
ADVENTHTL,35.9
ADVENZYMES,58.41
AEGISLOG,40.61
AEGISVOPAK,58.49
AEQUS,39.96
AEROENTER,33.71
AEROFLEX,31.58
AERONEU,55.78
AETHER,42.65
AFCONS,63.69
AFFLE,54.18
AFFORDABLE,47.86
AFIL,69.89
AFSL,84.51
AGARIND,58.29
AGARWALEYE,44.51
AGI,58.58
AGIIL,44.4
AGROPHOS,61.09
AHCL,53.86
AHLADA,67.78
AHLEAST,47.18
AHLUCONT,64.69
AIAENG,53.28
AIIL,46.73
AIRAN,68.38
AIROLAM,67.91
AJANTPHARM,60.06
AJAXENGG,54.73
AJMERA,53.01
AJOONI,66.87
AKASH,71.16
AKG,90.0
AKI,69.45
AKSHAR,77.12
AKSHARCHEM,74.27
AKSHOPTFBR,54.22
AKUMS,48.18
AKZOINDIA,52.21
ALANKIT,74.72
ALBERTDAVD,72.18
ALEMBICLTD,54.89
ALGOQUANT,33.47
ALICON,48.44
ALIVUS,50.31
ALKALI,55.41
ALKEM,59.55
ALKYLAMINE,45.84
ALLCARGO,38.59
ALLDIGI,55.58
ALLTIME,56.68
ALMONDZ,87.21
ALOKINDS,35.52
ALPA,52.73
ALPHA,57.38
ALPHAETF,50.37
ALPHAGEO,44.28
ALPL30IETF,98.05
AMAGI,60.94
AMANTA,72.66
AMBER,38.58
AMBICAAGAR,65.88
AMBIKCO,52.99
AMBUJACEM,60.52
AMDIND,69.38
AMJLAND,49.1
AMNPLST,36.21
AMRUTANJAN,48.24
ANANDRATHI,64.82
ANANTRAJ,26.92
ANDHRAPAP,61.51
ANDHRSUGAR,20.31
ANGELONE,35.2
ANIKINDS,54.54
ANMOL,49.81
ANTELOPUS,20.76
ANTGRAPHIC,88.95
ANTHEM,36.44
ANUHPHR,55.26
ANUP,36.72
ANURAS,67.53
AONEGOLD,44.22
AONELIQUID,93.48
AONENIFTY,56.94
AONETMMQ50,80.47
AONETOTAL,30.18
APARINDS,39.48
APCL,49.85
APCOTEXIND,62.2
APEX,10.78
APLAPOLLO,72.98
APLLTD,22.19
APOLLO,41.88
APOLLOHOSP,57.81
APOLLOPIPE,45.03
APOLLOTYRE,23.32
APOLSINHOT,70.48
APTECHT,56.66
APTUS,40.26
ARCHIDPLY,15.62
ARCHIES,78.09
ARE&M,39.96
ARENTERP,96.46
ARFIN,49.12
ARIES,42.3
ARIHANTCAP,29.24
ARIHANTSUP,58.59
ARISINFRA,39.31
ARKADE,38.84
ARMANFIN,67.07
AROGRANITE,64.28
ARROWGREEN,63.84
ARSSBL,42.48
ARTEMISMED,46.63
ARTNIRMAN,100.0
ARVIND,33.18
ARVINDFASN,58.81
ARVSMART,73.22
ASAHIINDIA,31.82
ASAHISONG,35.51
ASAL,51.58
ASALCBR,42.81
ASHAPURMIN,38.39
ASHIANA,82.32
ASHIMASYN,77.39
ASHOKA,44.44
ASHOKAMET,78.47
ASHOKLEY,57.83
ASIANENE,72.55
ASIANHOTNR,55.42
ASIANPAINT,67.95
ASIANTILES,55.41
ASKAUTOLTD,46.85
ASMS,45.72
ASPINWALL,71.49
ASTEC,6.45
ASTERDM,57.95
ASTRAL,37.18
ASTRAMICRO,49.64
ASTRAZEN,39.93
ASTRON,78.98
ATALREAL,16.57
ATAM,77.87
ATGL,37.23
ATHERENERG,24.75
ATL,40.23
ATLANTAA,40.91
ATLANTAELE,47.79
ATLASCYCLE,46.44
ATUL,44.91
ATULAUTO,45.57
AUBANK,48.01
AURIONPRO,47.29
AUROPHARMA,43.25
AURUM,60.33
AUTOAXLES,52.6
AUTOBEES,40.61
AUTOIETF,53.23
AUTOIND,56.19
AVADHSUGAR,40.62
AVALON,44.73
AVANTEL,39.36
AVANTIFEED,10.23
AVG,33.4
AVL,61.56
AVONMORE,51.16
AVTNPL,62.46
AWFIS,55.6
AWHCL,38.26
AWL,42.57
AXISBANK,64.27
AXISBNKETF,98.27
AXISBPSETF,87.33
AXISCADES,59.26
AXISCETF,81.06
AXISGOLD,57.26
AXISHCETF,69.83
AXISILVER,37.36
AXISNIFTY,56.85
AXISTECETF,60.31
AXISVALUE,85.85
AXSENSEX,58.18
AYMSYNTEX,17.36
AZAD,44.68
BAGFILMS,85.19
BAIDFIN,69.12
BAJAJ-AUTO,49.77
BAJAJCON,43.2
BAJAJELEC,39.63
BAJAJFINSV,65.41
BAJAJHCARE,30.49
BAJAJHFL,54.73
BAJAJHIND,43.16
BAJAJHLDNG,28.9
BAJAJINDEF,52.52
BAJEL,24.7
BAJFINANCE,66.87
BALAJEE,65.46
BALAJITELE,14.11
BALAMINES,36.18
BALAXI,69.29
BALKRISHNA,47.23
BALKRISIND,48.67
BALMLAWRIE,36.08
BALPHARMA,86.62
BALRAMCHIN,63.03
BALUFORGE,36.26
BANARBEADS,86.37
BANARISUG,93.87
BANCOINDIA,42.64
BANDHANBNK,52.22
BANG,65.33
BANKA,84.63
