SYMBOL,DELIV_PER
20MICRONS,37.12
21STCENMGM,53.46
360ONE,37.63
3IINFOLTD,57.17
3MINDIA,54.19
3PLAND,79.24
5PAISA,10.14
63MOONS,52.47
AADHARHFC,54.52
AAKASH,95.32
AARON,57.09
AARTECH,49.68
AARTIDRUGS,53.29
AARTIIND,45.25
AARTIPHARM,45.59
AARTISURF,56.12
AARVI,67.65
AAVAS,64.88
ABB,60.71
ABBOTINDIA,52.28
ABCAPITAL,59.65
ABCOTS,5.67
ABDL,41.65
ABFRL,54.6
ABGSEC,99.83
ABINFRA,95.68
ABLBL,64.7
ABMINTLLTD,57.6
ABREL,54.56
ABSLAMC,51.94
ABSLBANETF,92.1
ABSLLIQUID,98.39
ABSLNN50ET,67.52
ABSLPSE,86.42
ACC,66.58
ACCELYA,72.31
ACCURACY,80.69
ACE,46.04
ACEINTEG,86.22
ACI,40.0
ACLGATI,52.71
ACMESOLAR,39.51
ACUTAAS,50.23
ADANIENSOL,33.79
ADANIENT,34.98
ADANIGREEN,28.52
ADANIPORTS,35.51
ADANIPOWER,28.01
ADFFOODS,52.89
ADL,21.14
ADOR,27.21
ADROITINFO,84.54
ADSL,35.24
ADVANIHOTR,56.53
ADVENZYMES,54.77
AEGISLOG,29.23
AEGISVOPAK,36.26
AEROENTER,46.81
AEROFLEX,44.61
AERONEU,32.51
AETHER,52.36
AFCONS,20.43
AFFLE,56.4
AFFORDABLE,51.53
AFIL,37.91
AFSL,61.0
AGARIND,47.88
AGARWALEYE,17.83
AGI,42.47
AGIIL,11.42
AGRITECH,70.76
AHLADA,61.53
AHLEAST,33.72
AHLUCONT,60.16
AIAENG,59.35
AIIL,72.09
AIRAN,54.25
AIROLAM,56.35
AJANTPHARM,70.95
AJAXENGG,53.76
AJMERA,37.4
AJOONI,81.08
AKASH,78.26
AKG,70.06
AKSHAR,58.76
AKSHARCHEM,57.85
AKSHOPTFBR,39.38
AKUMS,56.0
AKZOINDIA,95.78
ALANKIT,58.62
ALBERTDAVD,79.02
ALEMBICLTD,56.04
ALICON,46.67
ALIVUS,48.19
ALKALI,41.58
ALKEM,71.07
ALKYLAMINE,56.21
ALLCARGO,51.46
ALLDIGI,18.98
ALLTIME,48.49
ALMONDZ,81.95
ALOKINDS,37.07
ALPA,64.56
ALPHA,85.26
ALPHAETF,51.34
ALPHAGEO,67.14
ALPL30IETF,81.25
AMANTA,58.69
AMBER,27.29
AMBICAAGAR,69.34
AMBIKCO,61.36
AMBUJACEM,64.17
AMDIND,40.2
AMJLAND,65.22
AMNPLST,84.43
AMRUTANJAN,39.76
ANANDRATHI,42.86
ANANTRAJ,43.34
ANDHRAPAP,56.7
ANDHRSUGAR,60.77
ANGELONE,28.67
ANIKINDS,64.16
ANMOL,80.49
ANTELOPUS,69.78
ANTGRAPHIC,75.51
ANTHEM,41.54
ANUHPHR,71.55
ANUP,39.06
ANURAS,51.77
AONEGOLD,80.34
AONELIQUID,81.48
