SYMBOL,DELIV_PER
20MICRONS,53.33
21STCENMGM,86.77
360ONE,57.85
3IINFOLTD,88.29
3MINDIA,58.27
3PLAND,74.93
5PAISA,36.12
63MOONS,64.08
A2ZINFRA,82.24
AADHARHFC,88.33
AAKASH,42.51
AAREYDRUGS,39.74
AARON,41.97
AARTECH,51.02
AARTIDRUGS,55.2
AARTIIND,39.3
AARTIPHARM,52.07
AARTISURF,55.67
AARVI,67.21
AAVAS,63.17
ABB,20.29
ABBOTINDIA,67.62
ABCAPITAL,61.09
ABCOTS,62.16
ABDL,46.15
ABFRL,43.33
ABGSEC,50.0
ABINFRA,68.28
ABLBL,51.4
ABREL,46.26
ABSLAMC,42.89
ABSLBANETF,75.79
ABSLLIQUID,59.71
ABSLMSCIN,70.28
ABSLNN50ET,84.66
ABSLPSE,58.69
ACC,44.58
ACCELYA,67.04
ACCURACY,65.52
ACE,40.72
ACEINTEG,97.31
ACI,34.39
ACL,77.2
ACMESOLAR,46.81
ACUTAAS,56.8
ADANIENSOL,49.83
ADANIENT,27.32
ADANIGREEN,20.78
ADANIPORTS,30.27
ADANIPOWER,36.37
ADFFOODS,31.36
ADL,95.87
ADOR,45.63
ADROITINFO,57.8
ADSL,49.4
ADVAIT,58.17
ADVANCE,64.9
ADVANIHOTR,60.59
ADVENTHTL,51.07
ADVENZYMES,46.49
AEGISLOG,62.37
AEGISVOPAK,14.02
AEQUS,50.14
AEROENTER,34.42
AEROFLEX,32.79
AERONEU,30.72
AETHER,41.4
AFCONS,56.78
AFFLE,61.58
AFFORDABLE,45.17
AFIL,51.88
AFSL,58.37
AGARIND,64.66
AGARWALEYE,44.51
AGI,46.3
AGIIL,18.35
AGROPHOS,91.76
AHCL,53.76
AHLADA,89.28
AHLEAST,75.28
AHLUCONT,47.43
AIAENG,59.84
AIIL,51.75
AIRAN,75.34
AIROLAM,65.98
AJANTPHARM,75.55
AJAXENGG,52.21
AJMERA,51.16
AJOONI,56.88
AKASH,50.22
AKG,72.58
AKI,82.84
AKSHAR,62.07
AKSHARCHEM,53.57
AKSHOPTFBR,74.44
AKUMS,47.16
AKZOINDIA,58.8
ALANKIT,60.8
ALBERTDAVD,60.32
ALEMBICLTD,56.32
ALGOQUANT,17.19
ALICON,53.72
ALIVUS,45.08
ALKALI,60.32
ALKEM,57.84
ALKYLAMINE,51.1
ALLCARGO,54.81
ALLDIGI,64.14
ALLTIME,65.95
ALMONDZ,79.85
ALOKINDS,24.27
ALPA,66.34
ALPHA,51.46
ALPHAETF,59.77
ALPHAGEO,69.23
ALPL30IETF,87.12
AMAGI,50.48
AMANTA,67.34
AMBER,48.41
AMBICAAGAR,86.0
AMBIKCO,55.91
AMBUJACEM,48.62
AMDIND,78.86
AMJLAND,39.23
AMNPLST,75.67
AMRUTANJAN,65.81
ANANDRATHI,67.31
ANANTRAJ,29.11
ANDHRAPAP,62.26
ANDHRSUGAR,58.53
ANGELONE,31.95
ANIKINDS,55.72
ANMOL,62.64
ANTELOPUS,27.22
ANTGRAPHIC,94.34
ANTHEM,53.06
ANUHPHR,79.13
ANUP,42.7
ANURAS,56.5
AONEGOLD,69.46
AONELIQUID,66.25
AONENIFTY,56.24
AONETMMQ50,85.69
AONETOTAL,62.4
APARINDS,32.66
APCL,50.68
APCOTEXIND,58.31
APEX,8.53
APLAPOLLO,56.49
APLLTD,52.38
APOLLO,37.58
APOLLOHOSP,75.84
APOLLOPIPE,76.78
APOLLOTYRE,45.26
APOLSINHOT,48.78
APTECHT,42.94
APTUS,67.1
AQYLON,78.89
ARCHIDPLY,79.4
ARCHIES,64.99
ARE&M,56.98
ARENTERP,87.63
ARFIN,15.42
ARIES,51.64
ARIHANTCAP,13.83
