SYMBOL,DELIV_PER
20MICRONS,37.82
21STCENMGM,97.2
360ONE,55.25
3BBLACKBIO,73.98
3IINFOLTD,72.37
3MINDIA,37.1
3PLAND,63.15
5PAISA,36.56
63MOONS,45.06
A2ZINFRA,61.49
AAATECH,65.16
AADHARHFC,68.09
AARNAV,79.1
AARON,71.5
AARTECH,45.24
AARTIDRUGS,45.0
AARTIIND,44.12
AARTIPHARM,51.92
AARTISURF,76.53
AARVI,37.71
AAVAS,78.46
ABB,39.1
ABBOTINDIA,75.79
ABCAPITAL,52.16
ABCOTS,54.46
ABDL,57.53
ABFRL,50.01
ABGSEC,89.55
ABINFRA,30.35
ABLBL,78.56
ABMINTLLTD,68.97
ABMKNO,80.73
ABREL,43.28
ABSL10BANK,94.64
ABSLAMC,83.01
ABSLBANETF,69.32
ABSLLIQUID,78.31
ABSLMSCIN,100.0
ABSLNN50ET,63.72
ABSLPSE,79.7
ACC,58.92
ACCELYA,64.77
ACCURACY,76.86
ACE,37.4
ACEINTEG,61.1
ACI,66.45
ACL,74.59
ACMESOLAR,36.59
ACSTECH,99.98
ACUTAAS,46.37
ADANIENSOL,38.69
ADANIENT,31.34
ADANIGREEN,29.1
ADANIPORTS,44.11
ADANIPOWER,33.41
ADFFOODS,46.97
ADL,100.0
ADOR,49.26
ADROITINFO,81.13
ADSL,43.58
ADVAIT,31.73
ADVANCE,90.05
ADVANIHOTR,64.88
ADVENTHTL,65.41
ADVENZYMES,50.91
AEGISLOG,43.62
AEGISVOPAK,32.95
AEPL,83.56
AEQUS,42.42
AEROENTER,46.61
AEROFLEX,30.68
AERONEU,11.95
AETHER,44.85
AFCONS,35.5
AFFLE,41.13
AFSL,81.64
AGARIND,29.05
AGARWALEYE,41.27
AGI,51.99
AGIIL,29.78
AGRITECH,34.24
AGROPHOS,84.9
AHCL,64.39
AHLADA,52.07
AHLEAST,60.65
AHLUCONT,56.03
AIAENG,63.52
AIIL,49.78
AIRAN,66.19
AIROLAM,72.27
AJANTPHARM,46.41
AJAXENGG,43.53
AJMERA,32.34
AJOONI,58.22
AKASH,96.13
AKCAPIT,100.0
AKG,98.16
AKI,58.71
AKSHAR,92.92
AKSHARCHEM,47.11
AKUMS,71.03
ALANKIT,59.7
ALBERTDAVD,42.12
ALEMBICLTD,40.98
ALGOQUANT,10.13
ALICON,48.61
ALIVUS,53.57
ALKEM,52.71
ALKYLAMINE,25.63
ALLCARGO,38.62
ALLDIGI,69.22
ALLTIME,50.34
ALMONDZ,76.49
ALOKINDS,52.11
ALPA,67.86
ALPHA,57.94
ALPHAETF,54.2
ALPHAGEO,53.79
ALPL30IETF,55.27
AMAGI,45.32
AMANTA,51.07
AMBALALSA,68.55
AMBER,39.53
AMBICAAGAR,75.73
AMBIKCO,73.47
AMBUJACEM,44.85
AMDIND,56.63
AMIRCHAND,60.42
AMJLAND,99.98
AMNPLST,45.89
AMRUTANJAN,48.59
ANANDRATHI,52.72
ANANTRAJ,30.86
ANDHRAPAP,56.62
ANDHRSUGAR,22.25
ANGELONE,32.92
ANMOL,79.66
ANTELOPUS,54.28
ANTGRAPHIC,64.97
ANTHEM,58.3
ANUHPHR,71.86
ANUP,48.06
ANURAS,21.68
AONEGOLD,80.17
AONELIQUID,83.0
AONENIFTY,90.21
AONESILVER,58.28
AONETMMQ50,56.99
AONETOTAL,64.78
APARINDS,30.97
APCL,94.8
APCOTEXIND,43.85
APEX,14.22
APLAPOLLO,57.88
APLLTD,73.83
APOLLO,14.04
APOLLOHOSP,69.87
APOLLOPIPE,27.53
APOLLOTYRE,41.41
APOLSINHOT,81.01
APTECHT,26.43
APTUS,42.21
AQYLON,60.37
ARCHIDPLY,85.34
ARCHIES,74.9
ARE&M,46.16
ARENTERP,51.61
ARFIN,13.46
ARIES,65.03
ARIHANT,67.28
ARIHANTCAP,51.27
ARIHANTSUP,49.37
ARIS,51.22
ARKADE,55.18
ARMANFIN,54.74
AROGRANITE,52.32
ARROWGREEN,9.21
ARSSBL,47.72
ARTEMISMED,62.86
ARTNIRMAN,96.61
ARVEE,22.64
ARVIND,47.74
ARVINDFASN,50.56
ARVSMART,60.49
ASAHIINDIA,49.86
ASAHISONG,35.99
ASAL,43.41
ASALCBR,61.99
ASHAPURMIN,32.58
ASHIANA,57.2
ASHIKA,15.55
ASHIMASYN,86.71
ASHOKA,35.77
ASHOKAMET,71.14
ASHOKLEY,56.05
ASIANENE,33.35
ASIANHOTNR,40.96
ASIANPAINT,62.28
ASIANTILES,30.12
ASKAUTOLTD,47.94
ASMS,66.9
ASPINWALL,85.18
ASTEC,34.36
ASTERDM,39.12
ASTRAL,49.4
ASTRAMICRO,37.28
ASTRAZEN,40.18
ATALREAL,21.02
ATAM,50.48
ATGL,24.3
ATHERENERG,22.16
ATL,71.41
ATLANTAA,62.53
ATLASCYCLE,58.27
ATUL,42.83
ATULAUTO,35.73
AUBANK,49.16
AURIGROW,31.36
AURIONPRO,31.34
AUROPHARMA,67.36
AURUM,65.67
AUTOAXLES,63.74
AUTOBEES,47.3
AUTOIETF,60.39
AVALON,37.76
AVANTEL,26.86
AVANTIFEED,37.35
AVG,62.72
AVL,34.52
AVONMORE,73.08
AVROIND,44.84
AVTNPL,47.27
AWFIS,37.16
AWHCL,44.08
AWL,46.19
AXISBANK,62.22
AXISBNKETF,97.01
