SYMBOL,DELIV_PER
20MICRONS,47.15
21STCENMGM,51.11
360ONE,66.99
3BBLACKBIO,72.49
3MINDIA,52.33
3PLAND,71.15
5PAISA,54.65
63MOONS,40.9
A2ZINFRA,81.83
AAATECH,17.37
AADHARHFC,72.43
AAKASH,59.65
AAREYDRUGS,66.9
AARON,67.29
AARTIDRUGS,55.64
AARTIIND,47.83
AARTIPHARM,63.2
AARVI,67.29
AASTHA,50.09
AAVAS,63.15
ABANSENT,88.01
ABB,57.62
ABBOTINDIA,66.84
ABCAPITAL,62.47
ABCOTS,61.59
ABDL,47.57
ABFRL,45.17
ABGSEC,75.0
ABLBL,57.05
ABMKNO,83.0
ABREL,49.46
ABSL10BANK,93.24
ABSLAMC,62.54
ABSLBANETF,39.45
ABSLLIQUID,97.07
ABSLMSCIN,84.38
ABSLNN50ET,73.27
ABSLPSE,60.22
ACC,63.7
ACCELYA,73.59
ACE,36.38
ACEINTEG,71.77
ACGL,48.21
ACI,53.41
ACL,68.08
ACMESOLAR,59.02
ACUTAAS,50.75
ADANIENSOL,52.95
ADANIENT,55.85
ADANIGREEN,35.66
ADANIPORTS,76.82
ADANIPOWER,44.56
ADDIND,33.33
ADFFOODS,57.86
ADL,52.49
ADOR,56.73
ADROITINFO,72.47
ADSL,60.14
ADVAIT,53.52
ADVANCE,62.87
ADVANIHOTR,69.07
ADVENTHTL,38.95
ADVENZYMES,61.33
ADVIKCA,68.21
AEGISLOG,46.44
AEGISVOPAK,36.01
AEPL,84.9
AEQUS,49.12
AEROENTER,38.66
AEROFLEX,35.98
AERONEU,40.83
AEROPLANE,58.78
AETHER,47.08
AFCONS,31.47
AFFLE,62.41
AFFORDABLE,74.35
AFIL,68.31
AFSL,84.36
AGARIND,54.18
AGARWALEYE,57.05
AGI,40.45
AGIIL,41.02
AGL,48.73
AGRITECH,85.59
AGROPHOS,76.38
AHCL,10.92
AHLADA,70.99
AHLEAST,79.5
AHLUCONT,58.26
AIAENG,53.2
AIIL,58.33
AIRAN,67.67
AIROLAM,83.33
AJANTPHARM,59.72
AJAXENGG,71.34
AJMERA,53.94
AJOONI,70.3
AKASH,73.24
AKCAPIT,80.84
AKG,92.83
AKSHAR,79.07
AKUMS,61.67
ALANKIT,76.36
ALBERTDAVD,68.44
ALEMBICLTD,58.94
ALFREDHE,100.0
ALGOQUANT,22.39
ALICON,50.85
ALIVUS,64.13
ALKALI,42.44
ALKEM,76.31
ALKYLAMINE,60.08
ALLCARGO,40.2
ALLDIGI,71.31
ALLTIME,47.68
ALMONDZ,63.31
ALOKINDS,48.03
ALPA,88.65
ALPHA,82.64
ALPHAETF,91.34
ALPINETEX,52.97
ALPL30IETF,39.8
ALUFLUOR,67.99
AMAGI,48.8
AMAL,70.95
AMARJOTHI,87.78
AMBER,40.04
AMBICAAGAR,72.43
AMBIKCO,64.96
AMBUJACEM,50.02
AMJLAND,64.98
AMNPLST,45.4
AMRUTANJAN,52.69
ANANDRATHI,54.9
ANANTRAJ,32.13
ANDHRAPAP,37.26
ANDHRSUGAR,41.39
ANDREWYU,78.33
ANGELONE,41.16
ANIKINDS,92.33
ANNAPURNA,62.24
ANNU,33.78
ANSALBU,86.36
ANTELOPUS,17.68
ANTGRAPHIC,75.03
ANTHEM,69.5
ANUHPHR,55.15
ANUP,60.21
ANURAS,50.58
AONEGOLD,62.34
AONELIQUID,89.54
AONENIFTY,62.35
AONESILVER,64.04
AONETMMQ50,83.17
AONETOTAL,70.67
APARINDS,43.91
APCL,86.98
APCOTEXIND,52.62
APEX,41.73
APLAPOLLO,64.55
APLLTD,43.73
APOLLO,34.36
APOLLOHOSP,75.65
APOLLOPIPE,48.99
APOLLOTYRE,55.92
APOLSINHOT,72.99
APOORVA,91.36
APTUS,63.36
AQYLON,52.2
ARCHIDPLY,89.94
ARCHIES,73.11
ARCIL,39.73
ARCL,60.92
ARDEE,37.91
ARE&M,57.57
ARENTERP,84.32
ARFIN,35.46
ARIHANT,39.46
ARIHANTCAP,52.76
ARIHANTSUP,76.39
ARIS,35.28
ARKADE,33.95
ARMANFIN,51.38
AROGRANITE,98.37
ARROWGREEN,58.3
ARSSBL,59.13
ARTEMISMED,43.48
ARTNIRMAN,64.29
ARVEE,76.99
ARVIND,48.53
ARVINDFASN,47.22
ARVSMART,47.43
ARYAMAN,100.0
ASAHIINDIA,45.9
ASAL,59.47
ASALCBR,60.3
ASHAPURMIN,43.87
ASHIANA,66.95
ASHIMASYN,80.4
ASHOKA,39.83
ASHOKAMET,58.37
ASHOKLEY,68.83
ASIANENE,43.99
ASIANHOTNR,88.23
ASIANPAINT,68.26
ASIANTILES,45.32
ASIANTNE,91.22
ASKAUTOLTD,42.54
ASPINWALL,80.66
ASSAMENT,100.0
ASTAR,26.22
ASTEC,23.84
ASTERDM,61.94
ASTRAL,65.54
ASTRAMICRO,52.57
ASTRAZEN,60.58
ATALREAL,19.16
ATAM,71.04
ATGL,5.57
ATHERENERG,43.89
ATL,58.93
ATLANTAA,81.07
ATLANTAELE,47.11
ATLASCYCLE,74.69
ATUL,60.58
ATULAUTO,37.34
AUBANK,64.82
AUGMONT,33.06
AURIONPRO,54.17
AUROPHARMA,56.14
AURUM,86.05
AURUS,73.52
AUSOMENT,60.71
AUSTENG,56.36
AUTOAXLES,46.83
AUTOBEES,46.7
AUTOIETF,59.53
AUTOIND,66.39
AVADHSUGAR,42.6
AVALON,31.76
AVANCE,60.49
AVANTEL,40.62
AVANTIFEED,45.02
AVL,44.0
AVONMORE,45.78
AVROIND,73.21
AVTNPL,57.06
AWFIS,45.66
AWHCL,22.68
AWL,59.88
AXISBANK,81.28
AXISCADES,44.15
AXITA,47.29
AXTEL,86.36
AYE,45.88
AYMSYNTEX,62.68
AZAD,40.39
AZADIND,15.99
BAGFILMS,51.67
BAIDFIN,35.85
BAJAJ-AUTO,74.65
BAJAJCON,46.48
BAJAJELEC,52.69
BAJAJFINSV,70.08
BAJAJHCARE,56.96
BAJAJHFL,55.94
BAJAJHIND,22.04
BAJAJHLDNG,63.11
BAJAJINDEF,76.54
BAJAJST,59.28
BAJEL,60.95
BAJFINANCE,75.91
BALAJEE,72.81
BALAJITELE,44.06
BALAMINES,34.45
BALAXI,81.01
BALKRISHNA,54.27
BALKRISIND,63.67
BALMLAWRIE,68.7
BALPHARMA,65.43
BALRAMCHIN,29.84
BALUFORGE,48.4
BANARBEADS,41.77
BANARISUG,81.88
BANCOINDIA,56.35
BANDHANBNK,59.83
BANG,37.9
BANK10ADD,53.79
BANK10BETF,83.18
BANKA,87.42
BANKADD,83.12
BANKBARODA,65.27
BANKBEES,67.39
BANKBETA,68.71
BANKBETF,51.97
BANKETF,34.27
BANKIETF,58.02
BANKINDIA,61.69
BANKNIFTY1,62.2
BANKPSU,46.37
BANSALWIRE,47.18
BANSWRAS,55.24
BASF,47.44
BATAINDIA,46.01
BATLIBOI,45.8
BAYERCROP,69.32
BBETF0432,66.59
BBL,55.47
BBNPNBETF,76.08
BBNPPGOLD,90.56
BBOX,34.68
BBTC,4.21
BBTCL,97.25
BCG,44.25
BCLIND,54.3
BCONCEPTS,74.5
BCPL,81.66
BDL,35.48
BEARDSELL,88.47
BECTORFOOD,42.07
BEDMUTHA,90.74
BEEKAY,90.8
BEL,57.0
BELLACASA,42.09
BELRISE,60.26
BEML,25.26
BENARAS,89.19
BENGALASM,41.72
BEPL,47.03
BERGEPAINT,65.82
BESTAGRO,60.36
BETA,55.49
BFINVEST,31.94
BFSI,55.99
BFUTILITIE,23.45
BHAGCHEM,84.87
BHAGYANGR,54.67
BHANDARI,90.88
BHARATCOAL,50.12
BHARATFORG,42.19
BHARATRAS,49.96
BHARATSE,42.93
BHARATWIRE,47.94
BHARTIARTL,87.97
BHARTIHEXA,67.7
BHEL,50.41
BIGBLOC,73.41
BIKAJI,46.87
BIL,52.98
BIMETAL,56.63
BIOCON,80.06
BIOFILCHEM,56.23
BIRLACABLE,46.21
BIRLACORPN,40.05
BIRLAMONEY,56.82
BIRLANU,60.13
BLACKBUCK,46.67
BLAL,73.69
BLBLIMITED,64.58
BLEL,44.64
BLIL,79.89
BLKASHYAP,47.26
BLS,61.63
BLSE,62.13
BLUECLOUDS,56.5
BLUECOAST,84.42
BLUEDART,53.03
BLUEJET,56.57
BLUESTARCO,57.94
BLUESTONE,24.39
BLUSPRING,55.26
BMWVENTLTD,55.6
BNAGROCHEM,89.09
BNKETFAXIS,31.74
BODALCHEM,45.93
BOHRAIND,66.74
BOMDYEING,30.14
BONLON,76.99
BORANA,64.62
BOROLTD,56.96
BORORENEW,47.0
BOROSCI,62.25
BOSCH-HCIL,55.32
BOSCHLTD,52.15
BPCL,74.4
BPL,63.38
BPLPHARMA,66.67
BRAHMINFRA,93.25
BRIGADE,62.17
BRIGHOTEL,64.12
BRIGHTBR,90.43
BRITANNIA,75.08
BRNL,53.84
BROOKS,71.95
BSE,43.44
BSE500IETF,65.58
BSHSL,57.99
BSL,74.69
BSLGOLDETF,65.78
BSLNIFTY,73.58
BSLSENETFG,69.03
BSOFT,49.53
BTML,81.91
BUILDPRO,66.91
BUTTERFLY,55.8
BVCL,69.22
CAMLINFINE,59.21
CAMPUS,60.2
CAMS,52.86
CANBK,59.97
CANFINHOME,54.87
CANHLIFE,59.99
CANTABIL,48.48
CAPACITE,53.45
CAPILLARY,36.95
CAPITALSFB,68.11
CAPLIPOINT,25.26
CARBORUNIV,49.98
CARERATING,58.25
CARRARO,36.48
CARTRADE,21.93
CARYSIL,50.76
CASHIETF,65.89
CASTROLIND,57.55
CCAVENUE,32.45
CCCL,75.94
CCHHL,77.22
CCL,64.74
CDSL,41.15
CEATLTD,43.96
CEIGALL,52.86
CEINSYS,43.9
CELEBRITY,93.72
CELLO,62.89
CEMNTGROWW,49.93
CEMPRO,61.33
CENTENKA,59.7
CENTEXT,74.0
CENTRALBK,56.51
CENTRUM,47.09
CENTUM,42.76
CENTURYPLY,52.1
CERA,49.35
CESC,70.37
CEWATER,24.89
CGCL,44.42
CGPOWER,48.82
CGVAK,66.9
CHALET,65.48
CHAMBLFERT,57.95
CHEMBOND,50.43
CHEMCRUX,31.31
CHEMFAB,59.55
CHEMICAL,43.94
CHEMPLASTS,38.36
CHENNPETRO,26.91
CHEVIOT,85.98
CHOICEGOLD,61.5
CHOICEIN,18.09
CHOLAFIN,66.29
CHOLAHLDNG,61.03
CIEINDIA,48.13
CIFL,78.23
CINELINE,66.92
CINEVISTA,89.37
CIPLA,68.04
CLEAN,33.99
CLEANMAX,59.96
CLEDUCATE,90.25
CLSEL,45.79
CMLL,51.12
CMPDI,38.83
CMRGREEN,41.01
CMSINFO,55.14
CNL,50.46
COALINDIA,64.25
COASTCORP,51.24
COCHINSHIP,52.58
COCKERILL,42.67
COFFEEDAY,64.11
COFORGE,58.71
COHANCE,51.21
COLPAL,69.64
COMFINTE,76.68
COMMOIETF,61.6
COMPEAU,99.86
