SYMBOL,DELIV_PER
20MICRONS,47.99
21STCENMGM,99.36
360ONE,83.09
3BBLACKBIO,53.69
3IINFOLTD,41.75
3MINDIA,41.68
3PLAND,88.33
5PAISA,54.75
63MOONS,43.62
A2ZINFRA,68.57
AAATECH,60.46
AADHARHFC,54.87
AAKASH,83.08
AARNAV,79.9
AARON,62.48
AARTIDRUGS,50.08
AARTIIND,38.89
AARTIPHARM,56.89
AARTISURF,73.98
AARVI,24.12
AAVAS,56.9
ABB,45.48
ABBOTINDIA,74.54
ABCAPITAL,47.26
ABCOTS,66.49
ABDL,65.44
ABFRL,48.26
ABGSEC,62.22
ABINFRA,40.36
ABLBL,49.86
ABMKNO,98.46
ABREL,46.02
ABSL10BANK,86.81
ABSLAMC,48.3
ABSLBANETF,80.33
ABSLLIQUID,49.71
ABSLMSCIN,63.12
ABSLNN50ET,75.35
ABSLPSE,97.34
ACC,48.9
ACCELYA,52.17
ACE,43.07
ACEINTEG,87.85
ACI,54.75
ACL,71.98
ACMESOLAR,45.89
ACSTECH,63.25
ACUTAAS,59.37
ADANIENSOL,31.24
ADANIENT,43.84
ADANIGREEN,22.87
ADANIPORTS,42.24
ADANIPOWER,42.47
ADFFOODS,37.39
ADL,49.45
ADOR,50.08
ADROITINFO,79.59
ADSL,47.34
ADVAIT,23.61
ADVANCE,48.11
ADVANIHOTR,72.93
ADVENTHTL,51.45
ADVENZYMES,60.64
AEGISLOG,27.27
AEGISVOPAK,30.93
AEPL,70.22
AEQUS,33.32
AEROENTER,47.26
AEROFLEX,39.11
AERONEU,11.69
AETHER,57.1
AFCONS,51.35
AFFLE,56.54
AFSL,78.35
AGARIND,39.29
AGARWALEYE,45.08
AGI,51.86
AGIIL,11.05
AGROPHOS,65.01
AHCL,47.89
AHLADA,75.29
AHLEAST,69.23
AHLUCONT,54.82
AIAENG,61.34
AIIL,49.66
AIRAN,55.22
AIROLAM,97.51
AJANTPHARM,55.58
AJAXENGG,54.73
AJMERA,41.32
AJOONI,86.61
AKASH,60.46
AKCAPIT,78.96
AKG,71.36
AKI,73.6
AKSHAR,67.41
AKUMS,57.19
ALANKIT,74.83
ALBERTDAVD,79.16
ALEMBICLTD,63.92
ALGOQUANT,20.78
ALICON,63.22
ALIVUS,63.44
ALKEM,60.39
ALKYLAMINE,32.08
ALLCARGO,62.65
ALLDIGI,72.25
ALLTIME,64.47
ALMONDZ,63.75
ALOKINDS,56.79
ALPA,75.67
ALPHA,71.16
ALPHAETF,79.23
ALPHAGEO,69.28
ALPL30IETF,84.13
AMAGI,33.82
AMBALALSA,75.01
AMBER,26.65
AMBICAAGAR,98.24
AMBIKCO,56.22
AMBUJACEM,37.93
AMDIND,44.95
AMIRCHAND,54.75
AMJLAND,79.16
AMNPLST,64.35
AMRUTANJAN,52.63
ANANDRATHI,26.78
ANANTRAJ,38.9
ANDHRAPAP,66.2
ANDHRSUGAR,47.0
ANGELONE,41.23
ANMOL,67.1
ANTELOPUS,37.18
ANTGRAPHIC,78.75
ANTHEM,64.99
ANUHPHR,47.96
ANUP,56.65
ANURAS,56.84
AONEGOLD,87.07
AONELIQUID,66.66
AONENIFTY,67.46
AONESILVER,72.73
AONETMMQ50,47.54
AONETOTAL,95.32
APARINDS,35.43
APCL,85.0
APCOTEXIND,46.11
APEX,38.4
APLAPOLLO,56.36
APLLTD,53.2
APOLLO,21.85
