SYMBOL,DELIV_PER
20MICRONS,43.59
21STCENMGM,100.0
360ONE,39.05
3BBLACKBIO,53.11
3IINFOLTD,42.68
3MINDIA,37.29
3PLAND,83.21
5PAISA,62.43
63MOONS,13.84
A2ZINFRA,71.27
AAATECH,42.63
AADHARHFC,45.64
AAKASH,66.31
AARNAV,57.5
AARON,51.27
AARTIDRUGS,43.04
AARTIIND,34.51
AARTIPHARM,46.64
AARTISURF,67.28
AARVI,41.79
AASTHA,30.21
AAVAS,43.66
ABB,42.36
ABBOTINDIA,48.84
ABCAPITAL,25.64
ABCOTS,68.31
ABDL,45.07
ABFRL,53.06
ABGSEC,61.54
ABINFRA,44.04
ABLBL,46.82
ABMINTLLTD,66.95
ABMKNO,92.89
ABREL,47.83
ABSL10BANK,94.78
ABSLAMC,70.39
ABSLBANETF,84.3
ABSLLIQUID,79.7
ABSLMSCIN,96.72
ABSLNN50ET,74.21
ABSLPSE,70.31
ACC,38.3
ACCELYA,65.98
ACE,46.51
ACEINTEG,67.05
ACI,59.12
ACL,76.2
ACMESOLAR,53.6
ACSTECH,70.86
ACUTAAS,51.08
ADANIENSOL,33.32
ADANIENT,37.28
ADANIGREEN,36.9
ADANIPORTS,49.51
ADANIPOWER,33.51
ADFFOODS,44.21
ADL,75.15
ADOR,63.68
ADROITINFO,80.41
ADSL,59.16
ADVAIT,59.99
ADVANCE,56.82
ADVANIHOTR,72.97
ADVENTHTL,54.01
ADVENZYMES,26.86
AEGISLOG,31.4
AEGISVOPAK,39.37
AEPL,95.83
AEQUS,40.72
AEROENTER,51.92
AEROFLEX,45.07
AERONEU,15.23
AEROPLANE,64.44
AETHER,46.09
AFCONS,45.87
AFFLE,32.22
AFIL,68.27
AFSL,70.11
AGARIND,35.02
AGARWALEYE,47.27
AGI,65.82
AGIIL,32.17
AGL,75.77
AGROPHOS,73.68
AHCL,42.74
AHLADA,72.3
AHLEAST,69.27
AHLUCONT,51.94
AIAENG,44.7
AIIL,38.72
AIRAN,85.42
AIROLAM,73.55
AJANTPHARM,55.19
AJAXENGG,54.23
AJMERA,54.4
AJOONI,79.8
AKASH,76.2
AKCAPIT,79.87
AKG,79.34
AKI,86.79
AKSHAR,76.05
AKUMS,51.0
ALANKIT,82.65
ALBERTDAVD,82.64
ALEMBICLTD,60.1
ALGOQUANT,29.91
ALICON,54.47
ALIVUS,53.82
