SYMBOL,DELIV_PER
20MICRONS,42.52
21STCENMGM,61.37
360ONE,62.56
3BBLACKBIO,37.23
3IINFOLTD,57.37
3MINDIA,48.33
3PLAND,66.06
5PAISA,46.14
63MOONS,39.41
A2ZINFRA,70.14
AAATECH,68.35
AADHARHFC,49.31
AAKASH,60.93
AARNAV,54.73
AARON,66.94
AARTECH,41.84
AARTIDRUGS,62.96
AARTIIND,41.38
AARTIPHARM,46.55
AARTISURF,69.13
AARVI,61.35
AAVAS,50.53
ABB,35.72
ABBOTINDIA,53.17
ABCAPITAL,37.88
ABCOTS,61.75
ABDL,20.04
ABFRL,41.58
ABGSEC,93.63
ABINFRA,25.59
ABLBL,63.73
ABMINTLLTD,46.67
ABMKNO,86.92
ABREL,38.25
ABSL10BANK,99.49
ABSLAMC,51.87
ABSLBANETF,43.67
ABSLLIQUID,64.5
ABSLMSCIN,95.25
ABSLNN50ET,71.89
ABSLPSE,90.56
ACC,41.44
ACCELYA,68.62
ACE,41.83
ACEINTEG,74.84
ACI,53.19
ACL,70.48
ACMESOLAR,41.6
ACSTECH,78.53
ACUTAAS,49.89
ADANIENSOL,30.8
ADANIENT,38.69
ADANIGREEN,21.1
ADANIPORTS,57.82
ADANIPOWER,37.8
ADFFOODS,41.18
ADL,86.39
ADOR,56.9
ADROITINFO,74.26
ADSL,53.36
ADVAIT,48.73
ADVANCE,55.6
ADVANIHOTR,58.38
ADVENTHTL,8.2
ADVENZYMES,58.32
AEGISLOG,12.6
AEGISVOPAK,13.93
AEPL,65.65
AEQUS,25.47
AEROENTER,39.22
AEROFLEX,38.51
AERONEU,42.31
AETHER,45.14
AFCONS,43.29
AFFLE,49.96
AFSL,53.9
AGARIND,57.41
AGARWALEYE,40.91
AGI,53.78
AGIIL,12.58
AGROPHOS,62.13
AHCL,61.88
AHLADA,50.9
AHLEAST,97.25
AHLUCONT,67.47
AIAENG,45.15
AIIL,53.34
AIRAN,77.87
AIROLAM,71.67
AJANTPHARM,44.96
AJAXENGG,47.63
AJMERA,47.54
AJOONI,57.46
AKASH,71.24
AKCAPIT,93.39
AKG,76.84
AKI,59.62
AKSHAR,63.63
AKUMS,57.41
ALANKIT,81.08
ALBERTDAVD,55.26
ALEMBICLTD,52.24
ALGOQUANT,20.05
ALICON,68.38
ALIVUS,50.6
ALKEM,55.97
ALKYLAMINE,41.6
ALLCARGO,53.3
ALLDIGI,71.11
ALLTIME,37.17
ALMONDZ,72.03
ALOKINDS,62.36
ALPA,52.17
ALPHA,69.11
ALPHAETF,59.45
ALPHAGEO,62.5
ALPL30IETF,66.69
AMAGI,45.33
AMBALALSA,58.65
AMBER,35.3
AMBICAAGAR,61.54
AMBIKCO,64.02
AMBUJACEM,52.27
AMDIND,72.76
AMIRCHAND,60.77
AMJLAND,82.65
AMNPLST,63.84
AMRUTANJAN,64.11
ANANDRATHI,55.01
ANANTRAJ,42.37
ANDHRAPAP,67.33
ANDHRSUGAR,9.96
ANGELONE,40.84
ANMOL,65.61
ANTELOPUS,52.52
ANTGRAPHIC,85.09
ANTHEM,64.39
ANUHPHR,49.8
ANUP,44.02
ANURAS,37.12
AONEGOLD,79.56
AONELIQUID,95.91
AONENIFTY,95.44
AONESILVER,61.13
AONETMMQ50,65.45
AONETOTAL,72.2
APARINDS,36.2
APCL,70.83
APCOTEXIND,65.5
APEX,40.52
APLAPOLLO,45.08
APLLTD,66.38
APOLLO,24.56
APOLLOHOSP,62.46
APOLLOPIPE,61.75
APOLLOTYRE,37.79
APOLSINHOT,73.19
APTUS,54.5
AQYLON,48.05
ARCHIDPLY,85.59
ARCHIES,67.76
ARE&M,48.3
ARENTERP,63.78
ARFIN,9.44
ARIES,73.95
ARIHANT,68.97
ARIHANTCAP,21.41
ARIHANTSUP,55.02
ARIS,62.06
ARKADE,37.35
ARMANFIN,51.68
AROGRANITE,69.78
ARSSBL,39.39
ARTEMISMED,38.35
ARTNIRMAN,17.47
ARVEE,49.91
ARVIND,57.44
ARVINDFASN,64.29
ARVSMART,61.27
ASAHIINDIA,45.37
ASAHISONG,84.66
ASAL,54.94
ASALCBR,57.53
ASHAPURMIN,38.3
ASHIANA,58.87
ASHIKA,43.82
ASHIMASYN,83.64
ASHOKA,49.57
ASHOKAMET,69.4
ASHOKLEY,41.21
ASIANENE,52.15
ASIANHOTNR,16.87
ASIANPAINT,64.92
ASIANTILES,52.6
ASKAUTOLTD,51.38
ASPINWALL,85.71
ASTAR,50.0
ASTEC,61.54
ASTERDM,52.58
ASTRAL,39.98
ASTRAMICRO,43.73
ASTRAZEN,45.67
ATALREAL,37.9
ATAM,86.02
ATGL,22.78
ATHERENERG,34.94
ATL,74.09
ATLANTAA,70.01
ATLANTAELE,49.07
ATLASCYCLE,74.52
ATUL,54.36
ATULAUTO,36.38
AUBANK,52.05
AURIGROW,45.53
AURIONPRO,42.1
AUROPHARMA,44.25
AURUM,68.47
AUTOAXLES,51.46
AUTOBEES,56.27
AUTOIETF,75.6
AVALON,56.03
AVANTEL,38.23
AVANTIFEED,36.02
AVL,74.91
AVONMORE,76.09
AVROIND,72.46
AVTNPL,51.06
AWFIS,49.91
AWHCL,52.14
AWL,49.45
AXISBANK,52.88
AXISCADES,72.59
AXITA,62.49
AYE,34.06
AYMSYNTEX,49.37
AZAD,42.66
BAGFILMS,85.17
BAIDFIN,87.43
BAJAJ-AUTO,42.11
BAJAJCON,46.13
BAJAJELEC,52.92
BAJAJFINSV,67.1
BAJAJHCARE,44.03
BAJAJHFL,45.27
BAJAJHIND,33.51
BAJAJHLDNG,45.85
BAJAJINDEF,71.86
BAJAJST,60.26
BAJEL,49.0
BAJFINANCE,67.59
BALAJEE,65.06
BALAJITELE,60.88
BALAMINES,32.21
BALKRISHNA,60.51
BALKRISIND,44.55
BALMLAWRIE,61.05
BALPHARMA,49.58
BALRAMCHIN,29.02
BALUFORGE,39.42
BANARBEADS,83.47
BANARISUG,72.36
BANCOINDIA,47.33
BANDHANBNK,42.5
BANG,63.93
BANK10ADD,75.16
BANKADD,87.91
BANKBARODA,58.24
BANKBEES,55.67
BANKBETA,67.43
BANKBETF,87.19
BANKETF,52.89
BANKIETF,47.16
BANKINDIA,61.0
BANKNIFTY1,90.35
BANKPSU,92.57
BANSALWIRE,49.32
BANSWRAS,58.85
BASF,50.87
BATAINDIA,48.58
BATLIBOI,33.47
BAYERCROP,51.76
BBETF0432,62.53
BBL,60.83
BBNPNBETF,81.51
BBNPPGOLD,45.9
BBOX,57.52
BBTC,46.15
BBTCL,64.68
BCG,68.43
BCLIND,48.0
BCONCEPTS,62.4
BCPL,58.0
BDL,20.48
BEARDSELL,83.08
BECTORFOOD,62.22
BEDMUTHA,80.76
BEEKAY,61.37
BEL,43.13
BELLACASA,52.88
BELRISE,55.7
BEML,35.22
BENGALASM,72.0
BEPL,51.01
BERGEPAINT,58.74
BESTAGRO,60.97
BETA,35.49
BFINVEST,70.97
BFSI,79.95
BFUTILITIE,54.73
BHAGCHEM,23.67
BHARATCOAL,41.12
BHARATFORG,53.1
BHARATGEAR,59.42
BHARATRAS,63.26
BHARATSE,23.39
BHARATWIRE,35.75
BHARTIARTL,61.02
BHARTIHEXA,54.29
BHEL,46.49
BI,52.54
BIGBLOC,53.22
BIKAJI,78.84
BIL,76.88
BIMETAL,71.22
BIOCON,49.89
BIOFILCHEM,63.03
BIRLACORPN,62.32
