SYMBOL,DELIV_PER
20MICRONS,61.43
21STCENMGM,79.42
360ONE,48.65
3BBLACKBIO,44.55
3IINFOLTD,67.7
3MINDIA,47.36
3PLAND,89.62
5PAISA,43.84
63MOONS,43.37
A2ZINFRA,62.39
AAATECH,40.58
AADHARHFC,69.01
AAKASH,55.14
AARNAV,31.1
AARON,69.87
AARTIDRUGS,36.91
AARTIIND,36.77
AARTIPHARM,44.87
AARTISURF,72.29
AARVI,50.92
AASTHA,16.0
AAVAS,49.39
ABB,36.48
ABBOTINDIA,55.85
ABCAPITAL,57.89
ABCOTS,72.23
ABDL,43.59
ABFRL,51.5
ABGSEC,99.94
ABINFRA,7.11
ABLBL,49.79
ABMINTLLTD,34.97
ABMKNO,72.59
ABREL,41.8
ABSL10BANK,74.73
ABSLAMC,55.81
ABSLBANETF,98.54
ABSLLIQUID,62.2
ABSLMSCIN,92.13
ABSLNN50ET,88.51
ABSLPSE,80.02
ACC,40.78
ACCELYA,57.07
ACE,53.75
ACEINTEG,95.91
ACI,54.79
ACL,67.31
ACMESOLAR,43.86
ACSTECH,66.23
ACUTAAS,45.37
ADANIENSOL,30.24
ADANIENT,45.58
ADANIGREEN,25.5
ADANIPORTS,48.62
ADANIPOWER,37.42
ADFFOODS,40.78
ADL,55.56
ADOR,52.13
ADROITINFO,87.96
ADSL,35.35
ADVAIT,38.0
ADVANCE,57.66
ADVANIHOTR,65.41
ADVENTHTL,47.97
ADVENZYMES,58.95
AEGISLOG,14.24
AEGISVOPAK,31.35
AEPL,67.27
AEQUS,28.93
AEROENTER,46.88
AEROFLEX,40.87
AERONEU,15.94
AEROPLANE,62.7
AETHER,49.98
AFCONS,39.09
AFFLE,56.23
AFIL,78.17
AFSL,63.42
AGARIND,42.98
AGARWALEYE,53.79
AGI,49.74
AGIIL,23.15
AGL,70.09
AGROPHOS,68.2
AHCL,59.46
AHLADA,66.24
AHLEAST,76.78
AHLUCONT,49.7
AIAENG,47.3
AIIL,28.37
AIRAN,81.32
AIROLAM,75.94
AJANTPHARM,49.82
AJAXENGG,49.09
AJMERA,56.51
AJOONI,35.33
AKASH,65.34
AKCAPIT,91.69
AKG,88.57
AKI,65.85
AKSHAR,94.45
AKUMS,55.51
ALANKIT,49.98
ALBERTDAVD,82.48
ALEMBICLTD,64.83
ALGOQUANT,18.96
ALICON,60.09
ALIVUS,48.18
ALKEM,52.1
ALKYLAMINE,36.5
ALLCARGO,51.68
ALLDIGI,60.03
ALLTIME,63.86
ALMONDZ,61.8
ALOKINDS,53.5
ALPA,64.11
ALPHA,65.24
ALPHAETF,59.08
ALPHAGEO,81.84
ALPL30IETF,86.27
AMAGI,21.01
AMBALALSA,73.49
AMBER,13.82
AMBICAAGAR,64.46
AMBIKCO,67.88
AMBUJACEM,29.53
AMDIND,59.32
AMJLAND,87.56
AMNPLST,45.44
AMRUTANJAN,34.84
ANANDRATHI,52.63
ANANTRAJ,39.13
ANDHRAPAP,66.35
ANDHRSUGAR,45.36
ANGELONE,38.98
ANMOL,79.97
ANTELOPUS,70.74
ANTGRAPHIC,81.09
ANTHEM,52.29
ANUHPHR,64.15
ANUP,48.03
ANURAS,38.3
AONEGOLD,32.85
AONELIQUID,42.05
AONENIFTY,80.38
AONESILVER,66.07
AONETMMQ50,74.78
AONETOTAL,77.03
APARINDS,40.53
APCL,76.05
APCOTEXIND,53.96
APEX,35.42
APLAPOLLO,62.11
APLLTD,54.33
APOLLO,21.7
APOLLOHOSP,63.98
APOLLOPIPE,59.58
APOLLOTYRE,47.45
APOLSINHOT,52.37
APTUS,50.83
AQYLON,100.0
ARCHIDPLY,96.62
ARCHIES,60.29
ARE&M,37.34
ARENTERP,57.52
ARFIN,5.74
ARIES,66.17
ARIHANT,69.79
ARIHANTCAP,44.4
ARIHANTSUP,86.15
ARIS,26.24
ARKADE,41.69
ARMANFIN,44.46
AROGRANITE,89.3
ARSSBL,53.17
ARTEMISMED,50.14
