SYMBOL,DELIV_PER
20MICRONS,56.78
21STCENMGM,81.99
360ONE,35.9
3BBLACKBIO,60.45
3IINFOLTD,59.04
3MINDIA,34.25
3PLAND,92.81
5PAISA,52.36
63MOONS,48.24
A2ZINFRA,75.51
AAATECH,46.08
AADHARHFC,42.12
AAKASH,34.62
AARNAV,69.72
AARON,24.94
AARTIDRUGS,52.98
AARTIIND,41.84
AARTIPHARM,41.89
AARTISURF,63.02
AARVI,42.02
AASTHA,3.27
AAVAS,38.22
ABB,42.07
ABBOTINDIA,48.58
ABCAPITAL,41.93
ABCOTS,48.05
ABDL,28.88
ABFRL,45.8
ABGSEC,98.91
ABINFRA,37.75
ABLBL,54.55
ABMINTLLTD,78.72
ABMKNO,100.0
ABREL,36.26
ABSL10BANK,78.19
ABSLAMC,51.07
ABSLBANETF,78.59
ABSLLIQUID,65.28
ABSLMSCIN,44.49
ABSLNN50ET,81.56
ABSLPSE,53.77
ACC,11.56
ACCELYA,66.95
ACE,22.57
ACEINTEG,88.94
ACI,52.75
ACL,69.51
ACMESOLAR,40.24
ACSTECH,63.57
ACUTAAS,33.3
ADANIENSOL,33.21
ADANIENT,29.38
ADANIGREEN,31.82
ADANIPORTS,50.77
ADANIPOWER,33.13
ADFFOODS,53.16
ADL,89.9
ADOR,66.48
ADROITINFO,83.12
ADSL,18.1
ADVAIT,45.31
ADVANCE,58.97
ADVANIHOTR,74.04
ADVENTHTL,61.32
ADVENZYMES,55.13
AEGISLOG,31.83
AEGISVOPAK,28.93
AEPL,92.04
AEQUS,31.07
AEROENTER,44.66
AEROFLEX,30.3
AERONEU,16.75
AEROPLANE,77.06
AETHER,45.47
AFCONS,51.94
AFFLE,63.55
AFIL,66.53
AFSL,78.26
AGARIND,49.19
AGARWALEYE,62.1
AGI,45.6
AGIIL,32.81
AGL,62.14
AGROPHOS,88.69
AHCL,37.9
AHLADA,44.18
AHLEAST,72.73
AHLUCONT,19.73
AIAENG,53.16
AIIL,39.45
AIRAN,69.31
AIROLAM,53.28
AJANTPHARM,42.17
AJAXENGG,51.84
AJMERA,31.72
AJOONI,44.92
AKASH,98.08
AKCAPIT,89.94
