SYMBOL,DELIV_PER
20MICRONS,58.0
21STCENMGM,87.64
360ONE,48.89
3IINFOLTD,77.73
3MINDIA,63.9
3PLAND,80.47
5PAISA,41.72
63MOONS,61.39
AADHARHFC,70.13
AAKASH,80.37
AARON,44.03
AARTECH,69.37
AARTIDRUGS,57.39
AARTIIND,49.23
AARTIPHARM,49.47
AARTISURF,75.77
AARVI,68.23
AAVAS,68.16
ABB,48.43
ABBOTINDIA,57.95
ABCAPITAL,39.83
ABCOTS,48.6
ABDL,51.38
ABFRL,43.16
ABGSEC,99.5
ABINFRA,32.88
ABLBL,47.97
ABREL,55.29
ABSLAMC,43.39
ABSLBANETF,71.18
ABSLLIQUID,59.44
ABSLNN50ET,64.12
ABSLPSE,32.63
ACC,59.5
ACCELYA,65.09
ACCURACY,72.07
ACE,49.7
ACEINTEG,87.72
ACI,46.44
ACLGATI,47.47
ACMESOLAR,55.72
ACUTAAS,33.64
ADANIENSOL,73.18
ADANIENT,26.42
ADANIGREEN,33.84
ADANIPORTS,60.71
ADANIPOWER,21.28
ADFFOODS,51.25
ADL,50.68
ADOR,41.38
ADROITINFO,84.89
ADSL,39.27
ADVANIHOTR,81.69
ADVENZYMES,52.42
AEGISLOG,29.65
AEGISVOPAK,40.04
AEROENTER,65.52
AEROFLEX,60.66
AERONEU,47.09
AETHER,47.28
AFCONS,53.09
AFFLE,60.29
AFFORDABLE,47.36
AFIL,57.39
AFSL,78.36
AGARIND,48.14
AGARWALEYE,56.56
AGI,52.54
AGIIL,32.74
AGRITECH,80.74
AHLADA,54.75
AHLEAST,78.25
AHLUCONT,52.86
AIAENG,61.49
AIIL,47.09
AIRAN,74.41
AIROLAM,47.06
AJANTPHARM,52.75
AJAXENGG,61.02
AJMERA,59.0
AJOONI,75.66
AKASH,57.9
AKG,65.12
AKI,91.0
AKSHARCHEM,41.34
AKSHOPTFBR,82.43
AKUMS,57.81
AKZOINDIA,61.46
ALANKIT,57.27
ALBERTDAVD,75.82
ALEMBICLTD,50.32
ALICON,58.52
ALIVUS,41.84
ALKALI,44.96
ALKEM,68.59
ALKYLAMINE,58.45
ALLCARGO,33.3
ALLDIGI,61.81
ALLTIME,52.36
ALMONDZ,75.17
ALOKINDS,44.55
ALPA,65.71
ALPHA,77.86
ALPHAETF,77.83
ALPHAGEO,66.92
ALPL30IETF,79.81
AMANTA,62.23
AMBER,28.93
AMBICAAGAR,73.0
AMBIKCO,68.63
AMBUJACEM,60.86
AMDIND,68.84
AMJLAND,76.95
AMNPLST,68.98
AMRUTANJAN,40.11
ANANDRATHI,22.49
ANANTRAJ,38.41
ANDHRAPAP,61.87
ANDHRSUGAR,58.68
ANGELONE,23.29
ANIKINDS,38.43
ANMOL,81.06
ANTELOPUS,46.27
ANTGRAPHIC,55.01
ANTHEM,55.2
ANUHPHR,68.11
ANUP,49.02
ANURAS,37.66
AONEGOLD,74.74
AONELIQUID,54.37
AONENIFTY,59.32
AONETOTAL,78.5
APARINDS,33.58
APCL,66.54
APCOTEXIND,31.43
APEX,43.19
APLAPOLLO,62.82
APLLTD,38.42
APOLLO,27.73
APOLLOHOSP,64.71
APOLLOPIPE,44.67
APOLLOTYRE,46.63
APOLSINHOT,87.04
APTECHT,61.92
APTUS,52.36
ARCHIDPLY,80.72
ARCHIES,58.88
ARE&M,55.35
ARENTERP,56.48
ARIES,57.4
ARIHANTCAP,54.34
ARIHANTSUP,36.6
ARISINFRA,34.3
ARKADE,43.4
ARMANFIN,53.57
AROGRANITE,52.06
ARROWGREEN,55.07
ARSSBL,19.07
ARTEMISMED,57.94
ARTNIRMAN,95.8
ARVEE,79.39
ARVIND,42.84
ARVINDFASN,65.47
ARVSMART,60.7
ASAHIINDIA,41.25
ASAHISONG,64.39
ASAL,34.47
ASALCBR,59.17
ASHAPURMIN,48.6
ASHIANA,49.97
ASHIMASYN,58.76
ASHOKA,60.45
ASHOKAMET,77.59
ASHOKLEY,39.99
ASIANENE,43.97
ASIANHOTNR,36.62
ASIANPAINT,28.38
ASIANTILES,47.83
ASKAUTOLTD,59.95
ASPINWALL,61.87
ASTEC,13.07
ASTERDM,62.69
ASTRAL,60.78
ASTRAMICRO,33.81
ASTRAZEN,37.43
ASTRON,61.6
ATALREAL,40.83
ATAM,79.31
ATGL,20.09
ATHERENERG,15.7
ATL,38.04
ATLANTAELE,30.0
ATLASCYCLE,73.64
ATUL,25.5
ATULAUTO,40.28
AUBANK,71.55
AURIGROW,76.96
AURIONPRO,74.32
AUROPHARMA,40.44
AURUM,24.98
AUSOMENT,76.89
AUTOAXLES,66.51
AUTOBEES,79.98
AUTOIETF,89.68
AUTOIND,39.82
AVADHSUGAR,33.44
AVALON,33.69
AVANTEL,43.2
AVANTIFEED,40.1
AVG,58.22
AVL,60.47
AVONMORE,87.16
AVROIND,54.41
AVTNPL,56.81
AWFIS,60.26
AWHCL,46.74
AWL,68.14
AXISBANK,60.17
AXISBNKETF,62.49
AXISBPSETF,93.14
AXISCETF,83.12
AXISGOLD,76.18
AXISHCETF,45.2
AXISILVER,37.78
AXISNIFTY,92.37
AXISTECETF,89.8
AXISVALUE,94.86
AXITA,52.27
AXSENSEX,88.5
AYMSYNTEX,68.13
AZAD,54.67
BAGFILMS,61.55
BAIDFIN,67.62
BAJAJ-AUTO,58.85
BAJAJCON,36.67
BAJAJELEC,41.59
BAJAJFINSV,53.17
BAJAJHCARE,27.32
BAJAJHFL,55.03
BAJAJHIND,56.52
BAJAJHLDNG,49.29
BAJAJINDEF,50.59
BAJEL,61.9
BAJFINANCE,54.25
BALAJEE,41.29
BALAJITELE,54.76
BALAMINES,43.98
BALAXI,64.87
BALKRISHNA,31.18
BALKRISIND,62.01
BALMLAWRIE,62.99
BALPHARMA,51.82
BALRAMCHIN,55.25
BALUFORGE,55.13
BANARBEADS,30.69
BANARISUG,58.28
BANCOINDIA,45.85
BANDHANBNK,41.53
BANG,38.99
BANKA,78.32
BANKBARODA,48.95
BANKBEES,46.94
BANKBETF,73.99
BANKETF,62.7
BANKETFADD,69.16
BANKIETF,76.38
BANKINDIA,35.86
BANKNIFTY1,93.84
BANKPSU,53.6
BANSALWIRE,60.04
BANSWRAS,59.41
BASF,60.08
BASML,64.11
BATAINDIA,72.23
BAYERCROP,57.0
BBETF0432,60.37
BBL,46.0
BBNPNBETF,75.03
BBNPPGOLD,95.95
BBOX,43.53
BBTC,7.14
BBTCL,28.96
BCG,61.23
BCLIND,50.93
BDL,24.45
BEARDSELL,54.73
BECTORFOOD,23.08
BEDMUTHA,80.38
BEL,44.65
BELLACASA,60.02
BELRISE,42.5
BEML,27.45
BEPL,62.27
BERGEPAINT,51.98
BESTAGRO,62.77
BFINVEST,28.6
BFSI,90.26
BFUTILITIE,25.6
BHAGCHEM,71.37
BHAGERIA,53.02
BHANDARI,69.44
BHARATFORG,49.26
BHARATRAS,25.57
BHARATSE,41.52
BHARATWIRE,40.05
BHARTIARTL,54.31
BHARTIHEXA,34.53
BHEL,30.01
BIGBLOC,70.77
BIKAJI,45.42
BIL,62.93
BILVYAPAR,96.0
BIOCON,41.94
BIOFILCHEM,72.45
BIRLACABLE,64.29
BIRLACORPN,54.09
BIRLAMONEY,56.54
BIRLANU,65.92
BLACKBUCK,61.5
BLAL,77.0
BLBLIMITED,69.93
BLISSGVS,48.46
BLKASHYAP,51.25
BLS,6.61
BLSE,26.89
BLUEDART,47.06
BLUEJET,59.43
BLUESTARCO,35.2
BLUESTONE,16.65
BLUSPRING,55.57
BMWVENTLTD,67.18
BODALCHEM,52.05
BOHRAIND,57.5
BOMDYEING,25.48
BORANA,67.57
BOROLTD,63.3
BORORENEW,40.78
BOROSCI,52.06
BOSCHLTD,60.06
BPCL,66.22
BPL,62.93
BRIGADE,56.98
BRIGHOTEL,54.8
BRITANNIA,57.65
BRNL,63.9
BROOKS,55.37
BSE,23.2
BSE500IETF,74.38
BSHSL,71.1
BSL,53.52
BSLGOLDETF,89.97
BSLNIFTY,81.65
BSLSENETFG,92.64
BSOFT,54.06
BTML,74.54
BUTTERFLY,64.73
BYKE,70.02
CALSOFT,55.2
CAMLINFINE,57.91
CAMPUS,36.47
CAMS,51.15
CANBK,36.53
CANFINHOME,69.0
CANHLIFE,59.08
CANTABIL,45.55
CAPACITE,40.2
CAPITALSFB,71.25
CAPLIPOINT,38.83
CAPTRUST,70.89
CARBORUNIV,52.1
CARERATING,60.15
CARRARO,43.57
CARTRADE,52.15
CARYSIL,48.34
CASHIETF,78.18
CASTROLIND,62.8
CCCL,63.56
CCHHL,77.82
CCL,47.33
CDSL,24.87
CEATLTD,26.37
CEIGALL,49.95
CELEBRITY,79.01
CELLO,54.69
CEMPRO,44.23
CENTENKA,52.83
CENTRALBK,38.67
CENTRUM,53.25
CENTUM,49.57
CENTURYPLY,49.01
CERA,40.89
CESC,51.97
CEWATER,60.49
CGCL,59.19
CGPOWER,57.61
CHALET,54.19
CHAMBLFERT,52.48
CHEMBOND,68.77
CHEMBONDCH,69.72
CHEMCON,38.62
CHEMFAB,77.73
CHEMPLASTS,53.25
CHENNPETRO,45.3
CHEVIOT,67.33
CHOICEIN,34.85
CHOLAFIN,49.45
CHOLAHLDNG,55.01
CIEINDIA,13.23
CIFL,56.95
CIGNITITEC,22.08
CINELINE,61.4
CINEVISTA,21.65
CIPLA,55.33
CLEAN,52.43
CLSEL,32.57
CMSINFO,41.12
COALINDIA,60.37
COASTCORP,70.62
COCHINSHIP,25.24
COFORGE,29.84
COHANCE,39.83
COLPAL,48.09
COMMOIETF,66.78
COMPUSOFT,54.03
COMSYN,27.69
CONCOR,54.67
CONCORDBIO,52.5
CONFIPET,47.94
CONS,99.3
CONSOFINVT,63.34
CONSUMBEES,66.85
CONSUMER,68.31
CONSUMIETF,78.98
CONTROLPR,67.41
CORALFINAC,61.24
CORDSCABLE,57.04
COROMANDEL,53.21
COSMOFIRST,55.73
COUNCODOS,59.49
CPCAP,80.88
CPEDU,66.55
CPPLUS,49.85
CPSEETF,63.13
CRAFTSMAN,35.71
CRAMC,37.05
CREATIVE,49.35
CREATIVEYE,73.75
CREDITACC,48.13
CREST,66.42
CRISIL,46.6
CRIZAC,33.3
CROMPTON,48.85
CROWN,49.6
CSBBANK,43.35
CSLFINANCE,65.63
CTE,62.42
CUB,54.15
CUBEXTUB,50.13
CUMMINSIND,53.01
CUPID,39.45
CYIENT,28.89
CYIENTDLM,69.57
DABUR,57.58
DALBHARAT,26.22
DALMIASUG,31.54
DAMCAPITAL,42.96
DAMODARIND,88.36
DANGEE,52.73
DATAMATICS,48.74
DATAPATTNS,17.21
DAVANGERE,64.31
DBCORP,42.87
DBEIL,54.87
DBL,43.67
DBOL,67.09
DBREALTY,55.49
DBSTOCKBRO,99.95
DCAL,55.99
DCBBANK,58.1
DCI,58.61
DCM,92.51
DCMFINSERV,62.36
DCMNVL,68.97
DCMSHRIRAM,42.49
DCMSRIND,62.38
DCW,56.42
DCXINDIA,42.26
DDEVPLSTIK,69.3
DECCANCE,60.22
DEEDEV,53.45
DEEPAKFERT,52.09
DEEPAKNTR,49.29
DEEPINDS,56.43
DELHIVERY,63.53
DELTACORP,39.65
DELTAMAGNT,54.44
DEN,56.94
DENORA,48.16
DENTA,43.97
DEVIT,89.8
DEVX,46.73
DEVYANI,41.17
DGCONTENT,92.92
DHAMPURSUG,47.36
DHANBANK,68.87
DHANI,37.61
DHANUKA,58.44
DHARMAJ,43.87
DHRUV,80.1
DHUNINV,41.84
DIACABS,40.25
DIAMINESQ,78.53
DIAMONDYD,55.41
DICIND,65.7
DIFFNKG,57.36
DIGIDRIVE,58.01
DIGITIDE,43.76
DIL,35.67
DISHTV,67.39
DIVGIITTS,73.78
DIVISLAB,58.56
DIVOPPBEES,78.85
DIXON,33.28
DJML,61.96
DLF,58.86
DLINKINDIA,43.79
DMART,51.74
DMCC,54.76
DNAMEDIA,72.19
DODLA,49.6
DOLATALGO,62.1
DOLLAR,56.16
DOLPHIN,71.75
DOMS,53.44
DONEAR,64.09
DPABHUSHAN,48.57
DPSCLTD,53.69
DPWIRES,60.4
DRCSYSTEMS,64.17
DREAMFOLKS,43.46
DREDGECORP,52.76
DRREDDY,65.31
DSSL,70.28
DTIL,46.1
DUCON,63.98
DVL,45.51
DWARKESH,52.62
DYCL,41.51
DYNAMATECH,38.85
DYNPRO,70.36
E2E,43.08
EASEMYTRIP,50.09
EBANKNIFTY,79.6
EBBETF0430,97.88
EBBETF0431,98.76
EBBETF0433,90.34
EBGNG,43.12
ECAPINSURE,64.49
ECLERX,37.71
ECOSMOBLTY,44.49
EDELWEISS,47.01
EFCIL,61.5
EGOLD,96.67
EICHERMOT,54.67
EIDPARRY,59.56
EIEL,43.36
EIFFL,63.02
EIHAHOTELS,49.4
EIHOTEL,45.79
EIMCOELECO,45.17
EKC,56.66
ELDEHSG,71.43
ELECON,54.72
ELECTCAST,61.74
ELECTHERM,72.29
ELGIEQUIP,52.14
ELIN,38.96
ELLEN,49.99
ELM250,63.12
EMAMILTD,61.17
EMAMIPAP,75.56
EMAMIREAL,89.39
EMBDL,48.17
EMCURE,46.6
EMIL,43.54
EMMBI,38.57
EMSLIMITED,45.01
EMUDHRA,36.04
EMULTIMQ,65.48
ENDURANCE,57.91
ENERGYDEV,50.02
ENGINERSIN,45.05
ENIL,81.58
ENRIN,48.01
ENTERO,50.47
EPACK,55.63
EPACKPEB,51.7
EPIGRAL,55.52
EPL,60.05
EQUAL200,98.31
EQUAL50,61.36
EQUAL50ADD,96.07
EQUITASBNK,48.61
ERIS,72.06
ESABINDIA,49.74
ESAFSFB,64.64
ESCORTS,50.27
ESG,95.29
ESILVER,36.07
ESSARSHPNG,62.6
ESSENTIA,67.2
ESTER,62.2
ETERNAL,49.62
ETHOSLTD,61.42
EUREKAFORB,69.92
EUROBOND,74.99
EUROPRATIK,36.51
EUROTEXIND,98.08
EVEREADY,51.56
EVERESTIND,66.41
EVIETF,80.86
EVINDIA,75.69
EXCELINDUS,68.57
EXICOM,43.03
EXIDEIND,63.86
EXPLEOSOL,62.92
EXXARO,89.03
FACT,31.15
FAIRCHEMOR,50.85
FAZE3Q,5.1
FCL,44.79
FCSSOFT,53.99
FDC,49.88
FEDERALBNK,62.01
FEDFINA,48.09
FIBERWEB,62.87
FIEMIND,61.61
FILATEX,38.67
FILATFASH,47.91
FINCABLES,63.91
FINEORG,54.12
FINIETF,64.01
FINKURVE,42.73
FINOPB,41.52
FINPIPE,58.65
FIRSTCRY,50.13
FISCHER,89.32
FIVESTAR,41.6
FLAIR,50.05
FLEXIADD,74.61
FLEXITUFF,70.06
FLUOROCHEM,61.47
FMCGIETF,87.77
FMGOETZE,57.21
FMNL,72.13
FOCUS,47.5
FOODSIN,76.52
FORCEMOT,18.06
FORTIS,61.88
FOSECOIND,48.17
FSL,44.68
FUSION,65.17
GABRIEL,66.76
GAEL,47.48
GAIL,63.89
GALAPREC,58.12
GALAXYSURF,58.34
GALLANTT,46.18
GANDHAR,52.54
GANDHITUBE,57.0
GANECOS,57.8
GANESHBE,63.07
GANESHCP,48.85
GANESHHOU,44.41
GANGAFORGE,64.04
GANGESSECU,22.81
GARFIBRES,53.02
GARUDA,43.12
GATECH,59.25
GATEWAY,61.45
GCSL,68.42
GEECEE,57.13
GEEKAYWIRE,63.02
GEMAROMA,60.09
GENCON,57.73
GENESYS,32.8
GENUSPAPER,76.22
GENUSPOWER,49.94
GEOJITFSL,38.03
GESHIP,58.11
GFLLIMITED,44.82
GHCL,56.96
GHCLTEXTIL,39.97
GICHSGFIN,65.36
GICRE,59.05
GILLANDERS,79.78
GILLETTE,45.87
GILT5YBEES,55.56
