SYMBOL,DELIV_PER
20MICRONS,48.54
21STCENMGM,74.75
360ONE,30.01
3IINFOLTD,75.66
3MINDIA,42.0
3PLAND,87.99
5PAISA,40.91
63MOONS,55.38
A2ZINFRA,60.19
AADHARHFC,53.17
AAKASH,71.6
AAREYDRUGS,54.56
AARON,74.12
AARTECH,43.13
AARTIDRUGS,48.55
AARTIIND,44.6
AARTIPHARM,51.98
AARTISURF,78.6
AARVI,43.17
AAVAS,62.77
ABB,46.16
ABBOTINDIA,56.76
ABCAPITAL,32.44
ABCOTS,52.87
ABDL,58.99
ABFRL,52.66
ABGSEC,90.0
ABINFRA,53.45
ABLBL,50.06
ABMINTLLTD,75.92
ABREL,47.42
ABSLAMC,50.51
ABSLBANETF,91.75
ABSLLIQUID,81.55
ABSLNN50ET,83.52
ABSLPSE,79.33
ACC,55.28
ACCELYA,49.68
ACCURACY,57.63
ACE,35.66
ACEINTEG,64.14
ACI,40.68
ACL,65.9
ACMESOLAR,60.47
ACUTAAS,58.56
ADANIENSOL,36.28
ADANIENT,37.74
ADANIGREEN,43.36
ADANIPORTS,41.6
ADANIPOWER,37.53
ADFFOODS,48.32
ADL,68.55
ADOR,48.85
ADROITINFO,88.63
ADSL,49.73
ADVANCE,48.32
ADVANIHOTR,72.97
ADVENTHTL,50.47
ADVENZYMES,58.2
AEGISLOG,58.01
AEGISVOPAK,47.15
AEQUS,39.46
AEROENTER,22.3
AEROFLEX,45.61
AERONEU,34.49
AETHER,51.29
AFCONS,54.44
AFFLE,75.57
AFFORDABLE,67.76
AFIL,76.52
AFSL,73.65
AGARIND,60.29
AGARWALEYE,41.22
AGI,40.38
AGIIL,14.34
AGROPHOS,68.03
AHCL,46.21
AHLADA,20.12
AHLEAST,54.12
AHLUCONT,43.87
AIAENG,39.9
AIIL,47.74
AIRAN,78.22
AIROLAM,96.01
AJANTPHARM,73.64
AJAXENGG,51.91
AJMERA,28.84
AJOONI,73.2
AKASH,59.4
AKG,70.58
AKI,75.35
AKSHAR,75.79
AKSHARCHEM,35.99
AKSHOPTFBR,82.02
AKUMS,51.59
AKZOINDIA,64.7
ALANKIT,71.86
ALBERTDAVD,61.27
ALEMBICLTD,73.05
ALGOQUANT,24.48
ALICON,60.84
ALIVUS,51.21
ALKALI,71.78
ALKEM,67.69
ALKYLAMINE,5.14
ALLCARGO,52.8
ALLDIGI,64.43
ALLTIME,53.42
ALMONDZ,76.71
ALOKINDS,15.57
ALPA,65.18
ALPHA,46.06
ALPHAETF,67.7
ALPHAGEO,76.54
ALPL30IETF,82.09
AMANTA,52.84
AMBER,32.25
AMBICAAGAR,98.31
AMBIKCO,64.54
AMBUJACEM,50.7
AMDIND,84.24
AMJLAND,52.34
AMNPLST,47.06
AMRUTANJAN,65.04
ANANDRATHI,61.25
ANANTRAJ,23.56
ANDHRAPAP,65.97
ANDHRSUGAR,59.85
ANGELONE,20.58
ANIKINDS,65.86
ANMOL,46.88
ANTELOPUS,56.78
ANTGRAPHIC,85.62
ANTHEM,51.38
ANUHPHR,64.72
ANUP,54.2
ANURAS,17.43
AONEGOLD,57.46
AONELIQUID,81.71
AONENIFTY,86.27
AONETMMQ50,87.52
AONETOTAL,53.65
APARINDS,44.98
APCL,32.75
APCOTEXIND,73.77
APEX,36.58
APLAPOLLO,54.19
APLLTD,45.73
APOLLO,38.1
APOLLOHOSP,77.92
APOLLOPIPE,53.72
APOLLOTYRE,40.07
APOLSINHOT,78.55
APTECHT,57.13
APTUS,47.87
ARCHIDPLY,82.02
ARCHIES,85.66
ARE&M,48.92
ARENTERP,84.47
ARFIN,63.5
ARIES,56.45
ARIHANTCAP,40.0
ARIHANTSUP,25.3
ARISINFRA,71.79
ARKADE,40.42
ARMANFIN,51.99
AROGRANITE,61.85
ARROWGREEN,52.45
ARSSBL,30.79
ARTEMISMED,57.93
ARTNIRMAN,57.81
ARVIND,44.93
ARVINDFASN,58.98
ARVSMART,48.2
ASAHIINDIA,35.58
ASAHISONG,55.27
ASAL,61.2
ASALCBR,26.05
ASHAPURMIN,45.07
ASHIANA,63.43
ASHIMASYN,79.51
ASHOKA,47.84
ASHOKAMET,59.95
ASHOKLEY,49.75
ASIANENE,64.23
ASIANHOTNR,47.97
ASIANPAINT,53.77
ASIANTILES,48.39
ASKAUTOLTD,40.65
ASMS,71.06
ASPINWALL,65.64
ASTEC,33.43
ASTERDM,68.16
ASTRAL,50.18
ASTRAMICRO,54.74
ASTRAZEN,38.82
ASTRON,79.09
ATALREAL,33.09
ATAM,87.13
ATGL,33.48
ATHERENERG,29.45
ATL,58.06
ATLANTAELE,79.19
ATLASCYCLE,54.81
ATUL,42.02
ATULAUTO,52.04
AUBANK,65.78
AURIONPRO,35.71
AUROPHARMA,44.47
AURUM,66.21
AUSOMENT,22.51
AUTOAXLES,53.5
AUTOBEES,75.2
AUTOIETF,66.38
AUTOIND,57.59
AVADHSUGAR,61.59
AVALON,37.16
AVANTEL,34.39
AVANTIFEED,28.47
AVG,48.09
AVL,46.72
AVONMORE,59.9
AVROIND,64.93
AVTNPL,74.74
AWFIS,69.58
AWHCL,28.81
AWL,41.69
AXISBANK,61.41
AXISBNKETF,97.97
AXISBPSETF,89.77
AXISCETF,98.53
AXISGOLD,85.01
AXISHCETF,85.87
AXISILVER,53.17
AXISNIFTY,98.69
AXISTECETF,75.11
AXISVALUE,80.72
AXSENSEX,98.72
AYMSYNTEX,77.56
AZAD,59.81
BAGFILMS,75.75
BAIDFIN,59.55
BAJAJ-AUTO,58.89
BAJAJCON,42.18
BAJAJELEC,50.0
BAJAJFINSV,56.55
BAJAJHCARE,33.49
BAJAJHFL,52.99
BAJAJHIND,57.24
BAJAJHLDNG,22.93
BAJAJINDEF,45.22
BAJEL,57.17
BAJFINANCE,51.93
BALAJEE,74.42
BALAJITELE,37.99
BALAMINES,5.05
BALAXI,72.33
BALKRISHNA,92.28
BALKRISIND,83.72
BALMLAWRIE,56.03
BALPHARMA,83.04
BALRAMCHIN,49.75
BALUFORGE,20.96
BANARBEADS,81.81
BANARISUG,68.13
BANCOINDIA,44.49
BANDHANBNK,37.0
BANG,53.06
BANKA,73.99
BANKADD,83.89
BANKBARODA,50.57
BANKBEES,55.04
BANKBETA,97.76
BANKBETF,63.19
BANKETF,92.85
BANKIETF,69.21
BANKINDIA,38.19
BANKNIFTY1,94.06
BANKPSU,72.16
BANSALWIRE,66.08
BANSWRAS,68.44
BASF,54.66
BASML,63.07
BATAINDIA,58.37
BAYERCROP,64.26
BBETF0432,87.98
BBL,43.99
BBNPNBETF,98.84
BBNPPGOLD,84.91
BBOX,35.15
BBTC,41.87
BBTCL,56.3
BCG,55.76
BCLIND,58.08
BCONCEPTS,65.94
BDL,21.08
BEARDSELL,94.39
BECTORFOOD,54.38
BEDMUTHA,25.6
BEL,44.47
BELLACASA,57.85
BELRISE,39.89
BEML,38.66
BEPL,62.02
BERGEPAINT,52.73
BESTAGRO,37.83
BETA,59.92
BFINVEST,64.78
BFSI,64.0
BHAGCHEM,52.93
BHAGERIA,68.25
BHANDARI,81.27
BHARATFORG,74.94
BHARATGEAR,69.02
BHARATRAS,53.49
BHARATSE,58.09
BHARATWIRE,44.29
BHARTIARTL,74.61
BHARTIHEXA,63.67
BHEL,30.9
BIGBLOC,43.97
BIKAJI,47.16
BIL,97.33
BIOCON,40.5
BIOFILCHEM,84.86
BIRLACABLE,36.8
BIRLACORPN,52.93
BIRLAMONEY,52.34
BIRLANU,38.37
BLACKBUCK,46.04
BLAL,61.48
BLBLIMITED,68.82
BLISSGVS,14.45
BLKASHYAP,56.75
BLS,47.38
BLSE,45.9
BLUECOAST,89.78
BLUEDART,53.22
BLUEJET,57.33
BLUESTARCO,38.59
BLUESTONE,42.57
BLUSPRING,62.36
BMWVENTLTD,78.24
BODALCHEM,63.86
BOHRAIND,73.4
BOMDYEING,45.92
BOROLTD,35.33
BORORENEW,56.22
BOROSCI,51.47
BOSCH-HCIL,61.48
BOSCHLTD,39.63
BPCL,52.0
BPL,45.7
BRIGADE,41.94
BRIGHOTEL,59.74
BRITANNIA,60.37
BRNL,42.56
BROOKS,55.12
BSE,24.82
BSE500IETF,53.5
BSHSL,60.38
BSL,54.12
BSLGOLDETF,93.41
BSLNIFTY,94.25
BSLSENETFG,41.16
BSOFT,36.42
BTML,46.08
BUTTERFLY,60.72
BVCL,58.9
BYKE,66.41
CALSOFT,51.73
CAMLINFINE,18.89
CAMPUS,59.0
CAMS,47.67
CANBK,41.73
CANFINHOME,58.42
CANHLIFE,50.66
CANTABIL,54.68
CAPACITE,52.63
CAPILLARY,23.08
CAPITALSFB,60.44
CAPLIPOINT,50.26
CAPTRUST,80.22
CARBORUNIV,62.13
CARERATING,53.11
CARRARO,55.89
CARTRADE,38.57
CARYSIL,54.24
CASHIETF,91.94
CASTROLIND,68.47
CCHHL,79.51
CCL,55.44
CDSL,47.2
CEATLTD,27.11
CEIGALL,39.25
CELEBRITY,84.94
CELLO,54.44
CEMPRO,50.93
CENTENKA,61.54
CENTRALBK,44.43
CENTRUM,71.21
CENTUM,40.7
CENTURYPLY,46.01
CERA,29.55
CESC,59.79
CEWATER,43.83
CGCL,65.42
CGPOWER,32.54
CHALET,46.8
CHAMBLFERT,53.9
CHEMBOND,64.56
CHEMBONDCH,58.41
CHEMCON,61.27
CHEMFAB,28.61
CHEMICAL,88.93
CHEMPLASTS,59.28
CHENNPETRO,43.21
CHEVIOT,67.36
CHOICEGOLD,64.57
CHOICEIN,35.71
CHOLAFIN,63.6
CHOLAHLDNG,56.38
CIEINDIA,34.42
CIFL,56.01
CIGNITITEC,37.29
CINELINE,80.07
CINEVISTA,68.29
CIPLA,71.25
CLEAN,50.53
CLEDUCATE,64.73
CLSEL,48.05
CMSINFO,47.51
CNL,94.01
COALINDIA,43.94
COCHINSHIP,35.83
COFFEEDAY,56.33
COFORGE,50.68
COHANCE,83.56
COLPAL,46.19
COMMOIETF,52.3
COMPUSOFT,69.88
CONCOR,49.07
CONCORDBIO,37.41
CONFIPET,57.14
CONS,44.5
CONSOFINVT,60.09
CONSUMBEES,57.9
CONSUMER,96.24
CONSUMIETF,85.55
CONTROLPR,64.53
CORALFINAC,46.61
CORDSCABLE,66.01
COROMANDEL,59.16
CORONA,32.96
COSMOFIRST,47.68
COUNCODOS,88.57
CPCAP,44.76
CPEDU,56.95
CPPLUS,53.63
CPSEETF,55.83
CRAFTSMAN,34.93
CRAMC,59.26
CREATIVEYE,84.28
CREDITACC,64.62
CREST,55.67
CRISIL,53.24
CRIZAC,28.85
CROMPTON,48.34
CROWN,62.71
CSBBANK,26.82
CSLFINANCE,52.29
CTE,76.96
CUB,58.99
CUBEXTUB,51.11
CUMMINSIND,63.46
CUPID,18.33
CYBERMEDIA,71.08
CYIENT,38.97
CYIENTDLM,71.27
DABUR,57.95
DALBHARAT,53.38
DALMIASUG,56.4
DAMCAPITAL,50.02
DAMODARIND,66.13
DANGEE,73.94
DATAMATICS,37.79
DATAPATTNS,20.89
DAVANGERE,56.11
DBCORP,54.9
DBEIL,77.46
DBL,52.52
DBOL,87.24
DBREALTY,43.91
DBSTOCKBRO,64.11
DCAL,70.66
DCBBANK,41.9
DCI,66.49
DCM,86.52
DCMFINSERV,77.0
DCMNVL,67.13
DCMSHRIRAM,50.27
DCW,59.26
DCXINDIA,34.83
DDEVPLSTIK,62.45
DECCANCE,58.95
DEEDEV,7.28
DEEPAKFERT,51.11
DEEPAKNTR,35.38
DEEPINDS,56.34
DELHIVERY,54.24
DELPHIFX,34.51
DELTACORP,54.17
DELTAMAGNT,86.47
DEN,56.33
DENORA,59.47
DENTA,45.76
DEVIT,48.8
DEVX,55.15
DEVYANI,37.73
DGCONTENT,57.96
DHAMPURSUG,42.15
DHANBANK,56.65
DHANUKA,58.99
DHARMAJ,62.7
DHRUV,93.07
DHUNINV,74.74
DIACABS,59.52
