SYMBOL,DELIV_PER
20MICRONS,49.45
21STCENMGM,81.53
360ONE,63.15
3BBLACKBIO,58.0
3IINFOLTD,65.83
3MINDIA,43.94
3PLAND,93.57
5PAISA,41.96
63MOONS,47.77
A2ZINFRA,68.48
AAATECH,52.69
AADHARHFC,58.02
AAKASH,55.99
AARNAV,71.63
AARON,44.24
AARTIDRUGS,51.08
AARTIIND,47.89
AARTIPHARM,59.17
AARTISURF,71.56
AARVI,37.83
AASTHA,22.13
AAVAS,47.78
ABB,31.31
ABBOTINDIA,61.41
ABCAPITAL,49.37
ABCOTS,86.52
ABDL,49.97
ABFRL,54.25
ABGSEC,99.64
ABINFRA,51.92
ABLBL,74.34
ABMINTLLTD,19.81
ABMKNO,94.81
ABREL,53.39
ABSL10BANK,95.25
ABSLAMC,48.26
ABSLBANETF,49.98
ABSLLIQUID,97.63
ABSLMSCIN,100.0
ABSLNN50ET,53.81
ABSLPSE,76.74
ACC,44.57
ACCELYA,68.84
ACE,42.31
ACEINTEG,83.53
ACI,57.39
ACL,67.17
ACMESOLAR,38.49
ACSTECH,54.34
ACUTAAS,37.1
ADANIENSOL,47.27
ADANIENT,20.91
ADANIGREEN,24.35
ADANIPORTS,37.09
ADANIPOWER,25.9
ADFFOODS,45.38
ADL,78.21
ADOR,53.52
ADROITINFO,61.56
ADSL,43.33
ADVAIT,43.44
ADVANCE,50.41
ADVANIHOTR,78.96
ADVENTHTL,47.69
ADVENZYMES,58.41
AEGISLOG,31.3
AEGISVOPAK,34.32
AEPL,90.84
AEQUS,49.33
AEROENTER,47.95
AEROFLEX,33.61
AERONEU,11.22
AEROPLANE,52.89
AETHER,57.2
AFCONS,49.42
AFFLE,30.33
AFIL,64.88
AFSL,97.52
AGARIND,25.62
AGARWALEYE,61.59
AGI,32.97
AGIIL,14.3
AGL,75.99
AGROPHOS,69.53
AHCL,48.61
AHLADA,86.4
AHLEAST,43.36
AHLUCONT,63.58
AIAENG,62.04
AIIL,38.25
AIRAN,72.89
AIROLAM,99.06
AJANTPHARM,60.94
AJAXENGG,55.56
AJMERA,48.99
AJOONI,79.2
AKASH,75.32
AKCAPIT,87.29
AKG,61.03
AKI,65.1
AKSHAR,67.31
AKUMS,65.62
ALANKIT,79.07
ALBERTDAVD,69.59
ALEMBICLTD,55.7
ALGOQUANT,19.61
ALICON,67.43
ALIVUS,53.13
ALKEM,55.71
ALKYLAMINE,41.78
ALLCARGO,53.4
ALLDIGI,83.6
ALLTIME,65.77
ALMONDZ,37.49
ALOKINDS,59.6
ALPA,57.62
ALPHA,52.33
ALPHAETF,84.67
ALPHAGEO,79.03
ALPL30IETF,61.61
AMAGI,45.75
AMBALALSA,83.58
AMBER,22.44
AMBICAAGAR,58.6
AMBIKCO,60.87
AMBUJACEM,39.81
AMDIND,51.78
AMJLAND,86.09
AMNPLST,19.05
AMRUTANJAN,54.57
ANANDRATHI,51.61
ANANTRAJ,35.64
ANDHRAPAP,64.42
ANDHRSUGAR,48.94
ANGELONE,32.75
ANIKINDS,84.4
ANMOL,84.63
ANTELOPUS,53.85
ANTGRAPHIC,71.54
