SYMBOL,DELIV_PER
20MICRONS,62.37
21STCENMGM,66.51
360ONE,51.46
3IINFOLTD,57.83
3MINDIA,55.0
3PLAND,68.72
5PAISA,46.07
63MOONS,63.08
A2ZINFRA,53.89
AADHARHFC,50.57
AAKASH,80.03
AARON,35.03
AARTECH,58.44
AARTIDRUGS,33.32
AARTIIND,38.88
AARTIPHARM,48.08
AARTISURF,57.96
AARVI,70.98
AAVAS,63.23
ABB,47.9
ABBOTINDIA,64.54
ABCAPITAL,40.12
ABCOTS,58.93
ABDL,42.26
ABFRL,51.52
ABGSEC,88.89
ABINFRA,58.85
ABLBL,83.31
ABREL,33.46
ABSLAMC,57.93
ABSLBANETF,70.55
ABSLLIQUID,97.28
ABSLNN50ET,55.16
ABSLPSE,62.43
ACC,58.63
ACCELYA,57.05
ACCURACY,79.13
ACE,49.51
ACEINTEG,70.75
ACI,38.65
ACLGATI,56.82
ACMESOLAR,53.75
ACUTAAS,41.82
ADANIENSOL,27.11
ADANIENT,29.8
ADANIGREEN,29.29
ADANIPORTS,38.74
ADANIPOWER,28.84
ADFFOODS,53.4
ADL,64.0
ADOR,48.26
ADROITINFO,77.6
ADSL,45.0
ADVANCE,41.3
ADVANIHOTR,67.96
ADVENZYMES,57.2
AEGISLOG,47.03
AEGISVOPAK,49.34
AEROENTER,48.06
AEROFLEX,47.45
AERONEU,34.71
AETHER,65.56
AFCONS,53.79
AFFLE,49.21
AFFORDABLE,61.11
AFIL,69.46
AFSL,79.43
AGARIND,72.96
AGARWALEYE,38.98
AGI,64.2
AGIIL,77.0
AGRITECH,54.2
AHLADA,65.94
AHLEAST,75.45
AHLUCONT,24.77
AIAENG,62.16
AIIL,60.49
AIRAN,74.68
AIROLAM,95.54
AJANTPHARM,57.65
AJAXENGG,40.03
AJMERA,30.34
AJOONI,68.13
AKASH,76.61
AKG,71.46
AKI,81.1
AKSHARCHEM,55.27
AKSHOPTFBR,75.15
AKUMS,56.64
AKZOINDIA,63.67
ALANKIT,64.05
ALBERTDAVD,68.59
ALEMBICLTD,54.82
ALICON,30.68
ALIVUS,56.04
ALKALI,77.24
ALKEM,55.85
ALKYLAMINE,55.5
ALLCARGO,47.2
ALLDIGI,70.51
ALLTIME,53.73
ALMONDZ,79.41
ALOKINDS,51.64
ALPA,84.39
ALPHA,80.45
ALPHAETF,72.67
ALPHAGEO,78.28
ALPL30IETF,86.5
AMANTA,80.33
AMBER,42.38
AMBICAAGAR,93.26
AMBIKCO,71.86
AMBUJACEM,36.94
AMDIND,58.77
AMJLAND,40.19
AMNPLST,69.99
AMRUTANJAN,49.16
ANANDRATHI,41.62
ANANTRAJ,33.18
ANDHRAPAP,59.43
ANDHRSUGAR,52.16
ANGELONE,31.0
ANIKINDS,22.06
ANMOL,70.71
ANTELOPUS,61.46
ANTGRAPHIC,83.09
ANTHEM,51.33
ANUHPHR,79.5
ANUP,50.16
ANURAS,25.67
AONEGOLD,59.24
AONELIQUID,85.95
AONENIFTY,84.14
AONETOTAL,66.28
APARINDS,49.59
APCL,71.7
APCOTEXIND,69.43
APEX,28.55
APLAPOLLO,41.23
APLLTD,62.64
APOLLO,42.17
APOLLOHOSP,62.63
APOLLOPIPE,54.27
APOLLOTYRE,49.69
APOLSINHOT,82.6
APTECHT,52.77
APTUS,65.24
ARCHIDPLY,62.86
ARCHIES,86.47
ARE&M,53.44
ARENTERP,23.91
ARIES,48.47
ARIHANTCAP,16.27
ARIHANTSUP,71.15
ARISINFRA,43.76
ARKADE,26.63
ARMANFIN,53.72
AROGRANITE,49.3
ARROWGREEN,41.89
ARSSBL,58.28
