SYMBOL,DELIV_PER
20MICRONS,37.97
21STCENMGM,87.36
360ONE,57.08
3IINFOLTD,84.18
3MINDIA,48.94
3PLAND,93.81
5PAISA,25.13
63MOONS,41.24
A2ZINFRA,80.8
AADHARHFC,54.65
AAKASH,46.21
AAREYDRUGS,66.54
AARON,51.6
AARTECH,49.11
AARTIDRUGS,27.79
AARTIIND,38.16
AARTIPHARM,41.21
AARTISURF,74.74
AARVI,58.99
AAVAS,60.73
ABB,45.47
ABBOTINDIA,71.75
ABCAPITAL,39.77
ABCOTS,30.01
ABDL,57.91
ABFRL,44.48
ABGSEC,99.89
ABINFRA,79.97
ABLBL,51.03
ABMINTLLTD,64.28
ABREL,51.65
ABSLAMC,48.97
ABSLBANETF,97.93
ABSLLIQUID,99.02
ABSLNN50ET,94.69
ABSLPSE,89.05
ACC,53.73
ACCELYA,64.55
ACCURACY,66.17
ACE,54.12
ACEINTEG,63.17
ACI,38.99
ACL,82.43
ACMESOLAR,48.24
ACUTAAS,58.81
ADANIENSOL,45.37
ADANIENT,41.88
ADANIGREEN,29.98
ADANIPORTS,59.92
ADANIPOWER,40.08
ADFFOODS,38.66
ADL,94.12
ADOR,66.84
ADROITINFO,94.72
ADSL,59.08
ADVANCE,48.88
ADVANIHOTR,69.57
ADVENTHTL,45.85
ADVENZYMES,48.9
AEGISLOG,26.89
AEGISVOPAK,58.38
AEQUS,28.28
AEROENTER,15.38
AEROFLEX,38.55
AERONEU,21.35
AETHER,15.6
AFCONS,46.66
AFFLE,49.26
AFFORDABLE,64.19
AFIL,59.45
AFSL,73.71
AGARIND,61.55
AGARWALEYE,22.36
AGI,52.8
AGIIL,46.11
AGROPHOS,64.6
AHCL,63.92
AHLADA,79.73
AHLEAST,89.4
AHLUCONT,61.51
AIAENG,37.13
AIIL,73.06
AIRAN,68.03
AIROLAM,100.0
AJANTPHARM,60.71
AJAXENGG,48.2
AJMERA,41.5
AJOONI,75.92
AKASH,61.44
AKG,99.11
AKI,77.02
AKSHAR,80.07
AKSHARCHEM,54.89
AKSHOPTFBR,73.92
AKUMS,51.92
AKZOINDIA,28.68
ALANKIT,68.1
ALBERTDAVD,52.09
ALEMBICLTD,48.38
ALGOQUANT,19.8
ALICON,56.59
ALIVUS,51.08
ALKALI,78.29
ALKEM,56.31
ALKYLAMINE,57.33
ALLCARGO,48.75
ALLDIGI,61.41
ALLTIME,63.56
ALMONDZ,61.78
ALOKINDS,56.7
ALPA,74.45
ALPHA,69.38
ALPHAETF,74.29
ALPHAGEO,73.33
ALPL30IETF,59.92
AMANTA,61.58
AMBER,26.3
AMBICAAGAR,99.66
AMBIKCO,50.06
AMBUJACEM,49.75
AMDIND,56.47
AMJLAND,79.22
AMNPLST,69.97
AMRUTANJAN,74.82
ANANDRATHI,67.51
ANANTRAJ,37.64
ANDHRAPAP,54.07
ANDHRSUGAR,60.61
ANGELONE,21.16
ANIKINDS,65.61
ANMOL,61.5
ANTELOPUS,64.22
ANTGRAPHIC,94.27
ANTHEM,49.27
ANUHPHR,60.7
ANUP,43.59
ANURAS,30.56
AONEGOLD,72.77
AONELIQUID,74.37
AONENIFTY,83.99
AONETMMQ50,93.02
AONETOTAL,51.74
APARINDS,50.32
APCL,66.5
APCOTEXIND,71.13
APEX,24.09
APLAPOLLO,66.49
APLLTD,44.47
APOLLO,37.58
APOLLOHOSP,49.29
APOLLOPIPE,49.64
APOLLOTYRE,49.24
APOLSINHOT,57.59
APTECHT,50.17
APTUS,57.9
ARCHIDPLY,83.52
ARCHIES,90.76
ARE&M,47.72
ARENTERP,86.34
ARFIN,56.0
ARIES,49.97
ARIHANTCAP,10.77
ARIHANTSUP,26.01
ARISINFRA,37.99
ARKADE,52.12
ARMANFIN,50.4
AROGRANITE,64.04
ARROWGREEN,58.72
ARSSBL,26.64
ARTEMISMED,63.08
ARTNIRMAN,99.12
ARVIND,54.16
ARVINDFASN,56.72
ARVSMART,44.77
ASAHIINDIA,37.86
ASAHISONG,81.14
ASAL,58.37
ASALCBR,53.54
