SYMBOL,DELIV_PER
20MICRONS,45.95
21STCENMGM,75.31
360ONE,53.06
3IINFOLTD,65.38
3MINDIA,73.22
3PLAND,91.16
5PAISA,68.52
63MOONS,80.23
A2ZINFRA,57.79
AADHARHFC,54.85
AAKASH,70.29
AARON,63.47
AARTECH,66.11
AARTIDRUGS,48.77
AARTIIND,40.94
AARTIPHARM,50.5
AARTISURF,66.33
AARVI,79.93
AAVAS,60.12
ABB,44.86
ABBOTINDIA,65.34
ABCAPITAL,41.95
ABCOTS,22.19
ABDL,36.22
ABFRL,51.74
ABGSEC,100.0
ABINFRA,48.6
ABLBL,72.37
ABREL,41.91
ABSLAMC,60.06
ABSLBANETF,72.05
ABSLLIQUID,95.29
ABSLNN50ET,82.12
ABSLPSE,88.84
ACC,43.76
ACCELYA,64.0
ACCURACY,59.08
ACE,48.52
ACEINTEG,52.48
ACI,39.84
ACLGATI,55.67
ACMESOLAR,62.64
ACUTAAS,45.1
ADANIENSOL,29.14
ADANIENT,27.79
ADANIGREEN,25.89
ADANIPORTS,40.78
ADANIPOWER,40.43
ADFFOODS,50.15
ADL,95.17
ADOR,52.99
ADROITINFO,92.02
ADSL,49.18
ADVANCE,48.29
ADVANIHOTR,69.92
ADVENZYMES,47.52
AEGISLOG,30.76
AEGISVOPAK,45.34
AEROENTER,46.09
AEROFLEX,40.76
AERONEU,29.15
AETHER,51.26
AFCONS,45.47
AFFLE,46.17
AFFORDABLE,50.21
AFIL,65.0
AFSL,49.52
AGARIND,78.05
AGARWALEYE,31.06
AGI,55.71
AGIIL,31.65
AGRITECH,67.66
AHLADA,70.17
AHLEAST,90.71
AHLUCONT,47.39
AIAENG,77.66
AIIL,60.46
AIRAN,82.76
AIROLAM,37.67
AJANTPHARM,25.17
AJAXENGG,71.59
AJMERA,51.42
AJOONI,73.34
AKASH,55.54
AKG,46.12
AKI,80.54
AKSHARCHEM,50.1
AKSHOPTFBR,77.94
AKUMS,55.13
AKZOINDIA,79.98
ALANKIT,69.75
ALBERTDAVD,62.99
ALEMBICLTD,52.12
ALICON,45.43
ALIVUS,51.1
ALKALI,54.28
ALKEM,56.28
ALKYLAMINE,46.79
ALLCARGO,56.59
ALLDIGI,62.52
ALLTIME,56.87
ALMONDZ,71.1
ALOKINDS,55.36
ALPA,81.93
ALPHA,66.76
ALPHAETF,69.41
ALPHAGEO,31.3
ALPL30IETF,76.59
AMANTA,62.75
AMBER,31.19
AMBICAAGAR,93.74
AMBIKCO,70.82
AMBUJACEM,27.84
AMDIND,27.86
AMJLAND,58.88
AMNPLST,65.71
AMRUTANJAN,64.79
ANANDRATHI,41.27
ANANTRAJ,34.61
ANDHRAPAP,84.52
ANDHRSUGAR,64.48
ANGELONE,33.6
ANIKINDS,18.89
ANMOL,81.32
ANTELOPUS,57.11
ANTGRAPHIC,90.31
ANTHEM,50.17
ANUHPHR,57.42
ANUP,39.79
ANURAS,54.57
AONEGOLD,71.39
AONELIQUID,80.04
AONENIFTY,72.71
AONETOTAL,59.92
APARINDS,49.19
APCL,75.25
APCOTEXIND,68.69
APEX,52.17
APLAPOLLO,67.21
APLLTD,43.4
APOLLO,39.73
APOLLOHOSP,69.86
APOLLOPIPE,41.18
APOLLOTYRE,55.12
APOLSINHOT,76.36
APTECHT,41.12
APTUS,61.96
ARCHIDPLY,75.14
ARCHIES,73.69
ARE&M,58.19
ARENTERP,92.95
ARIES,72.09
ARIHANTCAP,24.47
ARIHANTSUP,27.93
ARISINFRA,38.46
ARKADE,36.77
ARMANFIN,52.64
AROGRANITE,80.51
ARROWGREEN,51.84
ARSSBL,38.83
ARTEMISMED,50.98
ARTNIRMAN,31.08
ARVEE,92.68
ARVIND,50.33
ARVINDFASN,18.41
ARVSMART,62.98
ASAHIINDIA,34.51
ASAHISONG,66.93
ASAL,38.02
ASALCBR,26.08
ASHAPURMIN,56.02
ASHIANA,59.86
ASHIMASYN,55.01
ASHOKA,42.53
ASHOKAMET,58.15
ASHOKLEY,36.89
ASIANENE,64.85
ASIANHOTNR,75.5
ASIANPAINT,57.95
ASIANTILES,56.6
ASKAUTOLTD,43.49
ASPINWALL,71.73
ASTEC,43.72
ASTERDM,47.28
ASTRAL,49.05
ASTRAMICRO,40.06
ASTRAZEN,49.65
ASTRON,56.19
ATALREAL,38.43
ATAM,59.11
ATGL,33.59
ATHERENERG,19.96
ATL,57.69
ATLANTAELE,39.46
ATLASCYCLE,77.39
ATUL,57.27
ATULAUTO,41.13
AUBANK,47.29
AURIGROW,51.0
AURIONPRO,45.38
AUROPHARMA,55.46
AURUM,45.23
AUSOMENT,52.6
AUTOAXLES,84.51
AUTOBEES,40.73
AUTOIETF,56.82
AUTOIND,64.23
AVADHSUGAR,55.33
AVALON,36.39
AVANTEL,46.22
AVANTIFEED,38.75
AVG,77.36
AVL,34.63
AVONMORE,61.29
AVROIND,76.63
AVTNPL,15.37
AWFIS,71.31
AWHCL,47.35
AWL,37.25
AXISBANK,68.82
AXISBNKETF,84.63
AXISBPSETF,66.08
AXISCETF,49.49
AXISGOLD,50.99
AXISHCETF,66.01
AXISILVER,46.75
AXISNIFTY,91.47
AXISTECETF,97.68
AXISVALUE,86.73
AXITA,55.97
AXSENSEX,70.64
AYMSYNTEX,30.58
AZAD,37.58
BAGFILMS,58.97
BAIDFIN,84.63
BAJAJ-AUTO,48.72
BAJAJCON,53.5
BAJAJELEC,47.49
BAJAJFINSV,51.62
BAJAJHCARE,46.64
BAJAJHFL,60.69
BAJAJHIND,50.37
BAJAJHLDNG,64.59
BAJAJINDEF,55.51
BAJEL,58.82
BAJFINANCE,56.28
BALAJEE,66.94
BALAJITELE,49.81
BALAMINES,48.65
BALAXI,46.62
BALKRISHNA,41.22
BALKRISIND,43.22
BALMLAWRIE,48.37
BALPHARMA,71.78
BALRAMCHIN,53.76
BALUFORGE,38.45
BANARBEADS,57.8
BANARISUG,86.55
BANCOINDIA,47.95
BANDHANBNK,35.91
BANG,52.37
BANKA,51.14
BANKBARODA,36.51
BANKBEES,47.08
BANKBETF,68.83
BANKETF,79.34
BANKETFADD,59.7
BANKIETF,66.76
BANKINDIA,43.24
BANKNIFTY1,79.57
BANKPSU,91.69
BANSALWIRE,51.15
BANSWRAS,63.21
BASF,60.57
BASML,56.56
BATAINDIA,41.69
BAYERCROP,65.82
BBETF0432,88.21
BBL,61.07
BBNPNBETF,59.98
BBNPPGOLD,81.17
BBOX,64.74
BBTC,45.7
BBTCL,33.35
BCG,50.35
BCLIND,65.11
BDL,34.56
BEARDSELL,53.32
BECTORFOOD,47.0
BEDMUTHA,69.23
BEL,49.29
BELLACASA,67.08
BELRISE,56.66
BEML,43.08
BEPL,56.53
BERGEPAINT,47.73
BESTAGRO,55.56
BFINVEST,74.21
BFSI,59.95
BHAGCHEM,62.9
BHAGERIA,52.71
BHAGYANGR,50.81
BHANDARI,65.13
BHARATFORG,52.92
BHARATRAS,50.13
BHARATSE,47.13
BHARATWIRE,73.27
BHARTIARTL,57.29
BHARTIHEXA,46.23
BHEL,41.47
BIGBLOC,78.6
BIKAJI,62.35
BIL,54.17
BILVYAPAR,94.33
BIOCON,70.69
BIOFILCHEM,55.12
BIRLACABLE,65.11
BIRLACORPN,57.94
BIRLAMONEY,69.47
BIRLANU,79.34
BLACKBUCK,62.35
BLAL,84.88
BLBLIMITED,39.46
BLISSGVS,61.13
BLKASHYAP,57.97
BLS,18.14
BLSE,10.32
BLUEDART,15.25
BLUEJET,58.56
BLUESTARCO,54.34
BLUESTONE,30.02
BLUSPRING,69.19
BMWVENTLTD,38.49
BODALCHEM,64.38
BOHRAIND,67.57
BOMDYEING,48.9
BORANA,82.38
BOROLTD,63.29
BORORENEW,40.21
BOROSCI,59.4
BOSCHLTD,61.11
BPCL,36.07
BPL,70.1
BRIGADE,63.39
BRIGHOTEL,48.42
BRITANNIA,64.6
BRNL,57.4
BROOKS,71.82
BSE,37.72
BSE500IETF,68.56
BSHSL,51.62
BSL,63.99
BSLGOLDETF,93.27
BSLNIFTY,77.32
BSLSENETFG,65.48
BSOFT,40.17
BTML,90.61
BUTTERFLY,50.65
BYKE,75.68
CALSOFT,53.21
CAMLINFINE,66.98
CAMPUS,38.5
CAMS,48.14
CANBK,33.26
CANFINHOME,56.56
CANHLIFE,42.66
CANTABIL,48.54
CAPACITE,53.98
CAPITALSFB,74.53
CAPLIPOINT,61.05
CAPTRUST,64.95
CARBORUNIV,63.42
CARERATING,63.57
CARRARO,59.11
CARTRADE,44.96
CARYSIL,46.92
CASHIETF,69.71
CASTROLIND,56.49
CCCL,73.66
CCHHL,52.4
CCL,49.29
CDSL,27.56
CEATLTD,25.46
CEIGALL,63.75
CELEBRITY,80.53
CELLO,50.33
CEMPRO,46.48
CENTENKA,56.1
CENTRALBK,40.94
CENTRUM,75.87
CENTUM,48.09
CENTURYPLY,51.57
CERA,58.44
CESC,44.92
CEWATER,62.1
CGCL,50.03
CGPOWER,56.18
CHALET,49.16
CHAMBLFERT,44.08
CHEMBOND,68.7
CHEMBONDCH,75.85
CHEMCON,38.39
CHEMFAB,36.11
CHEMPLASTS,58.25
CHENNPETRO,10.52
CHEVIOT,87.33
CHOICEIN,33.56
CHOLAFIN,41.71
CHOLAHLDNG,46.22
CIEINDIA,48.16
CIFL,40.31
CIGNITITEC,59.62
CINELINE,89.15
CINEVISTA,64.74
CIPLA,59.56
CLEAN,62.23
CLSEL,49.77
CMSINFO,59.6
COALINDIA,74.89
COASTCORP,59.1
COCHINSHIP,43.93
COFORGE,63.55
COHANCE,59.26
COLPAL,49.9
COMMOIETF,68.98
COMPUSOFT,73.1
COMSYN,58.62
CONCOR,48.61
CONCORDBIO,44.85
CONFIPET,56.3
CONS,70.69
CONSOFINVT,71.03
CONSUMBEES,54.21
CONSUMER,90.45
CONSUMIETF,56.17
CONTROLPR,70.55
CORALFINAC,60.93
CORDSCABLE,67.76
COROMANDEL,63.6
COSMOFIRST,47.43
COUNCODOS,76.71
CPCAP,61.62
CPEDU,75.06
CPPLUS,71.65
CPSEETF,68.2
CRAFTSMAN,54.97
CRAMC,37.62
CREATIVE,83.25
CREATIVEYE,93.28
CREDITACC,30.33
CREST,55.41
CRISIL,65.18
CRIZAC,52.79
CROMPTON,67.14
CROWN,77.58
CSBBANK,41.46
CSLFINANCE,77.87
CTE,45.91
CUB,38.1
CUBEXTUB,71.51
CUMMINSIND,74.2
CUPID,30.45
CYIENT,62.94
CYIENTDLM,55.16
DABUR,49.19
DALBHARAT,62.15
DAMCAPITAL,44.66
DAMODARIND,73.97
DANGEE,71.38
DATAMATICS,40.05
DATAPATTNS,36.05
DAVANGERE,62.75
DBCORP,56.1
DBEIL,55.08
DBL,43.88
DBOL,60.84
DBREALTY,57.79
DBSTOCKBRO,87.11
DCAL,53.36
DCBBANK,41.48
DCI,62.81
DCM,89.1
DCMFINSERV,79.84
DCMNVL,68.81
DCMSHRIRAM,38.14
DCMSRIND,60.25
DCW,61.49
DCXINDIA,59.89
DDEVPLSTIK,71.23
DECCANCE,64.5
DEEDEV,73.52
DEEPAKFERT,50.74
DEEPAKNTR,56.58
DEEPINDS,60.42
DELHIVERY,42.25
DELPHIFX,35.95
DELTACORP,63.5
DELTAMAGNT,69.04
DEN,50.67
DENORA,63.31
DENTA,41.75
DEVIT,67.24
DEVX,55.42
DEVYANI,61.9
DGCONTENT,97.47
DHAMPURSUG,36.47
DHANBANK,38.09
DHANUKA,56.63
DHARMAJ,67.04
DHRUV,92.83
DHUNINV,83.3
DIACABS,38.64
DIAMINESQ,67.28
