SYMBOL,DELIV_PER
20MICRONS,55.36
21STCENMGM,71.81
360ONE,51.39
3IINFOLTD,55.88
3MINDIA,63.39
3PLAND,44.03
5PAISA,51.34
63MOONS,40.93
AAATECH,97.25
AADHARHFC,42.93
AAKASH,68.29
AARON,68.82
AARTECH,70.76
AARTIDRUGS,35.85
AARTIIND,46.05
AARTIPHARM,53.85
AARTISURF,53.97
AARVI,79.88
AAVAS,56.31
ABB,68.62
ABBOTINDIA,49.59
ABCAPITAL,55.22
ABCOTS,42.41
ABDL,42.41
ABFRL,54.46
ABGSEC,67.48
ABINFRA,48.62
ABLBL,63.2
ABREL,51.71
ABSLAMC,55.1
ABSLBANETF,76.12
ABSLLIQUID,46.47
ABSLNN50ET,34.7
ABSLPSE,74.33
ACC,45.51
ACCELYA,54.9
ACCURACY,60.18
ACE,38.71
ACEINTEG,77.98
ACI,61.95
ACLGATI,62.73
ACMESOLAR,39.56
ACUTAAS,49.76
ADANIENSOL,37.32
ADANIENT,27.65
ADANIGREEN,25.06
ADANIPORTS,61.74
ADANIPOWER,21.37
ADFFOODS,50.41
ADL,83.19
ADOR,83.43
ADROITINFO,68.12
ADSL,32.35
ADVANIHOTR,70.93
ADVENZYMES,49.69
AEGISLOG,36.18
AEGISVOPAK,58.94
AEROENTER,46.95
AEROFLEX,42.91
AERONEU,47.21
AETHER,93.7
AFCONS,47.16
AFFLE,47.08
AFFORDABLE,52.74
AFIL,39.53
AFSL,85.43
AGARIND,24.07
AGARWALEYE,48.82
AGI,39.45
AGIIL,52.54
AGRITECH,67.74
AHLADA,59.22
AHLEAST,86.05
AHLUCONT,67.71
AIAENG,92.11
AIIL,42.42
AIRAN,77.52
AIROLAM,77.23
AJANTPHARM,58.16
AJAXENGG,45.18
AJMERA,49.49
AJOONI,47.33
AKASH,84.49
AKG,75.03
AKSHAR,82.32
AKSHARCHEM,68.04
AKSHOPTFBR,81.74
AKUMS,49.83
AKZOINDIA,65.64
ALANKIT,60.04
ALBERTDAVD,63.98
ALEMBICLTD,43.43
ALICON,52.75
ALIVUS,35.27
ALKALI,18.53
ALKEM,68.92
ALKYLAMINE,51.25
ALLCARGO,39.81
ALLDIGI,54.1
ALLTIME,65.26
ALMONDZ,68.0
ALOKINDS,35.99
ALPA,42.41
ALPHA,63.21
ALPHAETF,67.28
ALPHAGEO,65.56
ALPL30IETF,64.83
AMANTA,42.79
AMBER,44.88
AMBICAAGAR,48.89
AMBIKCO,57.92
AMBUJACEM,55.42
AMDIND,54.68
AMJLAND,76.32
AMNPLST,71.32
AMRUTANJAN,64.66
ANANDRATHI,60.48
ANANTRAJ,14.15
ANDHRAPAP,54.28
ANDHRSUGAR,50.25
ANGELONE,40.45
ANIKINDS,80.31
ANMOL,78.49
ANTELOPUS,59.69
ANTGRAPHIC,81.34
ANTHEM,52.91
ANUHPHR,66.6
ANUP,52.84
ANURAS,65.19
AONEGOLD,92.75
AONELIQUID,87.69
AONENIFTY,73.48
AONETOTAL,60.75
APARINDS,55.95
APCOTEXIND,28.23
APEX,51.3
APLAPOLLO,64.64
APLLTD,81.13
APOLLO,23.84
APOLLOHOSP,73.69
APOLLOPIPE,51.16
APOLLOTYRE,51.29
APOLSINHOT,59.48
APTECHT,52.63
APTUS,56.12
ARCHIDPLY,59.91
ARCHIES,56.68
ARE&M,55.14
ARENTERP,60.23
ARIES,42.95
ARIHANTCAP,36.7
ARIHANTSUP,16.73
ARISINFRA,39.39
ARKADE,44.24
ARMANFIN,53.8
AROGRANITE,52.2
ARROWGREEN,72.66
ARTEMISMED,36.43
ARVEE,52.86
ARVIND,47.46
ARVINDFASN,69.88
ARVSMART,33.57
ASAHIINDIA,56.85
ASAHISONG,55.61
ASAL,8.33
ASALCBR,51.22
ASHAPURMIN,33.74
ASHIANA,46.67
ASHIMASYN,73.61
ASHOKA,45.59
ASHOKAMET,67.44
ASHOKLEY,44.85
ASIANENE,39.6
ASIANHOTNR,62.35
ASIANPAINT,67.15
ASIANTILES,51.11
ASKAUTOLTD,42.96
ASPINWALL,86.43
ASTEC,62.65
ASTERDM,44.12
ASTRAL,52.79
ASTRAMICRO,50.35
ASTRAZEN,40.68
ASTRON,62.53
ATALREAL,29.66
ATAM,23.09
ATGL,31.89
ATHERENERG,27.67
ATL,45.59
ATLANTAA,49.14
ATLANTAELE,51.4
ATLASCYCLE,70.97
ATUL,55.89
ATULAUTO,24.6
AUBANK,58.52
AURIONPRO,50.03
AUROPHARMA,58.39
AURUM,10.49
AUSOMENT,36.59
AUTOAXLES,47.47
AUTOBEES,55.9
AUTOIETF,66.35
AUTOIND,57.52
AVADHSUGAR,50.31
AVALON,48.18
AVANTEL,26.62
AVANTIFEED,37.76
AVG,65.23
AVL,42.7
AVONMORE,57.81
AVROIND,51.6
AVTNPL,31.21
AWFIS,68.9
AWHCL,55.11
AWL,61.98
AXISBANK,69.05
AXISBNKETF,66.3
AXISBPSETF,84.22
AXISCADES,52.98
AXISCETF,72.61
AXISGOLD,65.19
AXISHCETF,71.26
AXISILVER,71.72
AXISNIFTY,65.81
AXISTECETF,83.74
AXISVALUE,77.07
AXITA,26.13
AXSENSEX,92.17
AYMSYNTEX,41.66
AZAD,25.95
BAGFILMS,80.02
BAIDFIN,76.63
BAJAJ-AUTO,53.15
BAJAJCON,32.79
BAJAJELEC,29.59
BAJAJFINSV,68.22
BAJAJHCARE,16.6
BAJAJHFL,50.75
BAJAJHIND,44.66
BAJAJHLDNG,67.44
BAJAJINDEF,75.08
BAJEL,59.89
BAJFINANCE,63.96
BALAJEE,62.35
BALAJITELE,51.61
BALAMINES,49.95
BALAXI,48.74
BALKRISHNA,67.83
BALKRISIND,66.85
BALMLAWRIE,28.82
BALPHARMA,69.86
BALRAMCHIN,44.96
BALUFORGE,39.41
BANARBEADS,26.81
BANARISUG,91.24
BANCOINDIA,18.68
BANDHANBNK,53.33
BANG,86.16
BANKA,72.39
BANKBARODA,58.1
BANKBEES,68.06
BANKBETF,84.34
BANKETF,94.47
BANKETFADD,34.38
BANKIETF,69.46
BANKINDIA,42.49
BANKNIFTY1,69.61
BANKPSU,77.17
BANSALWIRE,50.42
BANSWRAS,72.83
BARBEQUE,49.91
BASF,53.2
BASML,50.94
BATAINDIA,42.25
BAYERCROP,60.82
BBETF0432,100.0
BBL,48.79
BBNPNBETF,49.82
BBNPPGOLD,93.8
BBOX,58.59
BBTC,57.62
BBTCL,8.71
BCG,50.59
BCLIND,55.28
BDL,46.93
BEARDSELL,50.94
BECTORFOOD,73.95
BEDMUTHA,71.0
BEL,43.1
BELLACASA,71.51
BELRISE,53.43
BEML,28.13
BEPL,51.73
BERGEPAINT,57.97
BESTAGRO,60.52
BFINVEST,33.6
BFSI,84.7
BFUTILITIE,29.25
BHAGCHEM,54.17
BHAGERIA,21.57
BHANDARI,61.15
BHARATFORG,68.57
BHARATGEAR,7.47
BHARATRAS,52.41
BHARATSE,45.12
BHARATWIRE,50.5
BHARTIARTL,66.76
BHARTIHEXA,72.01
BHEL,44.96
BIGBLOC,50.33
BIKAJI,76.07
BIL,88.11
BILVYAPAR,56.71
BIOCON,46.28
BIOFILCHEM,81.97
BIRLACABLE,46.17
BIRLACORPN,52.06
BIRLAMONEY,59.63
BIRLANU,64.69
BLACKBUCK,49.79
BLAL,53.03
BLBLIMITED,21.55
BLISSGVS,51.2
BLKASHYAP,44.15
BLS,51.29
BLSE,44.69
BLUEDART,47.46
BLUEJET,60.58
BLUESTARCO,67.42
BLUESTONE,38.14
BLUSPRING,66.68
BODALCHEM,61.73
BOHRAIND,66.28
BOMDYEING,37.34
BORANA,89.52
BOROLTD,41.25
BORORENEW,38.3
BOROSCI,52.19
BOSCHLTD,62.53
BPCL,43.5
BPL,62.21
BRIGADE,60.84
BRIGHOTEL,56.19
BRITANNIA,62.96
BRNL,15.33
BROOKS,62.87
BSE,28.15
BSE500IETF,75.67
BSHSL,59.53
BSL,49.44
BSLGOLDETF,72.15
BSLNIFTY,58.09
BSLSENETFG,58.6
BSOFT,51.91
BTML,64.22
BUTTERFLY,60.13
