SYMBOL,DELIV_PER
20MICRONS,59.72
21STCENMGM,99.72
360ONE,59.49
3IINFOLTD,54.3
3MINDIA,37.23
3PLAND,64.83
5PAISA,53.73
63MOONS,60.07
A2ZINFRA,56.11
AADHARHFC,75.45
AAKASH,86.76
AARON,52.19
AARTECH,73.29
AARTIDRUGS,49.06
AARTIIND,41.67
AARTIPHARM,46.93
AARTISURF,53.59
AARVI,70.41
AAVAS,32.65
ABB,71.46
ABBOTINDIA,61.05
ABCAPITAL,47.86
ABCOTS,27.99
ABDL,58.32
ABFRL,47.73
ABGSEC,81.48
ABINFRA,51.07
ABLBL,38.36
ABREL,40.97
ABSLAMC,55.78
ABSLBANETF,67.38
ABSLLIQUID,77.43
ABSLNN50ET,90.93
ABSLPSE,94.74
ACC,59.61
ACCELYA,55.36
ACCURACY,64.67
ACE,58.37
ACEINTEG,56.13
ACI,36.86
ACMESOLAR,58.25
ACUTAAS,49.72
ADANIENSOL,30.5
ADANIENT,51.98
ADANIGREEN,23.11
ADANIPORTS,41.28
ADANIPOWER,32.62
ADFFOODS,58.49
ADL,79.17
ADOR,62.42
ADROITINFO,80.12
ADSL,45.2
ADVANCE,23.79
ADVANIHOTR,63.39
ADVENZYMES,28.66
AEGISLOG,49.06
AEGISVOPAK,43.95
AEROENTER,80.73
AEROFLEX,35.48
AERONEU,30.45
AETHER,15.01
AFCONS,61.97
AFFLE,49.45
AFFORDABLE,54.1
AFIL,61.87
AFSL,53.74
AGARIND,74.59
AGARWALEYE,46.41
AGI,55.82
AGIIL,43.74
AGRITECH,61.34
AGROPHOS,48.84
AHLADA,57.8
AHLEAST,96.26
AHLUCONT,48.5
AIAENG,66.25
AIIL,45.64
AIRAN,71.51
AIROLAM,90.16
AJANTPHARM,66.28
AJAXENGG,67.49
AJMERA,45.13
AJOONI,68.42
AKASH,63.23
AKG,92.51
AKI,82.14
AKSHARCHEM,81.92
AKSHOPTFBR,62.44
AKUMS,48.21
AKZOINDIA,64.57
ALANKIT,78.46
ALBERTDAVD,65.8
ALEMBICLTD,36.93
ALICON,49.26
ALIVUS,63.63
ALKALI,55.32
ALKEM,37.86
ALKYLAMINE,44.83
ALLDIGI,55.05
ALLTIME,58.68
ALMONDZ,80.51
ALOKINDS,43.33
ALPA,71.65
ALPHA,59.94
ALPHAETF,67.15
ALPHAGEO,48.83
ALPL30IETF,71.19
ALPSINDUS,89.52
AMANTA,70.71
AMBER,33.66
AMBICAAGAR,90.02
AMBIKCO,74.9
AMBUJACEM,42.61
AMDIND,63.36
AMJLAND,60.81
AMNPLST,58.46
AMRUTANJAN,58.94
ANANDRATHI,63.31
ANANTRAJ,36.79
ANDHRAPAP,61.75
ANDHRSUGAR,50.88
ANGELONE,29.05
ANIKINDS,85.05
ANMOL,67.85
ANTELOPUS,57.77
ANTGRAPHIC,80.87
ANTHEM,36.89
ANUHPHR,60.19
ANUP,53.18
ANURAS,56.48
AONEGOLD,79.37
AONELIQUID,72.26
AONENIFTY,69.7
AONETOTAL,50.27
APARINDS,38.29
APCL,63.83
APCOTEXIND,65.09
APEX,19.14
APLAPOLLO,65.76
APLLTD,28.53
APOLLO,37.69
APOLLOHOSP,67.34
APOLLOPIPE,45.51
APOLLOTYRE,41.68
APOLSINHOT,65.49
APTECHT,48.89
APTUS,52.3
ARCHIDPLY,46.7
ARCHIES,72.17
ARE&M,57.28
ARENTERP,49.25
ARIES,48.28
ARIHANTCAP,23.97
ARIHANTSUP,44.55
ARISINFRA,53.29
ARKADE,51.64
ARMANFIN,55.0
AROGRANITE,73.8
ARROWGREEN,71.53
ARSSBL,25.7
ARTEMISMED,40.87
ARTNIRMAN,86.78
ARVEE,63.94
ARVIND,42.55
ARVINDFASN,44.98
ARVSMART,53.39
ASAHIINDIA,31.61
ASAHISONG,79.74
ASAL,46.44
ASALCBR,44.72
ASHAPURMIN,47.61
ASHIANA,24.85
ASHIMASYN,60.24
ASHOKA,44.72
ASHOKAMET,68.8
ASHOKLEY,25.03
ASIANENE,65.73
ASIANHOTNR,52.83
ASIANPAINT,36.2
ASIANTILES,40.29
ASKAUTOLTD,51.19
ASPINWALL,70.83
ASTEC,55.4
ASTERDM,64.67
ASTRAL,59.79
ASTRAMICRO,38.07
ASTRAZEN,43.63
ASTRON,71.57
ATALREAL,36.3
ATAM,70.6
ATGL,27.65
ATHERENERG,29.67
ATL,68.05
ATLANTAELE,27.0
ATLASCYCLE,58.48
ATUL,45.46
ATULAUTO,32.0
AUBANK,51.0
AURIGROW,28.57
AURIONPRO,72.86
AUROPHARMA,57.54
AURUM,55.64
AUSOMENT,51.36
AUTOAXLES,61.06
AUTOBEES,67.5
AUTOIETF,59.44
AUTOIND,63.33
AVADHSUGAR,61.74
AVALON,28.8
AVANTEL,37.84
AVANTIFEED,38.34
AVG,73.61
AVL,59.47
AVONMORE,67.12
AVROIND,31.59
AVTNPL,15.61
AWFIS,53.11
AWHCL,38.25
AWL,63.33
AXISBANK,62.07
AXISBNKETF,73.23
AXISBPSETF,77.57
AXISCETF,36.98
AXISGOLD,56.51
AXISHCETF,52.75
AXISILVER,77.2
AXISNIFTY,76.47
AXISTECETF,93.06
AXISVALUE,80.09
AXITA,54.15
AXSENSEX,93.26
AYMSYNTEX,52.72
AZAD,51.25
BAGFILMS,66.36
BAIDFIN,72.97
BAJAJ-AUTO,68.57
BAJAJCON,62.53
BAJAJELEC,41.59
BAJAJFINSV,64.89
BAJAJHCARE,48.02
BAJAJHFL,58.63
BAJAJHIND,46.79
BAJAJHLDNG,42.71
BAJAJINDEF,61.17
BAJEL,64.9
BAJFINANCE,70.65
BALAJEE,61.22
BALAJITELE,60.58
BALAMINES,54.5
BALAXI,65.26
BALKRISHNA,97.76
BALKRISIND,48.5
BALMLAWRIE,54.48
BALPHARMA,76.98
BALRAMCHIN,52.67
BALUFORGE,34.86
BANARBEADS,49.58
BANARISUG,75.0
BANCOINDIA,33.83
BANDHANBNK,39.49
BANG,74.14
BANKA,62.29
BANKBARODA,50.95
BANKBEES,64.28
BANKBETF,72.68
BANKETF,93.78
BANKETFADD,86.51
BANKIETF,55.0
BANKINDIA,46.56
BANKNIFTY1,93.59
BANKPSU,57.37
BANSALWIRE,37.68
BANSWRAS,62.47
BASF,46.0
BASML,82.99
BATAINDIA,59.28
BAYERCROP,53.55
BBETF0432,99.94
BBL,61.29
BBNPNBETF,68.99
BBNPPGOLD,87.16
BBOX,43.73
BBTC,57.72
BBTCL,77.97
BCG,39.56
BCLIND,60.55
BDL,32.68
BEARDSELL,63.06
BECTORFOOD,74.37
BEDMUTHA,68.33
BEL,50.41
BELLACASA,70.06
BELRISE,30.21
BEML,47.54
BEPL,54.16
BERGEPAINT,54.6
BESTAGRO,43.65
BFINVEST,54.54
BFSI,79.55
BHAGCHEM,52.8
BHAGERIA,50.05
BHAGYANGR,39.45
BHANDARI,74.79
BHARATFORG,41.92
BHARATRAS,39.81
BHARATSE,54.22
BHARATWIRE,28.93
BHARTIARTL,64.31
BHARTIHEXA,60.86
BHEL,54.46
BIGBLOC,57.61
BIKAJI,66.29
BIL,33.52
BILVYAPAR,77.97
BIOCON,30.09
BIOFILCHEM,75.11
BIRLACABLE,43.35
BIRLACORPN,52.11
BIRLAMONEY,54.67
BIRLANU,74.42
BLACKBUCK,54.17
BLAL,52.09
BLBLIMITED,55.17
BLISSGVS,23.55
BLKASHYAP,48.59
BLS,25.95
BLSE,25.54
BLUEDART,36.52
BLUEJET,55.05
BLUESTARCO,63.58
BLUESTONE,41.29
BLUSPRING,60.71
BMWVENTLTD,45.86
BODALCHEM,56.36
BOHRAIND,60.6
BOMDYEING,42.86
BORANA,54.15
BOROLTD,63.57
BORORENEW,46.56
BOROSCI,68.11
BOSCHLTD,42.1
BPCL,61.43
BPL,64.81
BRIGADE,56.27
BRIGHOTEL,72.89
BRITANNIA,60.24
BRNL,59.64
BROOKS,50.26
BSE,29.48
BSE500IETF,65.71
BSHSL,80.51
BSL,47.0
BSLGOLDETF,82.28
BSLNIFTY,61.3
BSLSENETFG,71.31
BSOFT,41.54
BTML,44.72
BUTTERFLY,45.53
BYKE,72.91
CALSOFT,53.51
CAMLINFINE,60.14
CAMPUS,38.14
CAMS,43.24
CANBK,65.1
CANFINHOME,71.28
CANHLIFE,54.56
CANTABIL,78.14
CAPACITE,61.85
CAPITALSFB,71.2
CAPLIPOINT,58.35
CAPTRUST,99.18
CARBORUNIV,56.01
CARERATING,34.74
CARRARO,63.7
CARTRADE,56.74
CARYSIL,46.18
CASHIETF,78.95
CASTROLIND,51.28
CCHHL,79.57
CCL,31.87
CDSL,35.97
CEATLTD,31.36
CEIGALL,59.12
CELEBRITY,80.44
CELLO,60.68
CEMPRO,52.05
CENTENKA,50.21
CENTRALBK,50.32
CENTRUM,47.59
CENTUM,52.86
CENTURYPLY,29.17
CERA,50.26
CESC,44.0
CEWATER,64.39
CGCL,23.42
CGPOWER,66.14
CHALET,80.44
CHAMBLFERT,60.02
CHEMBOND,47.33
CHEMBONDCH,59.94
CHEMCON,27.84
CHEMFAB,30.07
CHEMPLASTS,67.27
CHENNPETRO,28.76
CHEVIOT,79.18
CHOICEGOLD,81.49
CHOICEIN,32.42
CHOLAFIN,62.09
CHOLAHLDNG,54.4
CIEINDIA,68.49
CIFL,46.01
CIGNITITEC,38.54
CINELINE,68.88
CINEVISTA,79.43
CIPLA,57.18
CLEAN,42.31
CLSEL,53.6
CMSINFO,53.95
COALINDIA,56.81
COASTCORP,66.22
COCHINSHIP,22.79
COFORGE,65.22
COHANCE,41.09
COLPAL,59.48
COMMOIETF,51.16
COMPUSOFT,71.16
CONCOR,50.32
CONCORDBIO,42.82
CONFIPET,59.2
CONS,64.68
CONSOFINVT,68.58
CONSUMBEES,60.91
CONSUMER,82.79
CONSUMIETF,52.04
CONTROLPR,33.61
CORALFINAC,55.3
CORDSCABLE,62.46
COROMANDEL,59.33
COSMOFIRST,41.54
COUNCODOS,80.78
CPCAP,84.47
CPEDU,56.59
CPPLUS,46.48
CPSEETF,50.11
CRAFTSMAN,59.78
CRAMC,54.06
CREATIVE,64.74
CREATIVEYE,95.11
CREDITACC,31.37
CREST,47.15
CRISIL,55.19
CRIZAC,44.24
CROMPTON,53.59
CROWN,65.52
CSBBANK,46.54
CSLFINANCE,76.7
CTE,55.69
CUB,62.09
CUBEXTUB,61.21
CUMMINSIND,55.08
CUPID,20.15
CYIENT,48.68
CYIENTDLM,56.07
DABUR,48.85
DALBHARAT,53.61
DAMCAPITAL,34.28
DAMODARIND,65.43
DANGEE,69.2
DATAMATICS,32.63
DATAPATTNS,11.39
DAVANGERE,73.86
DBCORP,53.55
DBEIL,59.22
DBL,55.96
DBOL,81.97
DBREALTY,17.63
DBSTOCKBRO,88.11
DCAL,58.08
DCBBANK,55.4
DCI,69.23
DCM,81.27
DCMFINSERV,64.86
DCMNVL,61.55
DCMSHRIRAM,52.7
DCMSRIND,53.07
DCW,44.7
DCXINDIA,48.26
DDEVPLSTIK,56.01
DECCANCE,59.47
DEEDEV,47.55
DEEPAKFERT,45.37
DEEPAKNTR,44.36
DEEPINDS,49.5
DELHIVERY,45.69
DELPHIFX,54.25
DELTACORP,50.2
DELTAMAGNT,84.45
DEN,63.68
DENORA,77.94
DENTA,43.86
DEVIT,50.62
DEVX,78.86
DEVYANI,60.09
DGCONTENT,72.54
DHAMPURSUG,56.87
DHANBANK,56.75
DHANUKA,56.65
DHARMAJ,63.59
DHRUV,55.69
DHUNINV,67.44
DIACABS,50.66
DIAMINESQ,60.74
DIAMONDYD,53.92
DICIND,66.94
DIFFNKG,61.14
DIGIDRIVE,72.28
DIGITIDE,68.1
DIL,63.44
DISHTV,66.34
DIVGIITTS,60.88
DIVISLAB,48.46
DIVOPPBEES,61.77
DIXON,34.51
DJML,36.41
DLF,46.75
DLINKINDIA,57.61
DMART,63.54
DMCC,56.07
DNAMEDIA,87.81
DODLA,88.02
DOLATALGO,26.72
DOLLAR,60.07
DOLPHIN,42.51
DOMS,41.92
DONEAR,82.45
DPABHUSHAN,46.04
DPSCLTD,71.31
DPWIRES,64.67
DRCSYSTEMS,80.38
DREAMFOLKS,47.34
DREDGECORP,41.5
DRREDDY,50.05
DSSL,39.73
DTIL,54.95
DUCON,72.43
