SYMBOL,DELIV_PER
20MICRONS,64.63
21STCENMGM,73.36
360ONE,57.88
3IINFOLTD,65.6
3MINDIA,46.09
3PLAND,56.57
5PAISA,40.89
63MOONS,52.89
A2ZINFRA,56.07
AADHARHFC,64.9
AAKASH,73.37
AARON,61.83
AARTECH,90.23
AARTIDRUGS,51.8
AARTIIND,47.55
AARTIPHARM,42.79
AARTISURF,71.22
AARVI,46.19
AAVAS,74.98
ABB,44.09
ABBOTINDIA,52.11
ABCAPITAL,47.0
ABCOTS,63.55
ABDL,45.67
ABFRL,42.09
ABGSEC,91.7
ABINFRA,69.09
ABLBL,58.58
ABREL,50.84
ABSLAMC,56.12
ABSLBANETF,59.21
ABSLLIQUID,79.05
ABSLNN50ET,47.76
ABSLPSE,76.67
ACC,62.13
ACCELYA,65.21
ACCURACY,94.1
ACE,46.41
ACEINTEG,44.15
ACI,59.49
ACL,71.71
ACMESOLAR,40.55
ACUTAAS,47.93
ADANIENSOL,33.15
ADANIENT,29.94
ADANIGREEN,44.35
ADANIPORTS,48.88
ADANIPOWER,36.33
ADFFOODS,58.31
ADL,59.22
ADOR,72.83
ADROITINFO,85.97
ADSL,38.99
ADVANCE,54.45
ADVANIHOTR,65.7
ADVENTHTL,32.4
ADVENZYMES,52.28
AEGISLOG,33.28
AEGISVOPAK,47.83
AEQUS,15.8
AEROENTER,57.15
AEROFLEX,36.21
AERONEU,28.97
AETHER,43.19
AFCONS,35.41
AFFLE,57.93
AFFORDABLE,55.98
AFIL,68.53
AFSL,67.26
AGARIND,43.37
AGARWALEYE,35.02
AGI,54.15
AGIIL,46.1
AGRITECH,66.4
AGROPHOS,65.45
AHLADA,79.12
AHLEAST,56.07
AHLUCONT,47.72
AIAENG,36.39
AIIL,49.54
AIRAN,67.43
AIROLAM,85.42
AJANTPHARM,77.18
AJAXENGG,53.22
AJMERA,26.87
AJOONI,81.8
AKASH,58.43
AKG,89.39
AKI,86.3
AKSHAR,82.24
AKSHARCHEM,56.26
AKSHOPTFBR,71.08
AKUMS,52.89
AKZOINDIA,51.39
ALANKIT,65.86
ALBERTDAVD,84.49
ALEMBICLTD,62.96
ALICON,32.45
ALIVUS,51.14
ALKALI,81.25
ALKEM,54.71
ALKYLAMINE,60.15
ALLCARGO,57.27
ALLDIGI,54.18
ALLTIME,58.03
ALMONDZ,72.04
ALOKINDS,58.88
ALPA,53.27
ALPHA,69.45
ALPHAETF,69.55
ALPHAGEO,61.93
ALPL30IETF,79.05
ALPSINDUS,100.0
AMANTA,74.37
AMBER,24.86
AMBICAAGAR,99.3
AMBIKCO,75.03
AMBUJACEM,49.53
AMDIND,44.75
AMJLAND,46.82
AMNPLST,56.89
AMRUTANJAN,40.31
ANANDRATHI,67.78
ANANTRAJ,12.47
ANDHRAPAP,75.47
ANDHRSUGAR,58.88
ANGELONE,18.13
ANIKINDS,99.04
ANMOL,90.82
ANTELOPUS,59.86
ANTGRAPHIC,71.67
ANTHEM,51.18
ANUHPHR,60.64
ANUP,52.61
ANURAS,31.61
AONEGOLD,48.17
AONELIQUID,52.96
AONENIFTY,58.39
AONETMMQ50,85.41
AONETOTAL,58.27
APARINDS,35.02
APCL,82.1
APCOTEXIND,57.42
APEX,17.46
APLAPOLLO,74.2
APLLTD,45.26
APOLLO,36.74
APOLLOHOSP,66.82
APOLLOPIPE,40.48
APOLLOTYRE,52.13
APOLSINHOT,69.03
APTECHT,53.49
APTUS,51.0
ARCHIDPLY,59.35
ARCHIES,32.2
ARE&M,59.09
ARENTERP,80.46
ARIES,65.23
ARIHANTCAP,42.28
ARIHANTSUP,45.86
ARISINFRA,50.74
ARKADE,25.64
ARMANFIN,43.16
AROGRANITE,76.16
ARROWGREEN,42.66
ARSSBL,35.47
ARTEMISMED,64.44
ARTNIRMAN,54.45
ARVEE,58.1
ARVIND,45.13
ARVINDFASN,62.48
ARVSMART,46.63
ASAHIINDIA,57.22
ASAHISONG,86.37
ASAL,41.48
ASALCBR,54.54
ASHAPURMIN,41.51
ASHIANA,51.47
ASHIMASYN,55.15
ASHOKA,45.94
ASHOKAMET,58.36
ASHOKLEY,39.95
ASIANENE,49.39
ASIANHOTNR,26.54
ASIANPAINT,60.82
ASIANTILES,24.02
ASKAUTOLTD,49.78
ASMS,45.89
ASPINWALL,78.11
ASTEC,10.75
ASTERDM,56.52
ASTRAL,42.09
ASTRAMICRO,41.36
ASTRAZEN,44.41
ASTRON,56.18
ATALREAL,23.41
ATAM,67.89
ATGL,30.2
ATHERENERG,27.84
ATL,43.66
ATLANTAELE,43.99
ATLASCYCLE,79.01
ATUL,59.33
ATULAUTO,44.89
AUBANK,51.36
AURIGROW,65.49
AURIONPRO,24.54
AUROPHARMA,41.85
AURUM,39.73
AUSOMENT,65.44
AUTOAXLES,31.18
AUTOBEES,65.02
AUTOIETF,73.6
AUTOIND,58.33
AVADHSUGAR,76.77
AVALON,55.01
AVANTEL,40.5
AVANTIFEED,24.46
AVG,64.2
AVL,56.25
AVONMORE,78.38
AVROIND,73.95
AVTNPL,55.55
AWFIS,56.21
AWHCL,47.23
AWL,59.25
AXISBANK,59.05
AXISBNKETF,100.0
AXISBPSETF,93.06
AXISCETF,98.38
AXISGOLD,82.04
AXISHCETF,99.46
AXISILVER,72.59
