SYMBOL,DELIV_PER
20MICRONS,52.04
21STCENMGM,100.0
360ONE,49.41
3IINFOLTD,62.57
3MINDIA,66.0
3PLAND,70.93
5PAISA,30.96
63MOONS,41.14
A2ZINFRA,70.05
AADHARHFC,65.44
AAKASH,82.42
AARON,64.29
AARTECH,57.95
AARTIDRUGS,51.41
AARTIIND,49.29
AARTIPHARM,49.88
AARTISURF,74.61
AARVI,40.22
AAVAS,81.45
ABB,40.47
ABBOTINDIA,56.62
ABCAPITAL,51.41
ABCOTS,54.32
ABDL,48.67
ABFRL,49.51
ABGSEC,99.19
ABINFRA,69.09
ABLBL,52.68
ABMINTLLTD,48.93
ABREL,65.53
ABSLAMC,62.68
ABSLBANETF,84.1
ABSLLIQUID,74.11
ABSLNN50ET,76.47
ABSLPSE,64.09
ACC,54.74
ACCELYA,54.87
ACCURACY,68.6
ACE,54.19
ACEINTEG,78.84
ACI,39.29
ACL,48.73
ACMESOLAR,75.96
ACUTAAS,47.02
ADANIENSOL,43.68
ADANIENT,56.1
ADANIGREEN,30.14
ADANIPORTS,57.13
ADANIPOWER,45.57
ADFFOODS,59.85
ADL,65.81
ADOR,86.37
ADROITINFO,63.02
ADSL,37.37
ADVANCE,38.04
ADVANIHOTR,61.81
ADVENTHTL,51.95
ADVENZYMES,60.31
AEGISLOG,52.31
AEGISVOPAK,48.07
AEROENTER,71.61
AEROFLEX,38.77
AERONEU,29.56
AETHER,50.11
AFCONS,62.34
AFFLE,63.01
AFFORDABLE,51.12
AFIL,60.45
AFSL,94.33
AGARIND,69.52
AGARWALEYE,53.14
AGI,51.25
AGIIL,38.65
AGRITECH,12.71
AGROPHOS,78.25
AHLADA,61.88
AHLEAST,61.17
AHLUCONT,67.05
AIAENG,76.03
AIIL,76.05
AIRAN,61.17
AIROLAM,72.11
AJANTPHARM,64.57
AJAXENGG,75.0
AJMERA,55.9
AJOONI,72.37
AKASH,77.02
AKG,89.21
AKI,95.58
AKSHAR,82.3
AKSHARCHEM,31.44
AKSHOPTFBR,84.61
AKUMS,56.89
AKZOINDIA,14.53
ALANKIT,74.24
ALBERTDAVD,85.51
ALEMBICLTD,38.13
ALICON,52.73
ALIVUS,73.6
ALKALI,61.86
ALKEM,71.13
ALKYLAMINE,45.67
ALLCARGO,37.64
ALLDIGI,69.04
ALLTIME,50.59
ALMONDZ,74.45
ALOKINDS,54.88
ALPA,72.31
ALPHA,52.67
ALPHAETF,54.79
ALPHAGEO,62.24
ALPL30IETF,68.92
ALPSINDUS,97.52
AMANTA,54.39
AMBER,44.94
AMBICAAGAR,86.91
AMBIKCO,58.06
AMBUJACEM,58.9
AMDIND,54.36
AMJLAND,64.7
AMNPLST,54.18
AMRUTANJAN,71.47
ANANDRATHI,58.71
ANANTRAJ,41.65
ANDHRAPAP,64.18
ANDHRSUGAR,75.71
ANGELONE,30.32
ANIKINDS,60.97
ANMOL,64.89
ANTELOPUS,48.13
ANTGRAPHIC,68.02
ANTHEM,65.22
ANUHPHR,72.66
ANUP,33.36
ANURAS,29.83
AONEGOLD,68.9
AONELIQUID,74.93
AONENIFTY,65.97
AONETMMQ50,67.55
AONETOTAL,67.02
APARINDS,54.07
APCL,59.58
APCOTEXIND,57.68
APEX,27.57
APLAPOLLO,67.73
APLLTD,43.84
APOLLO,42.62
APOLLOHOSP,66.35
APOLLOPIPE,55.24
APOLLOTYRE,52.64
APOLSINHOT,52.33
APTECHT,48.84
APTUS,54.92
ARCHIDPLY,88.78
ARCHIES,69.4
ARE&M,59.46
ARENTERP,84.65
ARIES,55.5
ARIHANTCAP,42.93
ARIHANTSUP,78.04
ARISINFRA,47.42
ARKADE,43.78
ARMANFIN,53.4
AROGRANITE,83.47
ARROWGREEN,59.91
ARSSBL,32.19
ARTEMISMED,56.64
ARTNIRMAN,91.61
ARVEE,63.68
ARVIND,47.36
ARVINDFASN,54.53
ARVSMART,47.3
ASAHIINDIA,31.78
ASAHISONG,75.78
ASAL,51.82
ASALCBR,49.32
ASHAPURMIN,55.56
ASHIANA,66.32
ASHIMASYN,74.35
ASHOKA,53.69
ASHOKAMET,79.27
ASHOKLEY,47.19
ASIANENE,40.12
ASIANHOTNR,51.62
ASIANPAINT,59.93
ASIANTILES,47.52
ASKAUTOLTD,44.84
ASMS,85.24
ASPINWALL,73.31
ASTEC,11.83
ASTERDM,57.65
ASTRAL,56.29
ASTRAMICRO,55.36
ASTRAZEN,55.84
ASTRON,61.78
ATALREAL,24.58
ATAM,78.87
ATGL,35.18
ATHERENERG,30.92
ATL,38.66
ATLANTAELE,35.31
ATLASCYCLE,70.72
ATUL,47.81
ATULAUTO,53.52
AUBANK,58.32
AURIGROW,50.54
AURIONPRO,45.16
AUROPHARMA,50.55
AURUM,81.66
AUSOMENT,49.06
AUTOAXLES,49.67
AUTOBEES,78.09
AUTOIETF,60.34
AUTOIND,61.33
AVADHSUGAR,55.02
AVALON,50.26
AVANTEL,35.34
AVANTIFEED,24.36
AVG,71.58
AVL,69.75
AVONMORE,17.56
AVROIND,47.93
AVTNPL,61.35
AWFIS,57.52
AWHCL,55.62
AWL,48.94
AXISBANK,63.53
AXISBNKETF,94.34
AXISBPSETF,95.45
AXISCETF,98.18
AXISGOLD,79.77
AXISHCETF,95.85
AXISILVER,60.37
AXISNIFTY,78.41
AXISTECETF,96.75
AXISVALUE,54.53
AXITA,64.52
AXSENSEX,89.97
AYMSYNTEX,51.15
AZAD,83.16
BAGFILMS,77.0
BAIDFIN,82.93
BAJAJ-AUTO,57.02
BAJAJCON,47.13
BAJAJELEC,57.69
BAJAJFINSV,60.36
BAJAJHCARE,30.88
BAJAJHFL,39.67
BAJAJHIND,37.28
BAJAJHLDNG,44.38
BAJAJINDEF,66.86
BAJEL,65.23
BAJFINANCE,72.56
BALAJEE,70.97
BALAJITELE,60.62
BALAMINES,49.91
BALAXI,68.94
BALKRISHNA,77.64
BALKRISIND,46.98
BALMLAWRIE,50.36
BALPHARMA,65.9
BALRAMCHIN,56.16
BALUFORGE,27.46
BANARBEADS,42.17
BANARISUG,90.49
BANCOINDIA,7.21
BANDHANBNK,46.24
BANG,67.97
