SYMBOL,DELIV_PER
20MICRONS,53.39
21STCENMGM,66.86
360ONE,56.61
3BBLACKBIO,56.38
3MINDIA,41.61
3PLAND,90.57
5PAISA,54.76
63MOONS,36.02
A2ZINFRA,83.9
AAATECH,70.47
AADHARHFC,50.44
AAKASH,71.42
AAREYDRUGS,68.86
AARON,71.21
AARTIDRUGS,49.59
AARTIIND,37.02
AARTIPHARM,46.11
AARVI,67.79
AASTHA,53.12
AAVAS,59.7
ABANSENT,89.2
ABB,37.93
ABBOTINDIA,76.69
ABCAPITAL,69.37
ABCOTS,58.42
ABDL,29.52
ABFRL,50.03
ABGSEC,70.92
ABLBL,57.41
ABMKNO,99.01
ABREL,45.47
ABSL10BANK,64.06
ABSLAMC,55.38
ABSLBANETF,97.79
ABSLLIQUID,91.15
ABSLMSCIN,100.0
ABSLNN50ET,64.59
ABSLPSE,86.45
ACC,43.77
ACCELYA,65.49
ACE,41.83
ACEINTEG,54.99
ACGL,82.35
ACI,42.34
ACL,82.21
ACMESOLAR,39.24
ACSTECH,74.64
ACUTAAS,49.56
ADANIENSOL,49.22
ADANIENT,40.25
ADANIGREEN,54.77
ADANIPORTS,47.24
ADANIPOWER,41.29
ADDIND,97.54
ADFFOODS,33.6
ADL,82.43
ADOR,51.17
ADROITINFO,87.42
ADSL,44.32
ADVAIT,52.56
ADVANCE,41.01
ADVANIHOTR,69.08
ADVENTHTL,12.91
ADVENZYMES,53.83
ADVIKCA,76.58
AEGISLOG,40.26
AEGISVOPAK,42.48
AEPL,90.58
AEQUS,41.93
AEROENTER,58.1
AEROFLEX,39.75
AERONEU,70.66
AEROPLANE,50.86
AETHER,62.94
AFCONS,15.09
AFFLE,40.22
AFIL,78.04
AFSL,65.39
AGARIND,44.02
AGARWALEYE,46.8
AGI,44.99
AGIIL,43.07
AGL,41.28
AGRITECH,90.12
AGROPHOS,40.98
AHCL,58.75
AHLADA,80.65
AHLEAST,59.38
AHLUCONT,43.18
AIAENG,52.5
AIIL,28.75
AIRAN,86.2
AIROLAM,100.0
AJANTPHARM,59.11
AJAXENGG,68.58
AJMERA,45.11
AJOONI,83.31
AKASH,79.04
