SYMBOL,DELIV_PER
20MICRONS,49.61
21STCENMGM,96.16
360ONE,51.23
3IINFOLTD,53.27
3MINDIA,53.1
3PLAND,85.07
5PAISA,33.79
63MOONS,62.1
A2ZINFRA,57.86
AADHARHFC,73.8
AAKASH,73.36
AAREYDRUGS,46.23
AARON,64.82
AARTECH,69.62
AARTIDRUGS,60.69
AARTIIND,38.94
AARTIPHARM,71.67
AARTISURF,51.5
AARVI,72.51
AAVAS,60.63
ABB,45.48
ABBOTINDIA,53.75
ABCAPITAL,46.41
ABCOTS,94.27
ABDL,53.81
ABFRL,38.21
ABGSEC,100.0
ABINFRA,64.3
ABLBL,45.24
ABMINTLLTD,82.64
ABREL,55.97
ABSLAMC,12.31
ABSLBANETF,79.01
ABSLLIQUID,79.62
ABSLNN50ET,81.06
ABSLPSE,88.18
ACC,49.66
ACCELYA,51.74
ACCURACY,64.01
ACE,53.86
ACEINTEG,61.25
ACI,44.49
ACL,80.35
ACMESOLAR,48.67
ACUTAAS,52.42
ADANIENSOL,14.85
ADANIENT,26.66
ADANIGREEN,18.38
ADANIPORTS,40.68
ADANIPOWER,32.36
ADFFOODS,57.33
ADL,57.89
ADOR,54.09
ADROITINFO,80.25
ADSL,41.57
ADVAIT,40.77
ADVANCE,39.06
ADVANIHOTR,59.34
ADVENTHTL,43.26
ADVENZYMES,47.62
AEGISLOG,67.48
AEGISVOPAK,61.5
AEQUS,40.24
AEROENTER,35.78
AEROFLEX,57.93
AERONEU,37.72
AETHER,44.63
AFCONS,27.54
AFFLE,57.03
AFFORDABLE,61.12
AFIL,73.26
AFSL,94.96
AGARIND,60.95
AGARWALEYE,36.78
AGI,54.08
AGIIL,42.8
AGROPHOS,38.33
AHCL,55.62
AHLADA,76.99
AHLEAST,53.85
AHLUCONT,55.16
AIAENG,75.31
AIIL,47.01
AIRAN,88.58
AIROLAM,57.2
AJANTPHARM,64.71
AJAXENGG,56.85
AJMERA,50.37
AJOONI,65.66
AKASH,57.13
AKG,98.28
AKI,61.93
AKSHAR,72.94
AKSHARCHEM,80.62
AKSHOPTFBR,51.97
AKUMS,66.28
AKZOINDIA,59.85
ALANKIT,68.0
ALBERTDAVD,74.61
ALEMBICLTD,56.59
ALGOQUANT,19.83
ALICON,37.06
ALIVUS,31.93
ALKALI,71.23
ALKEM,42.32
ALKYLAMINE,48.47
ALLCARGO,64.05
ALLDIGI,79.22
ALLTIME,49.02
ALMONDZ,62.03
ALOKINDS,48.26
ALPA,72.17
ALPHA,55.45
ALPHAETF,49.99
ALPHAGEO,73.08
ALPL30IETF,75.42
AMAGI,41.62
AMANTA,52.81
AMBER,47.24
AMBICAAGAR,62.04
AMBIKCO,59.97
AMBUJACEM,56.48
AMDIND,60.2
AMJLAND,52.25
AMNPLST,77.25
AMRUTANJAN,73.84
ANANDRATHI,80.87
ANANTRAJ,37.93
ANDHRAPAP,77.92
ANDHRSUGAR,58.27
ANGELONE,27.21
ANIKINDS,44.58
ANMOL,86.39
ANTELOPUS,9.95
ANTGRAPHIC,47.52
ANTHEM,42.14
ANUHPHR,55.72
ANUP,61.54
ANURAS,31.56
AONEGOLD,68.2
AONELIQUID,98.42
AONENIFTY,66.44
AONETMMQ50,70.53
AONETOTAL,77.62
APARINDS,47.84
APCL,44.77
APCOTEXIND,71.73
APEX,39.52
APLAPOLLO,31.78
APLLTD,59.2
APOLLO,47.22
APOLLOHOSP,60.7
APOLLOPIPE,32.75
APOLLOTYRE,43.56
APOLSINHOT,89.16
APTECHT,56.38
APTUS,55.12
ARCHIDPLY,78.54
ARCHIES,66.42
ARE&M,58.28
ARENTERP,61.58
ARFIN,30.38
ARIES,61.49
ARIHANTCAP,38.81
ARIHANTSUP,33.25
ARISINFRA,49.25
ARKADE,53.58
ARMANFIN,60.15
AROGRANITE,62.24
ARROWGREEN,61.12
ARSSBL,37.54
ARTEMISMED,52.35
ARTNIRMAN,100.0
ARVIND,75.66
ARVINDFASN,52.39
ARVSMART,54.97
ASAHIINDIA,41.32
ASAHISONG,71.5
ASAL,49.12
ASALCBR,62.96
ASHAPURMIN,44.31
ASHIANA,50.11
ASHIMASYN,82.22
ASHOKA,25.9
ASHOKAMET,31.79
ASHOKLEY,29.96
ASIANENE,79.85
ASIANHOTNR,6.32
ASIANPAINT,49.17
ASIANTILES,22.38
ASKAUTOLTD,57.4
ASMS,60.72
ASPINWALL,51.97
ASTEC,34.73
ASTERDM,49.13
ASTRAL,43.65
ASTRAMICRO,47.09
ASTRAZEN,68.19
ASTRON,70.69
ATALREAL,43.08
ATAM,64.53
ATGL,18.77
ATHERENERG,39.81
ATL,61.3
ATLANTAA,54.51
ATLANTAELE,49.29
ATLASCYCLE,66.53
ATUL,13.67
ATULAUTO,43.06
AUBANK,62.91
AURIONPRO,55.37
AUROPHARMA,40.28
AURUM,50.99
AUTOAXLES,53.45
AUTOBEES,47.74
AUTOIETF,63.48
AUTOIND,66.33
AVADHSUGAR,68.06
AVALON,49.67
AVANTEL,45.95
AVANTIFEED,46.91
AVG,53.43
AVL,52.45
AVONMORE,32.23
AVTNPL,77.99
AWFIS,48.76
AWHCL,7.48
AWL,49.29
AXISBANK,72.08
