SYMBOL,DELIV_PER
20MICRONS,51.83
21STCENMGM,93.55
360ONE,58.27
3IINFOLTD,81.49
3MINDIA,39.85
3PLAND,97.13
5PAISA,56.57
63MOONS,63.84
AAATECH,62.6
AADHARHFC,17.65
AAKASH,21.03
AAREYDRUGS,60.67
AARNAV,80.54
AARON,61.97
AARTECH,77.85
AARTIDRUGS,51.85
AARTIIND,46.12
AARTIPHARM,50.04
AARTISURF,66.69
AARVI,65.69
AAVAS,54.15
ABB,36.36
ABBOTINDIA,55.14
ABCAPITAL,35.42
ABCOTS,31.02
ABDL,49.64
ABFRL,42.78
ABGSEC,99.64
ABINFRA,52.83
ABLBL,89.15
ABREL,65.3
ABSL10BANK,94.8
ABSLAMC,40.06
ABSLBANETF,52.65
ABSLLIQUID,97.27
ABSLMSCIN,33.07
ABSLNN50ET,79.63
ABSLPSE,47.72
ACC,56.17
ACCELYA,64.43
ACCURACY,78.18
ACE,50.93
ACEINTEG,95.95
ACI,35.74
ACL,70.06
ACMESOLAR,41.75
ACUTAAS,55.4
ADANIENSOL,42.5
ADANIENT,26.45
ADANIGREEN,24.64
ADANIPORTS,54.13
ADANIPOWER,41.99
ADFFOODS,55.89
ADL,80.26
ADOR,44.76
ADROITINFO,98.68
ADSL,56.9
ADVAIT,53.06
ADVANCE,41.81
ADVANIHOTR,68.1
ADVENTHTL,60.72
ADVENZYMES,63.78
AEGISLOG,53.27
AEGISVOPAK,33.82
AEQUS,58.41
AEROENTER,54.76
AEROFLEX,43.01
AERONEU,28.06
AETHER,41.12
AFCONS,57.25
AFFLE,21.39
AFFORDABLE,75.68
AFSL,87.0
AGARIND,70.13
AGARWALEYE,39.32
AGI,51.4
AGIIL,40.42
AGROPHOS,85.27
AHCL,18.58
AHLADA,77.04
AHLEAST,57.01
AHLUCONT,61.78
AIAENG,47.65
AIIL,38.0
AIRAN,73.7
AIROLAM,36.97
AJANTPHARM,49.75
AJAXENGG,52.64
AJMERA,70.12
AJOONI,65.7
AKASH,72.77
AKG,87.04
AKI,70.65
AKSHAR,70.8
AKSHARCHEM,87.19
AKSHOPTFBR,79.98
AKUMS,45.57
AKZOINDIA,45.04
ALANKIT,67.42
ALBERTDAVD,63.8
ALEMBICLTD,61.07
ALGOQUANT,27.16
ALICON,59.05
ALIVUS,45.25
ALKALI,85.2
ALKEM,35.6
ALKYLAMINE,55.51
ALLCARGO,62.06
ALLDIGI,58.37
ALLTIME,64.4
ALMONDZ,62.84
ALOKINDS,52.58
ALPA,68.59
ALPHA,72.33
ALPHAETF,76.68
ALPHAGEO,25.88
ALPL30IETF,65.06
AMAGI,75.58
AMANTA,57.59
AMBER,33.45
AMBICAAGAR,97.45
AMBIKCO,69.24
AMBUJACEM,54.95
AMDIND,72.74
AMJLAND,70.81
AMNPLST,85.13
AMRUTANJAN,58.9
ANANDRATHI,59.98
ANANTRAJ,35.32
ANDHRAPAP,65.42
ANDHRSUGAR,30.81
ANGELONE,38.25
ANIKINDS,97.44
ANMOL,72.21
ANTELOPUS,16.9
ANTGRAPHIC,68.68
ANTHEM,52.71
ANUHPHR,68.73
ANUP,56.41
ANURAS,42.86
AONEGOLD,46.8
AONELIQUID,57.13
AONENIFTY,71.62
AONESILVER,53.77
AONETMMQ50,98.29
AONETOTAL,62.74
APARINDS,31.32
APCL,68.88
APCOTEXIND,55.77
APEX,32.09
APLAPOLLO,50.75
APLLTD,42.37
APOLLO,35.18
APOLLOHOSP,52.74
APOLLOPIPE,7.24
APOLLOTYRE,49.58
APOLSINHOT,83.72
APTECHT,52.77
APTUS,60.09
AQYLON,100.0
ARCHIDPLY,75.25
ARCHIES,80.92
ARE&M,56.16
ARENTERP,75.4
ARFIN,26.34
ARIES,50.71
ARIHANTCAP,42.65
ARIHANTSUP,45.01
ARIS,49.05
ARKADE,56.94
ARMANFIN,55.71
AROGRANITE,88.16
ARROWGREEN,45.66
ARSSBL,56.17
ARTEMISMED,53.79
ARTNIRMAN,74.43
ARVIND,46.09
ARVINDFASN,54.53
ARVSMART,75.36
ASAHIINDIA,46.59
ASAHISONG,79.55
ASAL,52.12
ASALCBR,64.45
ASHAPURMIN,46.91
ASHIANA,55.41
ASHIMASYN,71.58
ASHOKA,48.46
ASHOKAMET,90.24
ASHOKLEY,49.2
ASIANENE,43.91
ASIANHOTNR,27.04
ASIANPAINT,49.54
ASIANTILES,31.95
ASKAUTOLTD,47.24
ASMS,39.33
ASPINWALL,74.94
ASTEC,63.68
ASTERDM,25.83
ASTRAL,28.69
ASTRAMICRO,67.4
ASTRAZEN,45.68
ASTRON,58.41
ATALREAL,25.15
ATAM,65.26
ATGL,40.46
ATHERENERG,24.25
ATL,54.39
ATLANTAA,65.12
ATLANTAELE,32.5
ATLASCYCLE,84.05
ATUL,60.48
ATULAUTO,38.59
AUBANK,47.08
AURIONPRO,56.48
AUROPHARMA,55.72
AURUM,67.06
AUTOAXLES,52.87
AUTOBEES,64.94
AUTOIETF,62.36
AUTOIND,59.66
AVADHSUGAR,28.2
AVALON,50.29
AVANTEL,45.45
AVANTIFEED,24.48
AVG,43.41
AVL,43.12
AVONMORE,52.61
AVROIND,67.85
AVTNPL,68.15
AWFIS,49.71
AWHCL,47.49
AWL,50.25
AXISBANK,62.02
AXISBNKETF,45.14
AXISBPSETF,67.35
AXISCADES,56.27
AXISCETF,88.54
AXISGOLD,38.73
AXISHCETF,64.81
AXISILVER,30.03
AXISNIFTY,95.5
AXISTECETF,66.62
AXISVALUE,48.68
AXSENSEX,61.01
AYE,23.77
AYMSYNTEX,54.23
AZAD,48.16
BAFNAPH,60.82
BAGFILMS,82.91
BAIDFIN,76.01
BAJAJ-AUTO,46.26
BAJAJCON,51.1
BAJAJELEC,45.87
BAJAJFINSV,52.52
BAJAJHCARE,52.04
BAJAJHFL,56.72
BAJAJHIND,20.57
BAJAJHLDNG,52.83
BAJAJINDEF,62.47
BAJEL,51.94
BAJFINANCE,62.72
BALAJEE,53.78
BALAJITELE,30.63
BALAMINES,55.58
BALAXI,48.08
BALKRISHNA,56.1
BALKRISIND,54.16
BALMLAWRIE,58.77
BALPHARMA,80.4
BALRAMCHIN,15.38
BALUFORGE,36.9
BANARBEADS,68.7
BANARISUG,74.84
BANCOINDIA,45.28
BANDHANBNK,28.83
BANG,84.92
BANKA,59.11
BANKADD,92.24
BANKBARODA,47.35
BANKBEES,73.87
BANKBETA,62.52
BANKBETF,24.34
BANKETF,90.19
BANKIETF,79.54
BANKINDIA,30.67
BANKNIFTY1,79.83
BANKPSU,66.07
BANSALWIRE,56.12
BANSWRAS,62.43
BASF,53.06
BASML,70.98
BATAINDIA,52.66
BAYERCROP,58.1
BBETF0432,89.73
BBL,61.43
BBNPNBETF,56.71
BBNPPGOLD,41.18
BBOX,42.4
BBTC,54.2
BBTCL,55.19
BCLIND,37.69
BCONCEPTS,77.52
BDL,17.72
BEARDSELL,85.67
BECTORFOOD,50.92
BEL,36.48
BELLACASA,66.99
BELRISE,44.09
BEML,38.93
BEPL,49.59
BERGEPAINT,40.11
BETA,61.42
BFINVEST,69.38
BFSI,62.69
BHAGCHEM,78.43
BHAGERIA,54.46
BHAGYANGR,59.7
BHANDARI,82.73
BHARATCOAL,34.89
BHARATFORG,31.94
BHARATGEAR,53.01
BHARATRAS,55.89
BHARATSE,40.79
BHARATWIRE,52.44
BHARTIARTL,61.61
BHARTIHEXA,48.86
BHEL,32.79
BIGBLOC,56.9
BIKAJI,59.29
BIL,75.97
BIOCON,49.1
BIOFILCHEM,65.51
BIRLACABLE,49.52
BIRLACORPN,51.34
BIRLAMONEY,50.37
BIRLANU,67.03
BLACKBUCK,57.02
BLAL,87.23
BLISSGVS,57.01
BLKASHYAP,64.09
BLS,41.16
BLSE,7.41
BLUECOAST,70.78
BLUEDART,39.93
BLUEJET,58.05
BLUESTARCO,40.98
BLUESTONE,32.89
BLUSPRING,61.89
BMWVENTLTD,59.24
BODALCHEM,75.12
BOMDYEING,49.15
BOROLTD,58.52
BORORENEW,48.28
BOROSCI,68.3
BOSCH-HCIL,69.84
BOSCHLTD,34.74
BPCL,55.53
BPL,68.89
BRIGADE,56.28
BRIGHOTEL,59.39
BRITANNIA,57.69
BRNL,87.84
BROOKS,50.34
BSE,25.38
BSE500IETF,67.37
BSHSL,82.76
BSL,61.61
BSLGOLDETF,50.39
BSLNIFTY,65.49
BSLSENETFG,68.29
BSOFT,27.96
BTML,57.81
BUILDPRO,73.8
BUTTERFLY,73.13
BVCL,61.57
BYKE,62.14
CALSOFT,70.73
CAMLINFINE,53.64
CAMPUS,44.6
CAMS,62.22
CANBK,40.83
CANFINHOME,50.81
CANHLIFE,31.05
CANTABIL,61.02
CAPACITE,82.29
CAPILLARY,36.77
CAPITALSFB,72.53
CAPLIPOINT,57.27
CARBORUNIV,43.31
CARERATING,69.4
