SYMBOL,DELIV_PER
20MICRONS,43.43
21STCENMGM,100.0
360ONE,76.28
3IINFOLTD,59.59
3MINDIA,74.79
3PLAND,81.94
5PAISA,26.32
63MOONS,26.2
A2ZINFRA,59.92
AADHARHFC,62.94
AAKASH,77.51
AAREYDRUGS,50.71
AARON,58.92
AARTECH,48.06
AARTIDRUGS,61.61
AARTIIND,35.57
AARTIPHARM,36.1
AARTISURF,62.65
AARVI,64.47
AAVAS,61.0
ABB,51.32
ABBOTINDIA,43.88
ABCAPITAL,32.69
ABCOTS,88.13
ABDL,49.55
ABFRL,33.44
ABGSEC,100.0
ABINFRA,68.76
ABLBL,52.92
ABMINTLLTD,63.11
ABREL,53.59
ABSLAMC,37.38
ABSLBANETF,92.16
ABSLLIQUID,98.36
ABSLNN50ET,72.04
ABSLPSE,73.55
ACC,41.81
ACCELYA,48.5
ACCURACY,64.95
ACE,38.46
ACEINTEG,86.22
ACI,38.64
ACL,37.28
ACMESOLAR,37.04
ACUTAAS,52.0
ADANIENSOL,25.82
ADANIENT,14.24
ADANIGREEN,14.05
ADANIPORTS,32.11
ADANIPOWER,25.54
ADFFOODS,48.76
ADL,88.59
ADOR,45.98
ADROITINFO,49.7
ADSL,44.39
ADVAIT,25.09
ADVANCE,52.38
ADVANIHOTR,47.57
ADVENTHTL,56.6
ADVENZYMES,46.8
AEGISLOG,43.55
AEGISVOPAK,50.66
AEQUS,44.03
AEROENTER,26.54
AEROFLEX,23.72
AERONEU,37.96
AETHER,42.69
AFCONS,36.65
AFFLE,53.2
AFFORDABLE,47.61
AFIL,78.9
AFSL,98.22
AGARIND,48.17
AGARWALEYE,33.54
AGI,55.29
AGIIL,32.07
AGROPHOS,70.34
AHCL,56.17
AHLADA,82.4
AHLEAST,68.09
AHLUCONT,42.24
AIAENG,51.38
AIIL,47.83
AIRAN,69.49
AIROLAM,45.05
AJANTPHARM,60.6
AJAXENGG,48.98
AJMERA,44.49
AJOONI,66.54
AKASH,62.7
AKG,96.33
AKI,67.6
AKSHAR,72.79
AKSHARCHEM,56.41
AKSHOPTFBR,60.43
AKUMS,44.29
AKZOINDIA,54.62
ALANKIT,59.16
ALBERTDAVD,75.75
ALEMBICLTD,57.98
ALGOQUANT,32.4
ALICON,63.19
ALIVUS,45.63
ALKALI,64.08
ALKEM,52.63
ALKYLAMINE,27.45
ALLCARGO,40.28
ALLDIGI,62.23
ALLTIME,37.05
ALMONDZ,57.56
ALOKINDS,27.12
ALPA,49.38
ALPHA,50.45
ALPHAETF,43.86
ALPHAGEO,72.23
ALPL30IETF,69.27
AMAGI,36.52
AMANTA,67.87
AMBER,57.42
AMBICAAGAR,77.26
AMBIKCO,54.44
AMBUJACEM,42.37
AMDIND,59.26
AMJLAND,63.13
AMNPLST,29.95
AMRUTANJAN,52.52
ANANDRATHI,44.13
ANANTRAJ,29.48
ANDHRAPAP,47.52
ANDHRSUGAR,53.55
ANGELONE,21.72
ANIKINDS,43.9
ANMOL,77.05
ANTELOPUS,7.82
ANTGRAPHIC,60.42
ANTHEM,50.69
ANUHPHR,54.04
ANUP,54.05
ANURAS,47.03
AONEGOLD,70.85
AONELIQUID,77.38
AONENIFTY,59.65
AONETMMQ50,79.88
AONETOTAL,43.21
APARINDS,40.36
APCL,55.77
APCOTEXIND,56.77
APEX,6.26
APLAPOLLO,54.54
APLLTD,53.07
APOLLO,27.0
APOLLOHOSP,59.0
APOLLOPIPE,33.58
APOLLOTYRE,45.89
APOLSINHOT,89.44
APTECHT,46.88
APTUS,55.12
ARCHIDPLY,86.54
ARCHIES,68.04
ARE&M,42.82
ARENTERP,95.45
ARFIN,43.3
ARIES,50.66
ARIHANTCAP,39.47
ARIHANTSUP,40.43
ARISINFRA,55.54
ARKADE,16.95
ARMANFIN,53.01
AROGRANITE,58.35
ARROWGREEN,47.58
ARSSBL,32.18
ARTEMISMED,48.46
ARTNIRMAN,100.0
ARVIND,48.25
ARVINDFASN,48.53
ARVSMART,57.16
ASAHIINDIA,25.16
ASAHISONG,69.89
ASAL,34.89
ASALCBR,52.49
ASHAPURMIN,36.68
ASHIANA,56.48
ASHIMASYN,81.71
ASHOKA,28.52
ASHOKAMET,75.75
ASHOKLEY,50.05
ASIANENE,71.8
ASIANHOTNR,28.85
ASIANPAINT,35.08
ASIANTILES,39.06
ASKAUTOLTD,38.69
ASMS,57.45
ASPINWALL,55.17
ASTEC,42.06
ASTERDM,58.1
ASTRAL,50.37
ASTRAMICRO,33.21
ASTRAZEN,53.46
ASTRON,86.87
ATALREAL,24.35
ATAM,68.33
ATGL,15.83
ATHERENERG,28.28
ATL,41.41
ATLANTAA,36.29
ATLANTAELE,35.25
ATLASCYCLE,96.02
ATUL,38.49
ATULAUTO,37.78
AUBANK,49.51
AURIONPRO,34.46
AUROPHARMA,45.99
AURUM,58.21
AUTOAXLES,46.74
AUTOBEES,59.18
AUTOIETF,65.79
AUTOIND,55.42
AVADHSUGAR,51.99
AVALON,23.75
AVANTEL,23.81
AVANTIFEED,17.6
AVG,33.09
AVL,29.56
AVONMORE,51.35
AVTNPL,65.32
AWFIS,55.66
AWHCL,9.37
AWL,37.82
AXISBANK,44.19
AXISBNKETF,95.36
AXISBPSETF,54.15
AXISCADES,51.06
AXISCETF,82.81
AXISGOLD,71.25
AXISHCETF,72.02
AXISILVER,50.42
AXISNIFTY,51.3
AXISTECETF,74.29
AXISVALUE,80.36
AXSENSEX,89.57
AYMSYNTEX,30.61
AZAD,41.82
BAGFILMS,77.29
BAIDFIN,66.58
BAJAJ-AUTO,43.36
BAJAJCON,20.42
BAJAJELEC,31.92
BAJAJFINSV,60.99
BAJAJHCARE,39.14
BAJAJHFL,47.14
BAJAJHIND,34.79
BAJAJHLDNG,54.31
BAJAJINDEF,61.22
BAJEL,44.88
BAJFINANCE,68.39
BALAJEE,69.7
BALAJITELE,50.79
BALAMINES,9.95
BALAXI,68.65
BALKRISHNA,65.9
BALKRISIND,60.57
BALMLAWRIE,65.67
BALPHARMA,55.25
BALRAMCHIN,47.81
BALUFORGE,29.61
BANARBEADS,51.8
BANARISUG,65.05
BANCOINDIA,28.65
BANDHANBNK,47.62
BANG,78.85
BANKA,56.45
BANKADD,87.47
BANKBARODA,50.35
BANKBEES,57.94
BANKBETA,81.33
BANKBETF,87.43
BANKETF,51.49
BANKIETF,66.46
BANKINDIA,40.05
BANKNIFTY1,65.43
BANKPSU,61.28
BANSALWIRE,48.88
BANSWRAS,71.33
BASF,81.72
BASML,48.61
BATAINDIA,43.07
BAYERCROP,53.95
BBETF0432,70.8
BBL,50.99
BBNPNBETF,80.93
BBNPPGOLD,75.67
BBOX,27.33
BBTC,37.81
BBTCL,76.32
BCG,47.86
BCLIND,47.55
BCONCEPTS,53.1
BDL,27.04
BEARDSELL,81.48
BECTORFOOD,53.98
BEDMUTHA,59.8
BEL,51.69
BELLACASA,66.08
BELRISE,35.4
BEML,32.53
BEPL,62.37
BERGEPAINT,43.63
BETA,55.36
BFINVEST,55.18
BFSI,38.02
BGRENERGY,56.28
BHAGCHEM,59.72
BHAGERIA,55.55
BHANDARI,60.49
BHARATCOAL,15.51
BHARATFORG,46.49
BHARATGEAR,69.75
BHARATRAS,27.54
BHARATSE,54.71
BHARATWIRE,61.18
BHARTIARTL,63.19
BHARTIHEXA,58.01
BHEL,38.53
BIGBLOC,30.01
BIKAJI,40.09
BIL,64.29
BIOCON,53.67
BIOFILCHEM,68.48
BIRLACABLE,66.24
BIRLACORPN,46.98
BIRLAMONEY,49.97
BIRLANU,50.29
BLACKBUCK,57.38
BLAL,62.05
BLBLIMITED,66.49
BLISSGVS,26.86
BLKASHYAP,49.08
BLS,28.12
BLSE,45.78
BLUECOAST,85.23
BLUEDART,41.41
BLUEJET,56.56
BLUESTARCO,49.32
BLUESTONE,17.52
BLUSPRING,58.2
BMWVENTLTD,69.98
BODALCHEM,49.88
BOHRAIND,94.64
BOMDYEING,38.65
BOROLTD,50.62
BORORENEW,45.42
BOROSCI,50.37
BOSCH-HCIL,50.92
BOSCHLTD,40.61
BPCL,52.87
BPL,53.57
BRIGADE,69.6
BRIGHOTEL,45.57
