SYMBOL,DELIV_PER
20MICRONS,48.14
21STCENMGM,99.02
360ONE,42.52
3BBLACKBIO,54.59
3IINFOLTD,78.31
3MINDIA,47.42
3PLAND,92.31
5PAISA,50.35
63MOONS,44.69
A2ZINFRA,53.35
AAATECH,61.83
AADHARHFC,53.82
AAKASH,66.21
AARNAV,80.18
AARON,66.58
AARTIDRUGS,44.68
AARTIIND,27.56
AARTIPHARM,44.09
AARTISURF,62.41
AARVI,57.49
AAVAS,44.51
ABB,40.48
ABBOTINDIA,52.9
ABCAPITAL,39.05
ABCOTS,76.66
ABDL,49.23
ABFRL,47.42
ABGSEC,46.63
ABINFRA,25.69
ABLBL,45.04
ABMINTLLTD,90.91
ABMKNO,89.0
ABREL,44.54
ABSL10BANK,97.51
ABSLAMC,51.16
ABSLBANETF,84.33
ABSLLIQUID,55.06
ABSLMSCIN,87.06
ABSLNN50ET,72.66
ABSLPSE,70.85
ACC,41.78
ACCELYA,67.03
ACE,43.28
ACEINTEG,86.33
ACI,87.12
ACL,61.38
ACMESOLAR,57.52
ACSTECH,56.58
ACUTAAS,49.56
ADANIENSOL,33.49
ADANIENT,38.57
ADANIGREEN,31.49
ADANIPORTS,48.38
ADANIPOWER,37.28
ADFFOODS,46.78
ADL,54.55
ADOR,48.22
ADROITINFO,67.27
ADSL,33.08
ADVAIT,45.42
ADVANCE,49.1
ADVANIHOTR,61.99
ADVENTHTL,32.91
ADVENZYMES,52.3
AEGISLOG,22.25
AEGISVOPAK,37.19
AEPL,68.55
AEQUS,26.15
AEROENTER,72.62
AEROFLEX,35.65
AERONEU,15.3
AETHER,32.32
AFCONS,41.96
AFFLE,39.17
AFSL,54.88
AGARIND,51.56
AGARWALEYE,51.89
AGI,66.14
AGIIL,19.81
AGROPHOS,75.83
AHCL,51.75
AHLADA,84.38
AHLEAST,71.81
AHLUCONT,57.23
AIAENG,70.58
AIIL,50.57
AIRAN,75.59
AIROLAM,79.81
AJANTPHARM,43.55
AJAXENGG,44.43
AJMERA,43.44
AJOONI,53.09
AKASH,69.01
AKCAPIT,56.82
AKG,91.43
AKI,84.43
AKSHAR,74.8
AKUMS,53.69
ALANKIT,72.95
ALBERTDAVD,88.12
ALEMBICLTD,35.18
ALGOQUANT,21.69
ALICON,60.42
ALIVUS,54.36
ALKEM,75.36
ALKYLAMINE,33.8
ALLCARGO,56.42
ALLDIGI,66.63
ALLTIME,42.8
ALMONDZ,84.7
ALOKINDS,54.22
ALPA,72.7
ALPHA,64.21
ALPHAETF,51.6
ALPHAGEO,68.67
ALPL30IETF,86.03
AMAGI,63.53
AMBALALSA,47.58
AMBER,40.36
AMBICAAGAR,79.35
AMBIKCO,54.75
AMBUJACEM,47.66
AMDIND,75.41
AMIRCHAND,46.9
AMJLAND,42.42
AMNPLST,79.58
AMRUTANJAN,63.02
ANANDRATHI,42.2
ANANTRAJ,29.47
ANDHRAPAP,66.67
ANDHRSUGAR,41.39
ANGELONE,21.33
ANMOL,67.35
ANTELOPUS,53.03
ANTGRAPHIC,94.15
ANTHEM,76.78
ANUHPHR,57.66
ANUP,56.48
ANURAS,40.0
AONEGOLD,58.45
AONELIQUID,65.24
AONENIFTY,86.35
AONESILVER,65.99
AONETMMQ50,86.95
AONETOTAL,73.35
APARINDS,38.26
APCL,61.19
APCOTEXIND,42.37
APEX,25.56
APLAPOLLO,58.91
APLLTD,47.73
APOLLO,20.8
APOLLOHOSP,57.18
APOLLOPIPE,56.32
APOLLOTYRE,54.51
APOLSINHOT,27.3
APTUS,51.36
AQYLON,51.75
ARCHIDPLY,75.95
ARCHIES,88.54
ARE&M,44.68
ARENTERP,57.6
ARFIN,6.73
ARIES,82.68
ARIHANT,59.42
ARIHANTCAP,57.97
ARIHANTSUP,93.1
ARIS,48.1
ARKADE,37.93
ARMANFIN,51.4
AROGRANITE,73.06
ARSSBL,35.07
ARTEMISMED,63.69
ARTNIRMAN,65.01
ARVEE,57.92
ARVIND,41.67
ARVINDFASN,44.55
ARVSMART,62.41
ASAHIINDIA,47.05
ASAHISONG,52.9
ASAL,46.47
ASALCBR,50.85
ASHAPURMIN,45.15
ASHIANA,56.99
ASHIKA,46.09
ASHIMASYN,54.9
ASHOKA,44.69
ASHOKAMET,69.34
ASHOKLEY,45.19
ASIANENE,54.99
ASIANHOTNR,75.48
ASIANPAINT,63.89
ASIANTILES,54.21
ASKAUTOLTD,50.74
ASPINWALL,70.06
ASTAR,100.0
ASTEC,48.51
ASTERDM,47.7
ASTRAL,52.32
ASTRAMICRO,38.72
ASTRAZEN,60.05
ATALREAL,32.57
ATAM,42.65
ATGL,33.57
ATHERENERG,12.1
ATL,66.97
ATLANTAA,64.29
ATLANTAELE,68.36
ATLASCYCLE,49.77
ATUL,50.88
ATULAUTO,39.73
AUBANK,38.31
AURIONPRO,48.44
AUROPHARMA,57.12
AURUM,29.26
AURUS,59.78
AUTOAXLES,69.97
AUTOBEES,43.28
AUTOIETF,42.79
AVALON,42.62
AVANTEL,47.29
AVANTIFEED,27.6
AVL,45.0
AVONMORE,59.04
AVROIND,59.97
AVTNPL,66.31
AWFIS,30.46
AWHCL,51.99
AWL,50.67
AXISBANK,53.77
AXISCADES,59.1
AXITA,64.09
AYE,51.27
AYMSYNTEX,49.67
AZAD,44.64
BAGFILMS,83.44
BAIDFIN,86.37
BAJAJ-AUTO,51.8
BAJAJCON,35.65
BAJAJELEC,49.77
BAJAJFINSV,48.31
BAJAJHCARE,52.53
BAJAJHFL,49.43
BAJAJHIND,60.25
BAJAJHLDNG,63.92
BAJAJINDEF,70.74
BAJAJST,39.9
BAJEL,60.83
BAJFINANCE,55.26
BALAJEE,60.27
BALAJITELE,54.39
BALAMINES,28.86
BALKRISHNA,89.96
BALKRISIND,48.83
BALMLAWRIE,44.37
BALPHARMA,54.65
BALRAMCHIN,45.99
BALUFORGE,80.95
BANARBEADS,70.84
BANARISUG,87.92
BANCOINDIA,45.61
BANDHANBNK,31.27
BANG,58.61
BANK10ADD,88.14
BANKADD,46.98
BANKBARODA,45.24
BANKBEES,55.01
BANKBETA,61.76
BANKBETF,67.77
BANKETF,53.32
BANKIETF,56.76
BANKINDIA,41.31
BANKNIFTY1,58.78
BANKPSU,88.25
BANSALWIRE,42.95
BANSWRAS,43.64
BASF,61.79
BATAINDIA,51.24
BATLIBOI,70.6
BAYERCROP,61.15
BBETF0432,84.79
BBL,48.1
BBNPNBETF,87.7
BBNPPGOLD,84.38
BBOX,46.65
BBTC,46.48
BBTCL,62.95
BCG,41.65
BCLIND,29.42
BCONCEPTS,41.68
BCPL,75.54
BDL,37.26
BEARDSELL,82.32
BECTORFOOD,77.56
BEDMUTHA,93.6
BEEKAY,96.08
BEL,58.26
BELLACASA,48.53
BELRISE,38.58
BEML,37.05
BENGALASM,63.51
BEPL,40.2
BERGEPAINT,42.13
BESTAGRO,51.42
BETA,36.66
BFINVEST,49.42
BFSI,62.76
BFUTILITIE,37.76
BHAGCHEM,32.2
BHARATCOAL,38.29
BHARATFORG,60.58
BHARATRAS,47.72
BHARATSE,31.48
BHARATWIRE,34.9
BHARTIARTL,63.7
BHARTIHEXA,53.07
BHEL,47.67
BI,73.72
BIGBLOC,58.36
BIKAJI,56.55
BIL,66.55
BIMETAL,64.87
BIOCON,49.35
BIOFILCHEM,59.82
BIRLACORPN,42.99
BIRLAMONEY,39.85
BIRLANU,59.19
BIRLAPREC,79.45
BLACKBUCK,53.87
BLAL,63.19
BLBLIMITED,78.85
BLIL,67.78
BLKASHYAP,31.11
BLS,48.94
BLSE,22.66
BLUEDART,45.83
BLUEJET,50.71
BLUESTARCO,35.35
BLUESTONE,39.63
BLUSPRING,29.11
BMWVENTLTD,35.2
BNALTD,74.62
BNKETFAXIS,56.34
BOHRAIND,65.06
BOMDYEING,41.48
BONLON,72.91
BORANA,73.59
BOROLTD,53.81
BORORENEW,46.58
BOROSCI,53.39
BOSCH-HCIL,39.27
BOSCHLTD,42.88
BPCL,58.16
BPL,46.23
BRIGADE,43.36
BRIGHOTEL,72.2
BRITANNIA,53.93
BRNL,76.71
BSE,38.79
BSE500IETF,56.18
BSL,60.48
BSLGOLDETF,88.08
BSLNIFTY,86.38
BSLSENETFG,52.5
BSOFT,48.96
BTML,78.31
BUILDPRO,54.07
BUTTERFLY,48.74
BVCL,50.58
CAMLINFINE,40.19
CAMPUS,52.1
CAMS,52.6
CANBK,48.4
CANFINHOME,53.56
CANHLIFE,62.48
CANTABIL,45.39
CAPACITE,20.61
CAPILLARY,87.17
CAPITALSFB,71.0
CAPLIPOINT,37.62
CAPTRUST,100.0
CARBORUNIV,45.81
CARERATING,46.15
CARRARO,44.34
CARTRADE,40.08
CARYSIL,19.52
CASHIETF,82.07
CASTROLIND,81.55
CCAVENUE,39.69
CCCL,69.01
CCHHL,78.71
CCL,59.62
CDSL,28.6
CEATLTD,48.59
CEIGALL,51.58
CEINSYS,53.53
CELEBRITY,70.12
CELLO,50.76
CEMPRO,61.06
CENTENKA,11.04
CENTEXT,58.55
CENTRALBK,52.59
CENTRUM,52.29
CENTUM,55.85
CENTURYPLY,32.45
CERA,22.22
CESC,48.2
CEWATER,32.56
CGCL,34.42
CGPOWER,49.3
CHALET,49.87
CHAMBLFERT,37.19
CHEMICAL,88.91
CHEMPLASTS,52.32
CHENNPETRO,27.51
CHEVIOT,58.9
CHOICEGOLD,62.73
CHOICEIN,26.68
CHOLAFIN,52.3
CHOLAHLDNG,72.43
CIEINDIA,47.99
CIFL,76.84
CINELINE,55.92
CINEVISTA,67.08
CIPLA,54.71
CLEAN,39.88
CLEANMAX,43.52
CLSEL,41.07
CMPDI,35.62
CMRGREEN,46.91
CMSINFO,57.55
CNL,24.96
COALINDIA,60.7
COASTCORP,53.75
COCHINSHIP,35.72
COCKERILL,35.51
COFORGE,51.84
COHANCE,31.9
COLPAL,58.67
COMFINTE,63.62
COMMOIETF,62.41
COMPUSOFT,79.95
