SYMBOL,DELIV_PER
20MICRONS,52.5
21STCENMGM,99.8
360ONE,66.54
3IINFOLTD,70.91
3MINDIA,39.22
3PLAND,81.47
5PAISA,36.77
63MOONS,64.33
A2ZINFRA,77.54
AADHARHFC,42.64
AAKASH,83.83
AARON,51.06
AARTECH,61.56
AARTIDRUGS,25.91
AARTIIND,14.32
AARTIPHARM,54.93
AARTISURF,65.97
AARVI,59.5
AAVAS,57.67
ABB,49.1
ABBOTINDIA,55.24
ABCAPITAL,45.03
ABCOTS,26.42
ABDL,53.45
ABFRL,33.81
ABGSEC,100.0
ABINFRA,34.24
ABLBL,56.47
ABREL,39.63
ABSLAMC,37.87
ABSLBANETF,97.95
ABSLLIQUID,62.79
ABSLNN50ET,74.3
ABSLPSE,70.56
ACC,52.32
ACCELYA,64.08
ACCURACY,64.14
ACE,43.38
ACEINTEG,70.23
ACI,49.34
ACLGATI,50.52
ACMESOLAR,54.93
ACUTAAS,44.8
ADANIENSOL,43.63
ADANIENT,25.7
ADANIGREEN,30.97
ADANIPORTS,49.99
ADANIPOWER,36.04
ADFFOODS,64.71
ADL,42.8
ADOR,44.8
ADROITINFO,83.03
ADSL,37.14
ADVANCE,28.02
ADVANIHOTR,66.32
ADVENZYMES,51.29
AEGISLOG,24.62
AEGISVOPAK,32.1
AEROENTER,48.98
AEROFLEX,35.28
AERONEU,29.13
AETHER,47.06
AFCONS,87.92
AFFLE,62.37
AFFORDABLE,58.69
AFIL,59.84
AFSL,91.69
AGARIND,71.24
AGARWALEYE,23.59
AGI,46.95
AGIIL,64.42
AGRITECH,60.44
AHLADA,65.95
AHLEAST,36.67
AHLUCONT,54.03
AIAENG,49.85
AIIL,56.8
AIRAN,52.61
AIROLAM,79.99
AJANTPHARM,55.52
AJAXENGG,32.37
AJMERA,40.38
AJOONI,73.58
AKASH,53.66
AKG,51.42
AKI,74.87
AKSHARCHEM,53.07
AKSHOPTFBR,81.12
AKUMS,62.48
AKZOINDIA,40.03
ALANKIT,51.34
ALBERTDAVD,72.09
ALEMBICLTD,44.81
ALICON,48.72
ALIVUS,39.09
ALKALI,61.52
ALKEM,75.58
ALKYLAMINE,54.27
ALLCARGO,55.24
ALLDIGI,79.6
ALLTIME,52.81
ALMONDZ,77.62
ALOKINDS,50.23
ALPA,71.48
ALPHA,39.96
ALPHAETF,57.17
ALPHAGEO,54.43
ALPL30IETF,84.08
AMANTA,45.71
AMBER,23.9
AMBICAAGAR,75.48
AMBIKCO,76.64
AMBUJACEM,41.99
AMDIND,64.87
AMJLAND,65.37
AMNPLST,73.19
AMRUTANJAN,58.41
ANANDRATHI,47.87
ANANTRAJ,30.35
ANDHRAPAP,58.6
ANDHRSUGAR,17.04
ANGELONE,28.3
ANIKINDS,65.63
ANMOL,43.48
ANTELOPUS,52.65
ANTGRAPHIC,77.78
ANTHEM,47.18
ANUHPHR,65.42
ANUP,39.97
ANURAS,52.82
AONEGOLD,55.35
AONELIQUID,87.11
AONENIFTY,69.48
AONETOTAL,54.95
APARINDS,62.27
APCL,81.88
APCOTEXIND,44.94
APEX,39.73
APLAPOLLO,64.96
APLLTD,26.56
APOLLO,24.24
APOLLOHOSP,39.92
APOLLOPIPE,54.82
APOLLOTYRE,35.4
APOLSINHOT,73.94
APTECHT,71.12
APTUS,51.47
ARCHIDPLY,70.63
ARCHIES,70.49
ARE&M,51.08
ARENTERP,100.0
ARIES,34.12
ARIHANTCAP,22.59
ARIHANTSUP,77.96
ARISINFRA,28.93
ARKADE,41.33
ARMANFIN,62.18
AROGRANITE,72.07
ARROWGREEN,47.96
ARSSBL,28.09
ARTEMISMED,76.52
ARTNIRMAN,98.73
ARVEE,29.41
ARVIND,16.82
ARVINDFASN,51.47
ARVSMART,50.8
ASAHIINDIA,37.32
ASAHISONG,66.75
ASAL,30.53
ASALCBR,41.97
ASHAPURMIN,39.73
ASHIANA,55.02
ASHIMASYN,72.7
ASHOKA,42.18
ASHOKAMET,57.98
ASHOKLEY,35.94
ASIANENE,49.08
ASIANHOTNR,56.58
ASIANPAINT,59.49
ASIANTILES,55.63
ASKAUTOLTD,51.92
ASPINWALL,68.87
ASTEC,46.73
ASTERDM,49.64
ASTRAL,38.89
ASTRAMICRO,36.99
ASTRAZEN,59.91
ASTRON,67.27
ATALREAL,34.75
ATAM,25.61
ATGL,33.2
ATHERENERG,31.84
ATL,47.05
ATLANTAELE,36.92
ATLASCYCLE,62.19
ATUL,54.75
ATULAUTO,40.47
AUBANK,50.34
AURIGROW,32.96
AURIONPRO,47.71
AUROPHARMA,34.8
AURUM,74.93
AUSOMENT,76.26
AUTOAXLES,71.56
AUTOBEES,76.57
AUTOIETF,65.01
AUTOIND,63.76
AVADHSUGAR,56.7
AVALON,47.55
AVANTEL,30.28
AVANTIFEED,45.23
AVG,67.58
AVL,37.08
AVONMORE,68.01
AVROIND,50.08
AVTNPL,29.52
AWFIS,53.39
AWHCL,55.48
AWL,64.88
AXISBANK,71.04
AXISBNKETF,99.72
AXISBPSETF,61.88
AXISCETF,99.96
AXISGOLD,49.19
AXISHCETF,50.58
AXISILVER,57.18
AXISNIFTY,36.38
AXISTECETF,62.78
AXISVALUE,74.42
AXITA,29.87
AXSENSEX,13.75
AYMSYNTEX,55.44
AZAD,44.93
BAGFILMS,65.62
BAIDFIN,81.53
BAJAJ-AUTO,45.68
BAJAJCON,44.39
BAJAJELEC,42.39
BAJAJFINSV,45.82
BAJAJHCARE,48.7
BAJAJHFL,35.95
BAJAJHIND,41.77
BAJAJHLDNG,23.06
BAJAJINDEF,52.73
BAJEL,51.3
BAJFINANCE,52.26
BALAJEE,55.7
BALAJITELE,40.69
BALAMINES,55.65
BALAXI,78.55
BALKRISHNA,51.49
BALKRISIND,52.5
BALMLAWRIE,53.82
BALPHARMA,66.73
BALRAMCHIN,75.52
BALUFORGE,15.64
BANARBEADS,51.24
