SYMBOL,DELIV_PER
20MICRONS,56.08
21STCENMGM,98.23
360ONE,39.35
3IINFOLTD,82.93
3MINDIA,39.39
3PLAND,54.66
5PAISA,10.57
63MOONS,49.17
A2ZINFRA,65.77
AADHARHFC,60.99
AAKASH,44.36
AAREYDRUGS,57.68
AARON,65.61
AARTECH,75.03
AARTIDRUGS,55.59
AARTIIND,48.38
AARTIPHARM,56.43
AARTISURF,57.07
AARVI,27.94
AAVAS,71.29
ABB,22.87
ABBOTINDIA,73.02
ABCAPITAL,45.64
ABCOTS,28.91
ABDL,47.29
ABFRL,29.91
ABGSEC,81.02
ABINFRA,72.35
ABLBL,46.27
ABREL,40.79
ABSLAMC,51.28
ABSLBANETF,68.65
ABSLLIQUID,92.58
ABSLMSCIN,20.59
ABSLNN50ET,86.85
ABSLPSE,78.09
ACC,45.22
ACCELYA,48.84
ACCURACY,83.15
ACE,53.24
ACEINTEG,75.38
ACI,44.03
ACL,75.16
ACMESOLAR,41.21
ACUTAAS,52.83
ADANIENSOL,52.08
ADANIENT,18.66
ADANIGREEN,21.53
ADANIPORTS,49.3
ADANIPOWER,32.65
ADFFOODS,30.01
ADL,78.45
ADOR,47.81
ADROITINFO,71.06
ADSL,37.73
ADVAIT,28.05
ADVANCE,35.81
ADVANIHOTR,73.75
ADVENTHTL,49.98
ADVENZYMES,57.61
AEGISLOG,36.31
AEGISVOPAK,53.84
AEQUS,45.25
AEROENTER,42.49
AEROFLEX,22.02
AERONEU,51.59
AETHER,50.93
AFCONS,52.8
AFFLE,50.99
AFFORDABLE,44.14
AFIL,62.99
AFSL,62.4
AGARIND,53.88
AGARWALEYE,36.16
AGI,43.87
AGIIL,31.61
AGROPHOS,6.7
AHCL,45.24
AHLADA,90.76
AHLEAST,72.73
AHLUCONT,51.82
AIAENG,81.39
AIIL,41.7
AIRAN,65.16
AIROLAM,46.16
AJANTPHARM,62.43
AJAXENGG,60.44
AJMERA,50.37
AJOONI,70.33
AKASH,18.0
AKG,70.81
AKI,92.38
AKSHAR,56.47
AKSHARCHEM,85.97
AKSHOPTFBR,71.46
AKUMS,40.28
AKZOINDIA,61.33
ALANKIT,67.98
ALBERTDAVD,57.64
ALEMBICLTD,44.33
ALGOQUANT,18.36
ALICON,28.28
ALIVUS,54.58
ALKALI,66.14
ALKEM,59.21
ALKYLAMINE,41.05
ALLCARGO,42.48
ALLDIGI,57.8
ALLTIME,57.3
ALMONDZ,67.84
ALOKINDS,43.47
ALPA,47.97
ALPHA,44.94
ALPHAETF,36.74
ALPHAGEO,72.06
ALPL30IETF,87.19
AMAGI,37.34
AMANTA,63.11
AMBER,42.1
AMBICAAGAR,87.6
AMBIKCO,32.05
AMBUJACEM,64.86
AMDIND,43.58
AMJLAND,38.08
AMNPLST,73.74
AMRUTANJAN,60.47
ANANDRATHI,64.64
ANANTRAJ,22.41
ANDHRAPAP,61.64
ANDHRSUGAR,57.01
ANGELONE,19.58
ANIKINDS,31.63
ANMOL,69.57
ANTELOPUS,18.38
ANTGRAPHIC,89.94
ANTHEM,46.36
ANUHPHR,69.82
ANUP,56.32
ANURAS,49.43
AONEGOLD,48.68
AONELIQUID,91.01
AONENIFTY,47.74
AONETMMQ50,64.51
AONETOTAL,56.63
APARINDS,24.35
APCL,38.24
APCOTEXIND,68.35
APEX,12.54
APLAPOLLO,56.68
APLLTD,43.13
APOLLO,23.21
APOLLOHOSP,70.21
APOLLOPIPE,33.6
APOLLOTYRE,49.89
APOLSINHOT,42.88
APTECHT,31.95
APTUS,71.19
ARCHIDPLY,70.06
ARCHIES,77.55
ARE&M,43.51
ARENTERP,72.22
ARFIN,18.85
ARIES,44.88
ARIHANTCAP,40.25
ARIHANTSUP,10.3
ARIS,45.3
ARKADE,54.2
ARMANFIN,57.68
AROGRANITE,39.07
ARROWGREEN,51.27
ARSSBL,37.98
ARTEMISMED,41.8
ARTNIRMAN,59.2
ARVIND,41.93
ARVINDFASN,54.96
ARVSMART,42.27
ASAHIINDIA,37.15
ASAHISONG,76.93
ASAL,19.02
ASALCBR,51.79
ASHAPURMIN,51.24
ASHIANA,42.75
ASHIMASYN,89.68
ASHOKA,48.64
ASHOKAMET,85.13
ASHOKLEY,44.5
ASIANENE,33.1
ASIANHOTNR,28.16
