SYMBOL,DELIV_PER
20MICRONS,47.03
21STCENMGM,84.09
360ONE,67.67
3BBLACKBIO,74.75
3IINFOLTD,65.57
3MINDIA,48.81
3PLAND,88.08
5PAISA,51.9
63MOONS,45.52
A2ZINFRA,73.76
AAATECH,63.32
AADHARHFC,69.63
AAKASH,80.0
AARNAV,54.99
AARON,57.09
AARTECH,72.99
AARTIDRUGS,47.13
AARTIIND,36.05
AARTIPHARM,35.49
AARTISURF,57.87
AARVI,53.66
AAVAS,69.98
ABB,38.57
ABBOTINDIA,63.46
ABCAPITAL,64.87
ABCOTS,34.71
ABDL,38.95
ABFRL,52.93
ABGSEC,62.96
ABINFRA,24.8
ABLBL,57.91
ABMINTLLTD,100.0
ABMKNO,100.0
ABREL,34.8
ABSL10BANK,59.74
ABSLAMC,59.13
ABSLBANETF,73.16
ABSLLIQUID,89.02
ABSLMSCIN,37.71
ABSLNN50ET,91.68
ABSLPSE,85.51
ACC,51.35
ACCELYA,64.41
ACCURACY,85.13
ACE,43.77
ACEINTEG,65.69
ACI,48.35
ACL,79.67
ACMESOLAR,36.45
ACSTECH,67.95
ACUTAAS,47.83
ADANIENSOL,46.31
ADANIENT,57.15
ADANIGREEN,39.94
ADANIPORTS,70.89
ADANIPOWER,39.77
ADFFOODS,38.4
ADL,80.53
ADOR,38.77
ADROITINFO,98.09
ADSL,28.53
ADVAIT,51.46
ADVANCE,47.92
ADVANIHOTR,70.72
ADVENTHTL,44.82
ADVENZYMES,51.12
AEGISLOG,33.07
AEGISVOPAK,42.97
AEPL,78.86
AEQUS,21.98
AEROENTER,24.84
AEROFLEX,25.09
AERONEU,19.96
AETHER,43.72
AFCONS,49.91
AFFLE,45.25
AFSL,79.08
AGARIND,41.53
AGARWALEYE,50.54
AGI,44.93
AGIIL,19.43
AGROPHOS,65.23
AHCL,46.78
AHLADA,77.76
AHLEAST,69.02
AHLUCONT,60.02
AIAENG,46.2
AIIL,43.06
AIRAN,46.08
AIROLAM,96.58
AJANTPHARM,57.03
AJAXENGG,60.43
AJMERA,40.65
AJOONI,66.35
AKASH,56.76
AKCAPIT,79.97
AKG,75.26
