SYMBOL,DELIV_PER
20MICRONS,60.16
21STCENMGM,81.16
360ONE,29.24
3IINFOLTD,78.43
3MINDIA,51.42
3PLAND,88.06
5PAISA,42.98
63MOONS,42.71
A2ZINFRA,66.46
AADHARHFC,58.18
AAKASH,57.4
AARON,48.38
AARTECH,50.88
AARTIDRUGS,57.83
AARTIIND,51.1
AARTIPHARM,58.29
AARTISURF,67.32
AARVI,72.61
AAVAS,64.31
ABB,52.99
ABBOTINDIA,70.55
ABCAPITAL,54.03
ABCOTS,24.39
ABDL,53.52
ABFRL,56.09
ABGSEC,100.0
ABINFRA,51.18
ABLBL,44.99
ABMINTLLTD,66.67
ABREL,49.78
ABSLAMC,75.94
ABSLBANETF,84.23
ABSLLIQUID,94.05
ABSLNN50ET,95.97
ABSLPSE,75.3
ACC,51.77
ACCELYA,61.02
ACCURACY,74.6
ACE,60.84
ACEINTEG,92.02
ACI,51.88
ACL,90.41
ACMESOLAR,54.3
ACUTAAS,55.5
ADANIENSOL,59.59
ADANIENT,30.59
ADANIGREEN,33.16
ADANIPORTS,49.92
ADANIPOWER,40.58
ADFFOODS,61.6
ADL,81.98
ADOR,68.18
ADROITINFO,83.11
ADSL,41.78
ADVANCE,49.9
ADVANIHOTR,69.56
ADVENTHTL,57.61
ADVENZYMES,50.9
AEGISLOG,47.4
AEGISVOPAK,61.31
AEROENTER,62.87
AEROFLEX,54.66
AERONEU,79.33
AETHER,61.18
AFCONS,64.64
AFFLE,57.86
AFFORDABLE,62.03
AFIL,75.46
AFSL,66.16
AGARIND,60.9
AGARWALEYE,49.82
AGI,65.12
AGIIL,65.71
AGRITECH,49.21
AGROPHOS,65.63
AHLADA,61.48
AHLEAST,78.93
AHLUCONT,50.14
AIAENG,53.89
AIIL,54.05
AIRAN,83.84
AIROLAM,81.7
AJANTPHARM,52.5
AJAXENGG,54.16
AJMERA,56.9
AJOONI,72.71
AKASH,54.22
AKG,88.74
AKI,89.87
AKSHAR,67.91
AKSHARCHEM,56.0
AKSHOPTFBR,77.13
AKUMS,71.34
AKZOINDIA,17.4
ALANKIT,74.88
ALBERTDAVD,55.1
ALEMBICLTD,49.9
ALICON,63.79
ALIVUS,63.05
ALKALI,47.86
ALKEM,65.51
ALKYLAMINE,55.75
ALLCARGO,67.1
ALLDIGI,75.26
ALLTIME,80.64
ALMONDZ,78.25
ALOKINDS,63.68
ALPA,38.88
ALPHA,64.26
ALPHAETF,59.27
ALPHAGEO,74.99
ALPL30IETF,85.12
ALPSINDUS,100.0
AMANTA,80.12
AMBER,33.07
AMBICAAGAR,99.58
AMBIKCO,67.87
AMBUJACEM,58.15
AMDIND,46.15
AMJLAND,88.26
AMNPLST,51.96
AMRUTANJAN,53.97
ANANDRATHI,47.76
ANANTRAJ,43.85
ANDHRAPAP,69.92
ANDHRSUGAR,54.8
ANGELONE,27.78
ANIKINDS,58.28
ANMOL,78.67
ANTELOPUS,39.83
ANTGRAPHIC,89.89
ANTHEM,88.48
ANUHPHR,58.65
ANUP,27.4
ANURAS,22.3
AONEGOLD,61.09
AONELIQUID,93.37
AONENIFTY,72.17
AONETMMQ50,95.72
AONETOTAL,68.05
APARINDS,49.38
APCL,66.55
APCOTEXIND,58.91
APEX,21.71
APLAPOLLO,39.8
APLLTD,51.4
APOLLO,55.18
APOLLOHOSP,66.95
APOLLOPIPE,40.27
APOLLOTYRE,43.92
APOLSINHOT,63.35
APTECHT,58.88
APTUS,46.73
ARCHIDPLY,42.69
ARCHIES,54.19
ARE&M,60.61
ARENTERP,61.37
ARIES,37.88
ARIHANTCAP,46.19
ARIHANTSUP,57.82
ARISINFRA,45.61
ARKADE,52.94
ARMANFIN,70.69
AROGRANITE,53.5
ARROWGREEN,60.75
ARSSBL,27.71
ARTEMISMED,50.56
ARTNIRMAN,72.92
ARVEE,9.6
ARVIND,47.95
ARVINDFASN,51.06
ARVSMART,59.16
ASAHIINDIA,28.78
ASAHISONG,85.4
ASAL,41.69
ASALCBR,54.66
