SYMBOL,DELIV_PER
20MICRONS,45.16
21STCENMGM,82.49
360ONE,59.39
3BBLACKBIO,59.91
3IINFOLTD,71.22
3MINDIA,40.35
3PLAND,72.6
5PAISA,49.05
63MOONS,50.32
A2ZINFRA,74.48
AAATECH,61.76
AADHARHFC,54.99
AAKASH,64.89
AARNAV,43.93
AARON,60.9
AARTIDRUGS,57.59
AARTIIND,44.7
AARTIPHARM,43.25
AARTISURF,61.7
AARVI,49.09
AASTHA,35.57
AAVAS,45.06
ABB,40.36
ABBOTINDIA,63.47
ABCAPITAL,51.05
ABCOTS,39.18
ABDL,53.26
ABFRL,62.85
ABINFRA,22.71
ABLBL,59.75
ABMINTLLTD,53.63
ABMKNO,56.99
ABREL,40.81
ABSL10BANK,99.2
ABSLAMC,41.88
ABSLBANETF,70.81
ABSLLIQUID,92.59
ABSLMSCIN,100.0
ABSLNN50ET,51.9
ABSLPSE,85.26
ACC,34.32
ACCELYA,65.8
ACE,15.98
ACEINTEG,75.84
ACI,46.74
ACL,73.02
ACMESOLAR,43.98
ACSTECH,70.63
ACUTAAS,61.95
ADANIENSOL,22.35
ADANIENT,47.21
ADANIGREEN,24.83
ADANIPORTS,53.89
ADANIPOWER,36.92
ADFFOODS,54.87
ADL,61.88
ADOR,21.76
ADROITINFO,91.89
ADSL,33.85
ADVAIT,54.99
ADVANCE,61.24
ADVANIHOTR,73.73
ADVENTHTL,63.17
ADVENZYMES,53.19
AEGISLOG,31.17
AEGISVOPAK,42.73
AEPL,86.07
AEQUS,36.11
AEROENTER,46.29
AEROFLEX,34.5
AERONEU,13.79
AEROPLANE,70.12
AETHER,41.36
AFCONS,42.28
AFFLE,46.9
AFIL,90.31
AFSL,67.47
AGARIND,42.92
AGARWALEYE,66.16
AGI,55.9
AGIIL,55.54
AGL,64.09
AGROPHOS,63.39
AHCL,28.06
AHLADA,70.9
AHLEAST,95.77
AHLUCONT,47.45
AIAENG,52.78
AIIL,20.94
AIRAN,82.57
AIROLAM,82.01
AJANTPHARM,35.3
AJAXENGG,36.76
AJMERA,63.37
AJOONI,82.06
AKASH,82.56
AKCAPIT,59.66
AKG,78.48
AKI,73.67
AKSHAR,80.68
AKUMS,51.47
ALANKIT,75.64
ALBERTDAVD,56.87
ALEMBICLTD,50.04
ALGOQUANT,32.72
ALICON,63.97
ALIVUS,49.61
ALKEM,53.39
ALKYLAMINE,36.38
ALLCARGO,52.26
ALLDIGI,69.27
ALLTIME,66.71
ALMONDZ,90.0
ALOKINDS,63.44
ALPA,74.83
ALPHA,62.53
ALPHAETF,78.69
ALPHAGEO,93.23
ALPL30IETF,71.41
AMAGI,51.4
AMBALALSA,52.59
AMBER,34.36
AMBICAAGAR,85.25
AMBIKCO,66.81
AMBUJACEM,30.53
AMDIND,42.62
AMJLAND,65.22
AMNPLST,94.54
AMRUTANJAN,66.94
ANANDRATHI,52.1
ANANTRAJ,39.95
ANDHRAPAP,69.6
ANDHRSUGAR,50.11
ANGELONE,43.56
ANMOL,47.67
ANTELOPUS,51.58
ANTGRAPHIC,80.54
ANTHEM,52.33
ANUHPHR,67.14
ANUP,56.69
ANURAS,86.4
AONEGOLD,52.27
AONELIQUID,87.49
AONENIFTY,73.6
AONESILVER,63.12
AONETMMQ50,71.67
AONETOTAL,67.84
APARINDS,46.03
APCL,74.21
APCOTEXIND,43.79
APEX,40.49
APLAPOLLO,53.77
APLLTD,50.4
APOLLO,27.02
APOLLOHOSP,68.29
APOLLOPIPE,52.23
APOLLOTYRE,43.21
APOLSINHOT,51.22
APTUS,51.05
AQYLON,100.0
ARCHIDPLY,76.35
ARCHIES,72.77
ARE&M,37.8
ARENTERP,70.31
ARFIN,3.46
ARIES,76.25
ARIHANT,54.89
ARIHANTCAP,38.63
ARIHANTSUP,54.38
ARIS,39.2
ARKADE,44.24
ARMANFIN,53.82
AROGRANITE,68.43
ARSSBL,48.1
ARTEMISMED,67.43
ARTNIRMAN,45.45
ARVEE,56.85
ARVIND,62.19
ARVINDFASN,38.28
ARVSMART,52.34
ASAHIINDIA,47.48
ASAHISONG,55.87
ASAL,45.37
ASALCBR,60.68
ASHAPURMIN,47.6
ASHIANA,5.6
ASHIKA,48.41
ASHIMASYN,27.72
ASHOKA,50.97
ASHOKAMET,70.82
ASHOKLEY,45.25
ASIANENE,53.68
ASIANHOTNR,62.05
ASIANPAINT,62.91
ASIANTILES,49.29
ASKAUTOLTD,51.81
ASPINWALL,98.35
ASTAR,100.0
ASTEC,75.51
ASTERDM,53.53
ASTRAL,58.75
ASTRAMICRO,56.3
ASTRAZEN,61.86
ATALREAL,19.73
ATAM,47.74
ATGL,26.84
ATHERENERG,29.3
ATL,68.65
ATLANTAA,75.47
